,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D3,D5
23.0,2050534.0,1923979.0,1804723.0,1770241.0,1756559.0,1778651.0,3922000.0,3869955.0,3856453.0,3782261.0,3761889.0,4068176.0,4109798.0,4004165.0,3806058.0,3678646.0,3645073.0,3619920.0,3857671.0,3778006.0,3734572.0,3738605.0,3663491.0,3994684.0,3848164.0,3987378.0,3656001.0,3643424.0,3512224.0,3636763.0,3320706.0,3438066.0,3257737.0,3318231.0,3266437.0,3432779.0,314294.0,296241.0,295694.0
23.5,2123364.0,1955782.0,1852360.0,1801427.0,1805319.0,1836816.0,4044971.0,3954845.0,3936088.0,3865935.0,3836830.0,4175087.0,4214058.0,4094091.0,3871971.0,3784531.0,3730553.0,3719290.0,3945045.0,3871956.0,3831529.0,3807834.0,3740546.0,4074388.0,3936902.0,4086582.0,3734314.0,3724908.0,3588952.0,3765513.0,3392190.0,3490087.0,3313862.0,3373696.0,3322271.0,3470897.0,312880.0,297827.0,291716.0
24.0,2169389.0,2010512.0,1898249.0,1844856.0,1838537.0,1876761.0,4136037.0,4030051.0,4006409.0,3937162.0,3916015.0,4244193.0,4267693.0,4167208.0,3953315.0,3846399.0,3779567.0,3776831.0,3997288.0,3924707.0,3879188.0,3892345.0,3804615.0,4135586.0,4013179.0,4168934.0,3839616.0,3786798.0,3632851.0,3801383.0,3452706.0,3560938.0,3357743.0,3436229.0,3361738.0,3564822.0,318322.0,300195.0,296863.0
24.5,2233305.0,2041777.0,1947692.0,1890565.0,1893461.0,1905943.0,4210685.0,4141630.0,4120419.0,4030612.0,4014029.0,4353835.0,4372650.0,4254916.0,4031593.0,3927776.0,3868727.0,3851037.0,4091656.0,3987126.0,3956657.0,3948219.0,3882749.0,4235428.0,4121656.0,4232361.0,3895383.0,3895238.0,3720014.0,3895168.0,3555848.0,3639189.0,3431402.0,3501986.0,3437937.0,3644965.0,315543.0,296257.0,295707.0
25.0,2285756.0,2080247.0,1969182.0,1929527.0,1920463.0,1940484.0,4281599.0,4193641.0,4156894.0,4068552.0,4051789.0,4420365.0,4418070.0,4323939.0,4067282.0,3972715.0,3922098.0,3896393.0,4124578.0,4068045.0,4022901.0,3954634.0,3923247.0,4277888.0,4150886.0,4299013.0,3913610.0,3946348.0,3780973.0,3933810.0,3577204.0,3671528.0,3478113.0,3546731.0,3484480.0,3689193.0,317383.0,290855.0,298677.0
25.5,2357136.0,2136408.0,2013688.0,1962558.0,1954259.0,1991088.0,4365182.0,4275203.0,4264175.0,4165613.0,4148354.0,4520497.0,4526950.0,4395101.0,4161421.0,4054013.0,3985750.0,3982962.0,4217880.0,4136594.0,4080256.0,4010087.0,3965024.0,4330919.0,4255567.0,4420481.0,4013876.0,3992958.0,3834375.0,4039653.0,3647349.0,3756877.0,3531742.0,3609284.0,3523573.0,3737521.0,319421.0,300117.0,297192.0
26.0,2411638.0,2167637.0,2051291.0,1991318.0,1985604.0,2016359.0,4467906.0,4362654.0,4334585.0,4250318.0,4231120.0,4610008.0,4604405.0,4460363.0,4203482.0,4120956.0,4046484.0,4022011.0,4288414.0,4195364.0,4140051.0,4069591.0,4045862.0,4440262.0,4324462.0,4481902.0,4081259.0,4076459.0,3907960.0,4080247.0,3747488.0,3803490.0,3597406.0,3661664.0,3585000.0,3829922.0,313225.0,301450.0,298651.0
26.5,2514038.0,2224140.0,2104751.0,2052459.0,2045429.0,2066114.0,4591077.0,4484567.0,4444297.0,4343916.0,4347177.0,4741958.0,4705417.0,4571691.0,4293189.0,4213766.0,4147221.0,4109482.0,4355781.0,4295695.0,4216386.0,4174819.0,4130500.0,4537421.0,4457877.0,4609609.0,4178255.0,4170531.0,4021620.0,4199571.0,3804345.0,3914982.0,3683601.0,3748718.0,3675322.0,3925548.0,318153.0,298337.0,298196.0
27.0,2618372.0,2294815.0,2181499.0,2116244.0,2112767.0,2127980.0,4715255.0,4616711.0,4586206.0,4444014.0,4472468.0,4905046.0,4844704.0,4657985.0,4399359.0,4316874.0,4229679.0,4224388.0,4462826.0,4368763.0,4319748.0,4247005.0,4212580.0,4641580.0,4564578.0,4743051.0,4257366.0,4257827.0,4142480.0,4317992.0,3924709.0,3960335.0,3765931.0,3857657.0,3760233.0,4013221.0,315028.0,301028.0,298597.0
27.5,2762692.0,2406223.0,2260581.0,2197391.0,2184310.0,2225521.0,4940989.0,4803258.0,4784980.0,4624746.0,4670406.0,5109000.0,5041366.0,4844835.0,4557290.0,4426625.0,4373344.0,4342068.0,4612026.0,4513185.0,4461713.0,4383146.0,4339083.0,4781590.0,4740432.0,4924166.0,4444701.0,4412911.0,4290091.0,4482113.0,4074573.0,4109403.0,3890487.0,3965417.0,3861843.0,4160967.0,322225.0,301340.0,301737.0
28.0,2861965.0,2443367.0,2328313.0,2248775.0,2255029.0,2275382.0,5142463.0,4965992.0,4934784.0,4778276.0,4812341.0,5312773.0,5209307.0,4938392.0,4634388.0,4545322.0,4464206.0,4460596.0,4719399.0,4597705.0,4533050.0,4465188.0,4432001.0,4905197.0,4924979.0,5041897.0,4526719.0,4561091.0,4382730.0,4597386.0,4214816.0,4239405.0,3989667.0,4062886.0,3960825.0,4273996.0,317406.0,294819.0,299985.0
28.5,3014815.0,2558814.0,2430910.0,2357374.0,2357923.0,2378550.0,5400121.0,5216106.0,5186792.0,4989110.0,5034565.0,5665519.0,5474477.0,5117573.0,4808803.0,4721064.0,4652650.0,4644622.0,4916064.0,4788884.0,4686891.0,4594796.0,4579480.0,5082676.0,5166341.0,5260155.0,4731384.0,4761508.0,4626204.0,4832179.0,4427459.0,4430884.0,4153727.0,4212146.0,4096703.0,4465188.0,320925.0,298460.0,301653.0
29.0,3217231.0,2649709.0,2502079.0,2448486.0,2441427.0,2465762.0,5891665.0,5462654.0,5411510.0,5202808.0,5268099.0,6388608.0,5912491.0,5266252.0,4933846.0,4836931.0,4800358.0,4766297.0,5072005.0,4888207.0,4810157.0,4710323.0,4669755.0,5229007.0,5494535.0,5466670.0,4838547.0,4909811.0,4764484.0,4992254.0,4547177.0,4539513.0,4288760.0,4334410.0,4225408.0,4610432.0,319859.0,297718.0,298515.0
29.5,3715306.0,2747922.0,2632851.0,2532325.0,2537208.0,2579457.0,6847988.0,6085349.0,5973882.0,5476978.0,5794785.0,7399508.0,6896944.0,5434206.0,5089089.0,5005795.0,4952563.0,4935131.0,5255691.0,5086299.0,4951039.0,4858382.0,4798791.0,5422920.0,6407499.0,5624737.0,5057628.0,5077166.0,4942049.0,5228965.0,4757109.0,4696146.0,4387246.0,4484368.0,4382654.0,4845973.0,317962.0,299677.0,297996.0
30.0,4340380.0,2881920.0,2742694.0,2675316.0,2710378.0,2820565.0,7632591.0,6947992.0,6853734.0,6009200.0,6610504.0,8147489.0,7832571.0,5560399.0,5238364.0,5145211.0,5092840.0,5030692.0,5432076.0,5219062.0,5081515.0,4975285.0,4929589.0,5628523.0,7403906.0,5824434.0,5202131.0,5342228.0,5127914.0,5613722.0,5071495.0,4848367.0,4492519.0,4617101.0,4469425.0,5363979.0,321178.0,300543.0,298960.0
30.5,4787402.0,3233080.0,2963722.0,2992673.0,3060462.0,3217091.0,8124574.0,7660351.0,7639710.0,6870271.0,7371629.0,8659377.0,8449248.0,5732137.0,5370083.0,5259289.0,5252059.0,5204412.0,5844278.0,5392495.0,5227336.0,5123694.0,5060654.0,6110570.0,8079814.0,6368489.0,5482746.0,5922322.0,5686477.0,6368662.0,5700290.0,5206752.0,4694879.0,4795046.0,4655720.0,6155937.0,321060.0,300599.0,296647.0
31.0,4971210.0,3654438.0,3384966.0,3360842.0,3419531.0,3564859.0,8414844.0,8043397.0,8101991.0,7566052.0,7822998.0,8839409.0,8749741.0,6128396.0,5504515.0,5562541.0,5528167.0,5547106.0,6574312.0,5723343.0,5367365.0,5278547.0,5185601.0,7041304.0,8433125.0,7269405.0,6240437.0,6737146.0,6483244.0,7155408.0,6387497.0,5851471.0,5034409.0,5110629.0,4986360.0,6759409.0,318241.0,300050.0,297817.0
31.5,5169752.0,4008491.0,3850211.0,3709472.0,3708378.0,3794838.0,8725914.0,8346792.0,8465957.0,8062059.0,8222418.0,9148203.0,9103546.0,6819098.0,5941421.0,6214621.0,6199002.0,6198141.0,7434421.0,6474569.0,5779588.0,5647934.0,5422231.0,7947639.0,8771654.0,8113639.0,7160364.0,7508327.0,7208033.0,7773719.0,6953869.0,6572740.0,5749936.0,5785413.0,5704706.0,7213600.0,323602.0,304145.0,297947.0
32.0,5340257.0,4199438.0,4135292.0,3934156.0,3898033.0,3954693.0,8897492.0,8601567.0,8696503.0,8411138.0,8429703.0,9429100.0,9371087.0,7502693.0,6639811.0,6914250.0,6907576.0,6885195.0,7990882.0,7274425.0,6459924.0,6294801.0,5861779.0,8536070.0,9040558.0,8649144.0,7789673.0,7963974.0,7673456.0,8145666.0,7241947.0,7074933.0,6354030.0,6417392.0,6326507.0,7453463.0,322726.0,297080.0,298141.0
32.5,5610748.0,4438667.0,4409104.0,4131773.0,4087716.0,4115838.0,9242189.0,8893303.0,9059585.0,8764410.0,8757218.0,9765429.0,9787183.0,8072014.0,7456355.0,7620483.0,7572688.0,7468924.0,8501772.0,7985206.0,7331562.0,7149450.0,6725346.0,9005023.0,9406973.0,9195680.0,8263287.0,8342943.0,8061428.0,8532293.0,7586949.0,7502387.0,6835933.0,7017953.0,6874333.0,7691449.0,326974.0,304298.0,302108.0
33.0,5696013.0,4569633.0,4574012.0,4242919.0,4167603.0,4213706.0,9505957.0,9072166.0,9218353.0,8996987.0,8959437.0,10011317.0,10003073.0,8473001.0,8035750.0,7969361.0,7993493.0,7760179.0,8749936.0,8449189.0,7886087.0,7794326.0,7472328.0,9247222.0,9605999.0,9490111.0,8502595.0,8557481.0,8218941.0,8762638.0,7781985.0,7699508.0,7075145.0,7292984.0,7158189.0,7813742.0,326569.0,303205.0,302020.0
33.5,5914422.0,4708791.0,4752008.0,4400691.0,4296240.0,4328757.0,9798753.0,9374210.0,9443979.0,9236589.0,9191563.0,10347454.0,10315974.0,8721893.0,8443028.0,8286272.0,8300104.0,8072995.0,8954243.0,8733112.0,8356520.0,8224735.0,8085643.0,9537151.0,9913047.0,9782994.0,8820626.0,8816166.0,8426189.0,8986550.0,7955280.0,7928644.0,7299833.0,7478652.0,7302856.0,8048150.0,332589.0,310190.0,305705.0
34.0,6020359.0,4826773.0,4889794.0,4519437.0,4413390.0,4429948.0,9979158.0,9573647.0,9657147.0,9388590.0,9372965.0,10623318.0,10667444.0,8894444.0,8758650.0,8520935.0,8526423.0,8244535.0,9105348.0,8895822.0,8624679.0,8443720.0,8449695.0,9706879.0,10061642.0,10015358.0,8947812.0,9018596.0,8579099.0,9157050.0,8075868.0,8087317.0,7409850.0,7635464.0,7466458.0,8162656.0,333372.0,307727.0,309018.0
34.5,6080237.0,4983841.0,5043576.0,4623566.0,4527998.0,4546447.0,10185489.0,9757277.0,9857713.0,9576095.0,9578247.0,10808316.0,10936495.0,9084164.0,8993718.0,8707816.0,8743877.0,8390131.0,9257744.0,9056398.0,8808990.0,8674626.0,8685151.0,9863118.0,10291374.0,10316191.0,9170611.0,9145192.0,8771034.0,9408650.0,8221760.0,8224808.0,7544510.0,7799905.0,7627939.0,8315689.0,330244.0,312731.0,305495.0
35.0,6135522.0,5030549.0,5140768.0,4700005.0,4576139.0,4593956.0,10378568.0,9817103.0,9861544.0,9663259.0,9655927.0,10892521.0,11035170.0,9175860.0,9090218.0,8762644.0,8759183.0,8440574.0,9250272.0,9068041.0,8828478.0,8686997.0,8734456.0,9927007.0,10391280.0,10412673.0,9295634.0,9214023.0,8760709.0,9458196.0,8255524.0,8259982.0,7537196.0,7802312.0,7624074.0,8319938.0,328980.0,303958.0,303613.0
35.5,6132628.0,5169087.0,5264352.0,4819681.0,4657088.0,4677470.0,10615314.0,10062094.0,9996947.0,9796075.0,9813079.0,11204311.0,11195714.0,9332958.0,9255644.0,8954735.0,8935053.0,8586218.0,9338700.0,9166729.0,8939015.0,8788877.0,8825564.0,10072667.0,10546653.0,10575526.0,9472533.0,9411806.0,8898138.0,9622626.0,8386131.0,8405885.0,7655890.0,7943971.0,7759684.0,8479633.0,325491.0,302259.0,301444.0
36.0,6227651.0,5228286.0,5354742.0,4884246.0,4739245.0,4732441.0,10719951.0,10170751.0,10066855.0,9851174.0,9883333.0,11294931.0,11374393.0,9458319.0,9381867.0,9031985.0,9038063.0,8635205.0,9391686.0,9156248.0,8938755.0,8811965.0,8867643.0,10102644.0,10622023.0,10733926.0,9529334.0,9526668.0,8967366.0,9685709.0,8400225.0,8439330.0,7704930.0,7982106.0,7759348.0,8533438.0,324186.0,298888.0,299081.0
36.5,6243130.0,5417652.0,5507303.0,4959229.0,4825215.0,4861410.0,10940766.0,10388719.0,10246885.0,10032930.0,10068407.0,11611850.0,11586166.0,9648830.0,9620190.0,9182217.0,9204638.0,8800744.0,9486134.0,9318410.0,9069177.0,8921812.0,9014875.0,10320964.0,10876741.0,11005134.0,9794295.0,9715532.0,9132019.0,9946371.0,8569198.0,8610925.0,7852859.0,8053538.0,7868830.0,8660311.0,322460.0,298750.0,292920.0
37.0,6302509.0,5537109.0,5666527.0,5123422.0,4930557.0,4949727.0,11223715.0,10539902.0,10310942.0,10197012.0,10230812.0,11760049.0,11736350.0,9821440.0,9777020.0,9363895.0,9347958.0,8896702.0,9614568.0,9412908.0,9130069.0,8967646.0,9074583.0,10383432.0,10855657.0,11170636.0,10014852.0,9858703.0,9230964.0,10106095.0,8691807.0,8726259.0,7902195.0,8169268.0,7954291.0,8715444.0,323693.0,301575.0,294101.0
