,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
15.0,735575.0,767324.0,704873.0,694432.0,702582.0,831449.0,273841.0,274269.0,272947.0,271909.0,274547.0,270054.0,261323.0,256527.0,264868.0,262160.0,257658.0,264379.0,293281.0,296323.0
15.5,759333.0,793658.0,725778.0,729134.0,718102.0,855471.0,272632.0,268773.0,275663.0,276850.0,272793.0,268791.0,260045.0,256139.0,260904.0,261022.0,254708.0,258739.0,296088.0,297388.0
16.0,793542.0,815935.0,754300.0,749974.0,742212.0,873914.0,272387.0,272418.0,273874.0,277007.0,274451.0,273456.0,256281.0,255869.0,261982.0,258146.0,258433.0,259301.0,291203.0,298607.0
16.5,824866.0,851282.0,778128.0,768663.0,769152.0,895057.0,273674.0,269871.0,272174.0,273927.0,274064.0,269915.0,257127.0,258306.0,262909.0,260150.0,255456.0,264166.0,293415.0,299854.0
17.0,842447.0,873013.0,807352.0,795302.0,789945.0,916891.0,273174.0,275496.0,274745.0,271241.0,272384.0,272300.0,263476.0,255123.0,263885.0,259058.0,259028.0,259642.0,289141.0,295974.0
17.5,884303.0,897992.0,834955.0,817364.0,806372.0,934522.0,271971.0,270250.0,273918.0,272063.0,274121.0,277963.0,262904.0,255277.0,259642.0,262486.0,258880.0,261879.0,293659.0,297497.0
18.0,922604.0,921880.0,857418.0,851360.0,833626.0,952769.0,273350.0,272432.0,275980.0,273538.0,272973.0,272897.0,259117.0,258049.0,263277.0,259669.0,256346.0,260518.0,295294.0,298754.0
18.5,950234.0,947152.0,882904.0,879312.0,863729.0,972370.0,276452.0,273602.0,273968.0,272709.0,272297.0,273701.0,260262.0,257232.0,260917.0,257593.0,255617.0,257633.0,293517.0,302632.0
19.0,980841.0,976134.0,912656.0,906858.0,893227.0,1001786.0,277802.0,270802.0,270101.0,272614.0,273766.0,270241.0,258449.0,258057.0,258923.0,254830.0,256805.0,261105.0,294614.0,301120.0
19.5,1018659.0,989407.0,935984.0,929656.0,913822.0,1011184.0,275816.0,275549.0,274299.0,274189.0,273872.0,270987.0,264137.0,252571.0,261226.0,256756.0,256820.0,261281.0,297150.0,302627.0
20.0,1056526.0,1020935.0,961340.0,960178.0,947670.0,1032986.0,269670.0,272910.0,274690.0,270743.0,274666.0,271559.0,259923.0,252973.0,262268.0,256462.0,255267.0,260172.0,298667.0,303339.0
20.5,1091623.0,1052514.0,992583.0,984828.0,970010.0,1053513.0,278543.0,277643.0,274013.0,271017.0,274424.0,274119.0,260963.0,258664.0,261070.0,260527.0,259432.0,260698.0,293704.0,309026.0
21.0,1127379.0,1067876.0,1030283.0,1011296.0,994300.0,1086000.0,277614.0,277286.0,273854.0,276997.0,273741.0,278987.0,261216.0,257064.0,260278.0,257761.0,255202.0,258046.0,297581.0,300468.0
21.5,1166502.0,1103458.0,1057202.0,1038628.0,1015042.0,1101982.0,274477.0,271844.0,273667.0,273224.0,276586.0,274925.0,259314.0,257926.0,265681.0,259426.0,257820.0,258090.0,296432.0,302806.0
22.0,1185139.0,1129142.0,1081557.0,1073596.0,1040969.0,1129288.0,275585.0,274740.0,277131.0,274537.0,271918.0,272973.0,261704.0,255573.0,262170.0,258326.0,257723.0,255013.0,295335.0,306389.0
22.5,1230314.0,1158497.0,1106487.0,1102894.0,1068801.0,1153644.0,275397.0,271122.0,276179.0,274564.0,272564.0,272030.0,260934.0,257193.0,258510.0,256486.0,256348.0,255509.0,296921.0,305021.0
23.0,1264440.0,1183659.0,1130651.0,1123373.0,1095455.0,1187159.0,279435.0,272875.0,276237.0,276362.0,278209.0,274182.0,258233.0,257233.0,261158.0,255854.0,254485.0,258211.0,296654.0,304991.0
23.5,1299353.0,1212507.0,1166627.0,1153286.0,1128137.0,1208954.0,276765.0,275004.0,275753.0,279794.0,273386.0,276909.0,263551.0,257311.0,262898.0,259738.0,256281.0,258174.0,296767.0,305220.0
24.0,1342312.0,1239120.0,1189602.0,1183296.0,1152605.0,1247214.0,279281.0,274183.0,277877.0,276314.0,271867.0,275197.0,263420.0,253944.0,261542.0,255690.0,257171.0,258042.0,297103.0,305561.0
24.5,1380379.0,1261382.0,1221715.0,1213989.0,1179601.0,1262982.0,277128.0,277829.0,278159.0,274276.0,275519.0,278354.0,262897.0,256371.0,254947.0,257795.0,257557.0,257557.0,297276.0,308867.0
25.0,1426759.0,1297174.0,1244387.0,1246768.0,1217910.0,1287691.0,283585.0,270128.0,274813.0,275743.0,276000.0,275209.0,262514.0,256170.0,259810.0,258119.0,255377.0,260779.0,296819.0,306190.0
25.5,1460542.0,1340315.0,1289664.0,1272531.0,1251590.0,1316242.0,282460.0,275900.0,277222.0,276520.0,273680.0,278700.0,262886.0,255965.0,261852.0,256961.0,259798.0,259736.0,297259.0,309436.0
26.0,1497641.0,1357446.0,1324569.0,1313499.0,1284946.0,1359844.0,282461.0,277072.0,277227.0,274806.0,277061.0,274039.0,261037.0,255140.0,259511.0,256563.0,256374.0,259257.0,297665.0,308765.0
26.5,1556334.0,1392930.0,1358805.0,1352527.0,1322035.0,1385631.0,276940.0,277331.0,277696.0,274500.0,278021.0,274049.0,265586.0,257122.0,260188.0,256225.0,256347.0,256584.0,297901.0,313067.0
27.0,1612331.0,1436099.0,1395286.0,1384605.0,1352078.0,1417892.0,280305.0,276622.0,277236.0,278312.0,277847.0,277421.0,266061.0,259014.0,262666.0,256850.0,259775.0,256732.0,294720.0,312253.0
27.5,1661015.0,1469589.0,1427571.0,1422771.0,1387527.0,1448276.0,281364.0,280618.0,283619.0,278894.0,282151.0,277995.0,265048.0,258394.0,263054.0,261601.0,260033.0,262460.0,299156.0,315871.0
28.0,1765609.0,1502950.0,1468437.0,1458145.0,1418783.0,1499085.0,285834.0,281526.0,278047.0,279134.0,278266.0,286024.0,267929.0,258523.0,264844.0,256830.0,256258.0,263205.0,300978.0,308555.0
