,E9,E10,E11,F3,F4,F5,G3,G4,G5,G6,G7,G8,H1
28.0,0.865,0.889,0.882,0.813,0.839,0.802,0.832,0.827,0.814,0.836,0.841,0.835,0.097
28.5,0.868,0.888,0.879,0.811,0.836,0.819,0.837,0.824,0.816,0.836,0.84,0.836,0.098
29.0,0.867,0.89,0.878,0.811,0.836,0.817,0.842,0.82,0.817,0.837,0.838,0.836,0.097
29.5,0.869,0.89,0.878,0.811,0.833,0.816,0.847,0.816,0.817,0.838,0.835,0.836,0.097
30.0,0.871,0.892,0.879,0.812,0.831,0.818,0.854,0.814,0.819,0.84,0.838,0.838,0.098
30.5,0.874,0.891,0.877,0.813,0.83,0.816,0.858,0.811,0.819,0.841,0.839,0.839,0.098
31.0,0.878,0.892,0.878,0.815,0.829,0.817,0.865,0.808,0.822,0.841,0.837,0.842,0.098
31.5,0.879,0.893,0.875,0.815,0.827,0.816,0.87,0.805,0.821,0.843,0.836,0.84,0.098
32.0,0.879,0.893,0.875,0.818,0.824,0.817,0.876,0.801,0.824,0.844,0.839,0.845,0.098
32.5,0.882,0.892,0.873,0.821,0.822,0.819,0.884,0.799,0.824,0.844,0.84,0.845,0.098
33.0,0.883,0.894,0.876,0.826,0.82,0.821,0.891,0.798,0.825,0.846,0.839,0.847,0.097
33.5,0.885,0.894,0.876,0.832,0.819,0.822,0.899,0.796,0.826,0.849,0.839,0.849,0.096
34.0,0.886,0.894,0.877,0.838,0.816,0.824,0.907,0.795,0.825,0.852,0.839,0.849,0.098
34.5,0.888,0.893,0.877,0.842,0.816,0.824,0.911,0.794,0.826,0.851,0.839,0.848,0.097
35.0,0.888,0.892,0.879,0.848,0.813,0.825,0.916,0.793,0.826,0.853,0.839,0.849,0.098
35.5,0.889,0.89,0.878,0.854,0.812,0.827,0.92,0.792,0.825,0.855,0.838,0.848,0.097
36.0,0.889,0.89,0.878,0.861,0.81,0.826,0.922,0.791,0.824,0.855,0.837,0.849,0.096
36.5,0.891,0.892,0.881,0.869,0.809,0.83,0.927,0.794,0.827,0.857,0.839,0.85,0.098
37.0,0.891,0.891,0.881,0.876,0.806,0.831,0.93,0.793,0.826,0.854,0.837,0.85,0.097
37.5,0.892,0.89,0.884,0.885,0.806,0.831,0.934,0.796,0.825,0.855,0.837,0.851,0.097
38.0,0.892,0.89,0.883,0.891,0.802,0.83,0.934,0.794,0.824,0.853,0.835,0.849,0.095
38.5,0.894,0.891,0.887,0.9,0.804,0.833,0.939,0.797,0.826,0.855,0.837,0.85,0.098
39.0,0.893,0.89,0.89,0.908,0.801,0.832,0.936,0.798,0.825,0.854,0.836,0.849,0.097
39.5,0.894,0.889,0.893,0.914,0.802,0.831,0.937,0.799,0.825,0.856,0.835,0.849,0.098
40.0,0.893,0.889,0.895,0.919,0.799,0.833,0.935,0.802,0.824,0.854,0.835,0.848,0.097
40.5,0.894,0.889,0.9,0.926,0.799,0.833,0.934,0.805,0.825,0.855,0.835,0.85,0.098
41.0,0.894,0.889,0.902,0.929,0.797,0.833,0.927,0.808,0.825,0.853,0.834,0.847,0.097
41.5,0.894,0.889,0.905,0.934,0.799,0.835,0.924,0.81,0.827,0.853,0.834,0.847,0.097
42.0,0.895,0.889,0.909,0.939,0.796,0.834,0.919,0.812,0.827,0.854,0.833,0.846,0.097
42.5,0.894,0.889,0.913,0.941,0.798,0.835,0.912,0.815,0.827,0.852,0.832,0.847,0.098
43.0,0.894,0.887,0.918,0.946,0.796,0.835,0.906,0.817,0.827,0.852,0.832,0.845,0.098
43.5,0.895,0.887,0.923,0.948,0.796,0.835,0.906,0.821,0.827,0.851,0.832,0.846,0.098
44.0,0.895,0.886,0.928,0.947,0.795,0.834,0.807,0.823,0.827,0.851,0.832,0.844,0.098
44.5,0.894,0.885,0.932,0.947,0.795,0.834,0.737,0.826,0.828,0.851,0.831,0.844,0.097
45.0,0.894,0.885,0.936,0.946,0.794,0.834,0.714,0.83,0.828,0.85,0.828,0.842,0.096
45.5,0.895,0.885,0.944,0.942,0.795,0.833,0.739,0.835,0.832,0.851,0.83,0.844,0.099
46.0,0.895,0.885,0.948,0.939,0.795,0.832,0.746,0.838,0.83,0.851,0.83,0.844,0.097
46.5,0.895,0.884,0.953,0.937,0.797,0.834,0.762,0.841,0.834,0.852,0.829,0.843,0.096
47.0,0.894,0.882,0.958,0.93,0.796,0.833,0.787,0.846,0.836,0.852,0.827,0.842,0.098
47.5,0.894,0.883,0.962,0.926,0.797,0.832,0.861,0.848,0.836,0.852,0.828,0.843,0.097
