,E6,E7,E8,E9,E10,E11,F3,F4,F5,F9,F10,F11,G3,G4,G5,G6,G7,G8
20.5,0.09,0.096,0.088,0.745,0.775,0.817,0.768,0.731,0.692,0.656,0.647,0.691,0.75,0.758,0.699,0.716,0.718,0.706
21.0,0.09,0.094,0.086,0.755,0.785,0.83,0.772,0.742,0.7,0.664,0.654,0.701,0.751,0.771,0.71,0.727,0.727,0.718
21.5,0.09,0.096,0.088,0.767,0.798,0.832,0.773,0.755,0.712,0.673,0.665,0.715,0.754,0.783,0.723,0.738,0.74,0.733
22.0,0.09,0.095,0.089,0.776,0.81,0.83,0.776,0.767,0.724,0.682,0.674,0.727,0.759,0.798,0.734,0.75,0.753,0.746
22.5,0.09,0.095,0.088,0.787,0.821,0.831,0.776,0.779,0.736,0.693,0.684,0.738,0.795,0.8,0.745,0.761,0.763,0.759
23.0,0.089,0.095,0.088,0.797,0.832,0.83,0.788,0.794,0.745,0.7,0.693,0.745,0.813,0.802,0.756,0.773,0.774,0.769
23.5,0.089,0.095,0.087,0.808,0.838,0.851,0.831,0.801,0.754,0.709,0.702,0.763,0.814,0.803,0.764,0.784,0.784,0.785
24.0,0.09,0.095,0.087,0.817,0.836,0.882,0.833,0.798,0.764,0.718,0.708,0.764,0.815,0.806,0.764,0.791,0.794,0.789
24.5,0.089,0.096,0.089,0.818,0.838,0.884,0.831,0.799,0.776,0.724,0.718,0.765,0.815,0.838,0.766,0.79,0.795,0.79
25.0,0.09,0.095,0.088,0.818,0.836,0.884,0.829,0.799,0.779,0.731,0.726,0.765,0.817,0.85,0.767,0.791,0.795,0.789
25.5,0.09,0.094,0.088,0.817,0.839,0.885,0.826,0.801,0.777,0.744,0.734,0.764,0.82,0.847,0.767,0.792,0.798,0.79
26.0,0.09,0.095,0.088,0.818,0.843,0.884,0.824,0.811,0.776,0.749,0.741,0.767,0.821,0.843,0.78,0.795,0.799,0.793
26.5,0.09,0.095,0.089,0.82,0.87,0.884,0.82,0.844,0.779,0.757,0.75,0.776,0.822,0.838,0.811,0.808,0.802,0.804
27.0,0.09,0.095,0.087,0.826,0.889,0.882,0.817,0.844,0.779,0.761,0.75,0.804,0.825,0.835,0.813,0.835,0.831,0.833
27.5,0.089,0.094,0.087,0.85,0.889,0.88,0.813,0.84,0.78,0.761,0.75,0.804,0.828,0.831,0.814,0.836,0.842,0.835
28.0,0.089,0.095,0.087,0.865,0.889,0.882,0.813,0.839,0.802,0.761,0.752,0.803,0.832,0.827,0.814,0.836,0.841,0.835
28.5,0.09,0.095,0.088,0.868,0.888,0.879,0.811,0.836,0.819,0.76,0.75,0.8,0.837,0.824,0.816,0.836,0.84,0.836
29.0,0.09,0.096,0.087,0.867,0.89,0.878,0.811,0.836,0.817,0.761,0.75,0.798,0.842,0.82,0.817,0.837,0.838,0.836
29.5,0.089,0.095,0.087,0.869,0.89,0.878,0.811,0.833,0.816,0.759,0.751,0.793,0.847,0.816,0.817,0.838,0.835,0.836
30.0,0.089,0.096,0.087,0.871,0.892,0.879,0.812,0.831,0.818,0.759,0.752,0.792,0.854,0.814,0.819,0.84,0.838,0.838
30.5,0.088,0.096,0.088,0.874,0.891,0.877,0.813,0.83,0.816,0.76,0.759,0.79,0.858,0.811,0.819,0.841,0.839,0.839
31.0,0.089,0.095,0.087,0.878,0.892,0.878,0.815,0.829,0.817,0.768,0.77,0.787,0.865,0.808,0.822,0.841,0.837,0.842
31.5,0.089,0.094,0.088,0.879,0.893,0.875,0.815,0.827,0.816,0.774,0.783,0.787,0.87,0.805,0.821,0.843,0.836,0.84
32.0,0.089,0.095,0.088,0.879,0.893,0.875,0.818,0.824,0.817,0.788,0.782,0.786,0.876,0.801,0.824,0.844,0.839,0.845
32.5,0.089,0.094,0.088,0.882,0.892,0.873,0.821,0.822,0.819,0.787,0.778,0.784,0.884,0.799,0.824,0.844,0.84,0.845
33.0,0.089,0.095,0.088,0.883,0.894,0.876,0.826,0.82,0.821,0.782,0.775,0.783,0.891,0.798,0.825,0.846,0.839,0.847
33.5,0.088,0.096,0.087,0.885,0.894,0.876,0.832,0.819,0.822,0.776,0.773,0.78,0.899,0.796,0.826,0.849,0.839,0.849
34.0,0.089,0.095,0.088,0.886,0.894,0.877,0.838,0.816,0.824,0.771,0.772,0.78,0.907,0.795,0.825,0.852,0.839,0.849
34.5,0.088,0.095,0.087,0.888,0.893,0.877,0.842,0.816,0.824,0.763,0.77,0.78,0.911,0.794,0.826,0.851,0.839,0.848
35.0,0.088,0.094,0.086,0.888,0.892,0.879,0.848,0.813,0.825,0.761,0.769,0.778,0.916,0.793,0.826,0.853,0.839,0.849
35.5,0.088,0.094,0.087,0.889,0.89,0.878,0.854,0.812,0.827,0.756,0.768,0.778,0.92,0.792,0.825,0.855,0.838,0.848
36.0,0.088,0.094,0.086,0.889,0.89,0.878,0.861,0.81,0.826,0.75,0.771,0.778,0.922,0.791,0.824,0.855,0.837,0.849
36.5,0.09,0.094,0.089,0.891,0.892,0.881,0.869,0.809,0.83,0.75,0.775,0.779,0.927,0.794,0.827,0.857,0.839,0.85
37.0,0.089,0.094,0.087,0.891,0.891,0.881,0.876,0.806,0.831,0.745,0.777,0.777,0.93,0.793,0.826,0.854,0.837,0.85
37.5,0.089,0.094,0.088,0.892,0.89,0.884,0.885,0.806,0.831,0.743,0.779,0.778,0.934,0.796,0.825,0.855,0.837,0.851
38.0,0.088,0.094,0.087,0.892,0.89,0.883,0.891,0.802,0.83,0.741,0.78,0.777,0.934,0.794,0.824,0.853,0.835,0.849
38.5,0.089,0.095,0.087,0.894,0.891,0.887,0.9,0.804,0.833,0.739,0.783,0.778,0.939,0.797,0.826,0.855,0.837,0.85
39.0,0.089,0.095,0.088,0.893,0.89,0.89,0.908,0.801,0.832,0.738,0.784,0.778,0.936,0.798,0.825,0.854,0.836,0.849
39.5,0.089,0.095,0.087,0.894,0.889,0.893,0.914,0.802,0.831,0.738,0.786,0.778,0.937,0.799,0.825,0.856,0.835,0.849
40.0,0.089,0.095,0.087,0.893,0.889,0.895,0.919,0.799,0.833,0.738,0.787,0.778,0.935,0.802,0.824,0.854,0.835,0.848
40.5,0.09,0.095,0.087,0.894,0.889,0.9,0.926,0.799,0.833,0.739,0.788,0.779,0.934,0.805,0.825,0.855,0.835,0.85
41.0,0.088,0.094,0.087,0.894,0.889,0.902,0.929,0.797,0.833,0.739,0.79,0.778,0.927,0.808,0.825,0.853,0.834,0.847
41.5,0.088,0.093,0.087,0.894,0.889,0.905,0.934,0.799,0.835,0.741,0.791,0.78,0.924,0.81,0.827,0.853,0.834,0.847
42.0,0.089,0.094,0.088,0.895,0.889,0.909,0.939,0.796,0.834,0.744,0.792,0.78,0.919,0.812,0.827,0.854,0.833,0.846
42.5,0.088,0.095,0.087,0.894,0.889,0.913,0.941,0.798,0.835,0.748,0.794,0.78,0.912,0.815,0.827,0.852,0.832,0.847
43.0,0.088,0.094,0.088,0.894,0.887,0.918,0.946,0.796,0.835,0.751,0.795,0.781,0.906,0.817,0.827,0.852,0.832,0.845
43.5,0.089,0.095,0.089,0.895,0.887,0.923,0.948,0.796,0.835,0.755,0.797,0.783,0.906,0.821,0.827,0.851,0.832,0.846
44.0,0.089,0.095,0.089,0.895,0.886,0.928,0.947,0.795,0.834,0.759,0.799,0.783,0.807,0.823,0.827,0.851,0.832,0.844
44.5,0.088,0.095,0.087,0.894,0.885,0.932,0.947,0.795,0.834,0.764,0.797,0.784,0.737,0.826,0.828,0.851,0.831,0.844
45.0,0.088,0.094,0.087,0.894,0.885,0.936,0.946,0.794,0.834,0.769,0.797,0.784,0.714,0.83,0.828,0.85,0.828,0.842
45.5,0.089,0.095,0.088,0.895,0.885,0.944,0.942,0.795,0.833,0.775,0.799,0.787,0.739,0.835,0.832,0.851,0.83,0.844
46.0,0.09,0.095,0.088,0.895,0.885,0.948,0.939,0.795,0.832,0.782,0.799,0.787,0.746,0.838,0.83,0.851,0.83,0.844
46.5,0.089,0.095,0.088,0.895,0.884,0.953,0.937,0.797,0.834,0.786,0.799,0.79,0.762,0.841,0.834,0.852,0.829,0.843
47.0,0.088,0.095,0.088,0.894,0.882,0.958,0.93,0.796,0.833,0.788,0.801,0.789,0.787,0.846,0.836,0.852,0.827,0.842
47.5,0.089,0.094,0.088,0.894,0.883,0.962,0.926,0.797,0.832,0.791,0.802,0.791,0.861,0.848,0.836,0.852,0.828,0.843
