,E6,E7,E8,E9,E10,E11,F3,F4,F5,F9,F10,F11,G3,G4,G5,G6,G7,G8
16.0,173837.0,159993.0,182417.0,1653416.0,1750564.0,1809971.0,1666681.0,1590202.0,1527907.0,186493.0,188862.0,199414.0,436961.0,457608.0,423349.0,414268.0,446269.0,413440.0
16.5,174095.0,158515.0,179969.0,1697915.0,1777368.0,1832747.0,1711870.0,1613367.0,1559567.0,189782.0,190913.0,202921.0,450100.0,467445.0,429668.0,416986.0,450852.0,419698.0
17.0,176851.0,157942.0,181970.0,1710410.0,1811994.0,1879086.0,1765382.0,1648278.0,1581383.0,185864.0,188802.0,203621.0,455437.0,475919.0,433066.0,424345.0,458634.0,429551.0
17.5,177468.0,161196.0,179144.0,1744285.0,1836811.0,1918982.0,1797968.0,1686126.0,1625355.0,185566.0,190358.0,203613.0,465386.0,484660.0,446224.0,436732.0,471834.0,433492.0
18.0,176348.0,160494.0,183130.0,1788547.0,1875900.0,1963520.0,1845398.0,1727551.0,1647182.0,190387.0,193710.0,205154.0,474124.0,494823.0,452952.0,443765.0,474942.0,443920.0
18.5,172658.0,159517.0,182201.0,1804211.0,1913541.0,2009050.0,1885020.0,1759223.0,1673862.0,191609.0,192562.0,209025.0,483841.0,504286.0,456631.0,453538.0,485480.0,453986.0
19.0,174908.0,158874.0,183721.0,1845003.0,1952666.0,2045169.0,1921107.0,1792038.0,1708551.0,190143.0,189829.0,212620.0,496392.0,516040.0,468884.0,459368.0,491330.0,460199.0
19.5,174905.0,161970.0,185806.0,1877458.0,1979222.0,2094723.0,1957806.0,1825765.0,1728858.0,192368.0,193055.0,212276.0,504902.0,522823.0,473047.0,471790.0,499616.0,470132.0
20.0,177075.0,160931.0,185211.0,1908296.0,2011058.0,2130931.0,1999423.0,1867579.0,1763431.0,191746.0,195634.0,211550.0,514214.0,538510.0,485695.0,476422.0,508242.0,478883.0
20.5,179199.0,160367.0,185622.0,1944588.0,2068100.0,2179089.0,2060048.0,1891932.0,1798581.0,195177.0,192665.0,215076.0,537509.0,545536.0,497166.0,486440.0,523266.0,489245.0
21.0,174042.0,162289.0,183092.0,1965135.0,2089768.0,2236699.0,2138869.0,1940739.0,1818567.0,196132.0,197816.0,217950.0,554926.0,564108.0,500047.0,500043.0,525166.0,494833.0
21.5,180613.0,162816.0,183466.0,2011529.0,2118988.0,2318223.0,2229776.0,1967785.0,1849927.0,196504.0,198457.0,217358.0,583564.0,566242.0,517998.0,508196.0,535956.0,506764.0
22.0,178648.0,163747.0,186544.0,2050410.0,2158844.0,2410494.0,2328615.0,2013970.0,1887453.0,198404.0,201198.0,220657.0,600326.0,588988.0,523646.0,520189.0,545578.0,513184.0
22.5,174989.0,164719.0,182031.0,2092089.0,2198943.0,2490767.0,2415356.0,2059259.0,1928955.0,198802.0,201609.0,220118.0,626308.0,606819.0,533656.0,524504.0,553811.0,523461.0
23.0,177701.0,165016.0,185617.0,2129015.0,2231158.0,2563469.0,2513107.0,2113261.0,1960872.0,197123.0,205103.0,223670.0,675075.0,636183.0,543442.0,537819.0,563780.0,533426.0
23.5,178699.0,164450.0,186781.0,2167170.0,2300717.0,2670067.0,2679718.0,2185443.0,1989537.0,204323.0,204493.0,227783.0,757974.0,648845.0,562672.0,553424.0,574497.0,548831.0
24.0,176765.0,163191.0,183743.0,2215915.0,2384986.0,2873308.0,3044864.0,2270142.0,2031318.0,204084.0,208056.0,230715.0,820471.0,668456.0,585282.0,567205.0,592262.0,569623.0
24.5,178990.0,165190.0,185491.0,2279486.0,2469350.0,3280965.0,3460873.0,2353695.0,2075063.0,205867.0,207027.0,233339.0,860620.0,694777.0,604752.0,593812.0,610041.0,589197.0
25.0,179323.0,165274.0,185124.0,2349934.0,2534685.0,3715623.0,3749251.0,2426814.0,2155058.0,205211.0,207504.0,238339.0,881425.0,736666.0,617836.0,605163.0,634013.0,607629.0
25.5,178117.0,164398.0,184883.0,2434008.0,2607394.0,4053703.0,3926937.0,2501639.0,2226103.0,208912.0,213561.0,242738.0,895271.0,812678.0,637162.0,624011.0,650198.0,629406.0
26.0,180625.0,163970.0,185637.0,2500829.0,2686989.0,4263403.0,4040588.0,2584862.0,2294640.0,210744.0,213120.0,245863.0,912051.0,892003.0,649249.0,642980.0,668926.0,643017.0
26.5,183411.0,164585.0,185188.0,2566534.0,2788539.0,4413244.0,4116440.0,2719680.0,2366882.0,213792.0,215388.0,248017.0,927720.0,923060.0,675615.0,654224.0,678054.0,653008.0
27.0,184453.0,168122.0,185428.0,2650288.0,2989994.0,4526755.0,4198061.0,2960612.0,2431694.0,213188.0,217583.0,253766.0,945049.0,944917.0,733310.0,686205.0,697242.0,685677.0
27.5,180519.0,167334.0,185687.0,2760122.0,3347669.0,4626722.0,4268483.0,3364619.0,2483881.0,212983.0,221575.0,266193.0,954412.0,964305.0,809369.0,742311.0,741137.0,732980.0
28.0,179215.0,164955.0,188357.0,2937607.0,3772528.0,4738886.0,4319091.0,3729828.0,2583024.0,220536.0,223352.0,279307.0,963108.0,973438.0,869524.0,821844.0,809869.0,804794.0
28.5,182874.0,167587.0,188122.0,3244348.0,4126546.0,4812691.0,4371523.0,3983084.0,2725398.0,221524.0,227643.0,293020.0,973047.0,986025.0,904987.0,889194.0,876388.0,872721.0
29.0,179671.0,168787.0,189453.0,3633934.0,4386815.0,4887072.0,4426575.0,4147476.0,2956724.0,227092.0,231241.0,303541.0,981819.0,985986.0,932219.0,923972.0,930391.0,920183.0
29.5,183305.0,167455.0,187425.0,3996377.0,4579678.0,4973070.0,4469185.0,4261578.0,3294481.0,226428.0,232993.0,303629.0,998624.0,993754.0,947236.0,955610.0,959371.0,946470.0
