,E9,E10,E11,F3,F4,F5,G3,G4,G5,G6,G7,G8,H1
21.5,2011529.0,2118988.0,2318223.0,2229776.0,1967785.0,1849927.0,583564.0,566242.0,517998.0,508196.0,535956.0,506764.0,208997.0
22.0,2050410.0,2158844.0,2410494.0,2328615.0,2013970.0,1887453.0,600326.0,588988.0,523646.0,520189.0,545578.0,513184.0,210590.0
22.5,2092089.0,2198943.0,2490767.0,2415356.0,2059259.0,1928955.0,626308.0,606819.0,533656.0,524504.0,553811.0,523461.0,211317.0
23.0,2129015.0,2231158.0,2563469.0,2513107.0,2113261.0,1960872.0,675075.0,636183.0,543442.0,537819.0,563780.0,533426.0,210492.0
23.5,2167170.0,2300717.0,2670067.0,2679718.0,2185443.0,1989537.0,757974.0,648845.0,562672.0,553424.0,574497.0,548831.0,210899.0
24.0,2215915.0,2384986.0,2873308.0,3044864.0,2270142.0,2031318.0,820471.0,668456.0,585282.0,567205.0,592262.0,569623.0,209645.0
24.5,2279486.0,2469350.0,3280965.0,3460873.0,2353695.0,2075063.0,860620.0,694777.0,604752.0,593812.0,610041.0,589197.0,213135.0
25.0,2349934.0,2534685.0,3715623.0,3749251.0,2426814.0,2155058.0,881425.0,736666.0,617836.0,605163.0,634013.0,607629.0,211178.0
25.5,2434008.0,2607394.0,4053703.0,3926937.0,2501639.0,2226103.0,895271.0,812678.0,637162.0,624011.0,650198.0,629406.0,212225.0
26.0,2500829.0,2686989.0,4263403.0,4040588.0,2584862.0,2294640.0,912051.0,892003.0,649249.0,642980.0,668926.0,643017.0,208469.0
26.5,2566534.0,2788539.0,4413244.0,4116440.0,2719680.0,2366882.0,927720.0,923060.0,675615.0,654224.0,678054.0,653008.0,212849.0
27.0,2650288.0,2989994.0,4526755.0,4198061.0,2960612.0,2431694.0,945049.0,944917.0,733310.0,686205.0,697242.0,685677.0,211008.0
