,E7,E8,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11.0,261961.0,267188.0,265891.0,3397717.0,3686844.0,3684948.0,3379394.0,3285362.0,3486848.0,2416278.0,2329312.0,2313130.0,2513617.0,2519799.0,2295042.0,1902186.0,1831265.0,1923451.0,1957211.0,1858228.0,1929294.0,3376415.0,3531158.0,3483657.0,3475316.0,3603326.0,3403591.0,4773305.0,4266536.0,4153328.0,4113768.0,4109978.0,4165680.0,2345892.0,2404736.0,2389624.0,2388969.0,2377508.0,2722271.0
11.5,262179.0,265593.0,268457.0,3515796.0,4012761.0,3858802.0,3955910.0,3863969.0,3903928.0,2614252.0,2559362.0,2496129.0,2726898.0,2730806.0,2357229.0,1962578.0,1996833.0,2095262.0,2167519.0,1966854.0,2033164.0,3486142.0,3814206.0,3759449.0,3728750.0,3858799.0,3388889.0,5182739.0,4738382.0,4678456.0,4586174.0,4581970.0,4609263.0,2565431.0,2613904.0,2616486.0,2593181.0,2618888.0,2901677.0
12.0,265347.0,262456.0,265574.0,3716816.0,4158362.0,3900068.0,4361023.0,4289744.0,4247401.0,2814195.0,2811162.0,2714274.0,2805735.0,2831555.0,2479303.0,2005591.0,2058601.0,2212073.0,2282086.0,2030515.0,2101034.0,3629628.0,3996240.0,3934330.0,3911606.0,4018274.0,3423073.0,5394762.0,5009344.0,4968554.0,4848766.0,4902942.0,4819684.0,2677605.0,2756927.0,2732282.0,2702950.0,2747709.0,3010551.0
12.5,263382.0,262145.0,263810.0,4009351.0,4361130.0,4064996.0,4608371.0,4537011.0,4509513.0,2963992.0,3031078.0,2873874.0,2924526.0,3008072.0,2684023.0,2160144.0,2146634.0,2291376.0,2366371.0,2095925.0,2151163.0,3799333.0,4210279.0,4102956.0,4092299.0,4217411.0,3639117.0,5685943.0,5275245.0,5232035.0,5114564.0,5159540.0,5001531.0,2799776.0,2874309.0,2827472.0,2814952.0,2870023.0,3142170.0
13.0,258787.0,261844.0,261899.0,4263259.0,4401749.0,4184554.0,4753708.0,4642032.0,4582931.0,3015093.0,3091511.0,2940251.0,2966053.0,3086449.0,2831688.0,2293987.0,2209809.0,2343609.0,2446045.0,2138066.0,2179884.0,3883531.0,4318425.0,4208981.0,4175529.0,4276114.0,3918691.0,5871557.0,5463641.0,5355738.0,5205855.0,5312925.0,5093806.0,2841551.0,2945944.0,2871877.0,2856166.0,2939517.0,3232226.0
13.5,259219.0,258478.0,264150.0,4505756.0,4489390.0,4311177.0,4939903.0,4843825.0,4776810.0,3117189.0,3212817.0,3070793.0,3068329.0,3095928.0,2978886.0,2466714.0,2279540.0,2439170.0,2530128.0,2197404.0,2234871.0,3994276.0,4529347.0,4429609.0,4378507.0,4243559.0,4198807.0,6167804.0,5778194.0,5607733.0,5369844.0,5506605.0,5276982.0,2937419.0,3060490.0,2976339.0,2965675.0,3070571.0,3396268.0
14.0,263160.0,262430.0,265141.0,4684546.0,4415960.0,4366713.0,5110041.0,5000469.0,4896117.0,3206633.0,3270233.0,3134199.0,3089722.0,3011513.0,3106879.0,2573733.0,2281182.0,2476633.0,2516422.0,2252436.0,2270481.0,4088368.0,4626295.0,4521462.0,4372454.0,4144347.0,4312190.0,6367261.0,5987344.0,5736862.0,5469469.0,5592957.0,5368364.0,2986238.0,3115405.0,3030114.0,3007038.0,3128310.0,3471621.0
14.5,259290.0,262461.0,267021.0,4915954.0,4361440.0,4419703.0,5291463.0,5211473.0,5091021.0,3371055.0,3418191.0,3284854.0,3238234.0,3001299.0,3209915.0,2716188.0,2266829.0,2559690.0,2520641.0,2337826.0,2345625.0,4085454.0,4839336.0,4715634.0,4396135.0,4201274.0,4543432.0,6676602.0,6295020.0,6005690.0,5685999.0,5815741.0,5542520.0,3078801.0,3217174.0,3135085.0,3113368.0,3248132.0,3615548.0
15.0,260521.0,265142.0,265932.0,5029963.0,4301257.0,4258129.0,5391005.0,5254983.0,5146815.0,3419827.0,3467499.0,3309163.0,3247972.0,2960710.0,3269618.0,2760257.0,2237989.0,2502388.0,2482569.0,2348983.0,2351768.0,3996921.0,4830695.0,4660917.0,4265939.0,4257760.0,4542555.0,6798666.0,6462808.0,6125407.0,5751961.0,5931190.0,5619964.0,3102110.0,3270273.0,3153051.0,3139192.0,3272182.0,3662174.0
15.5,263754.0,264080.0,267036.0,5200234.0,4394658.0,4164767.0,5422538.0,5345275.0,5263015.0,3493940.0,3585400.0,3325106.0,3265666.0,2986302.0,3373741.0,2878176.0,2315248.0,2474543.0,2475273.0,2351904.0,2292672.0,3969255.0,4909765.0,4688031.0,4247793.0,4404863.0,4695288.0,7088059.0,6723348.0,6301337.0,5934740.0,6115844.0,5767469.0,3183663.0,3350796.0,3218729.0,3221781.0,3377957.0,3766563.0
16.0,262090.0,266765.0,268069.0,5244533.0,4448001.0,4086511.0,5300224.0,5260793.0,5169419.0,3441753.0,3561233.0,3276973.0,3202674.0,2982660.0,3369699.0,2909584.0,2357935.0,2431845.0,2502567.0,2279988.0,2242370.0,3937710.0,4810913.0,4594253.0,4164561.0,4532491.0,4706692.0,7203543.0,6801873.0,6396805.0,5973263.0,6194263.0,5808673.0,3191541.0,3366618.0,3246133.0,3225801.0,3399312.0,3816115.0
16.5,265428.0,268055.0,274164.0,5384048.0,4694403.0,4202866.0,5205581.0,5188243.0,5119347.0,3365886.0,3568518.0,3245878.0,3175591.0,3089276.0,3455698.0,3003227.0,2454633.0,2496187.0,2594593.0,2283445.0,2294735.0,4066791.0,4732471.0,4559569.0,4285383.0,4720028.0,4816421.0,7376211.0,7006148.0,6572599.0,6156544.0,6334990.0,5916380.0,3259323.0,3444638.0,3334907.0,3291893.0,3471381.0,3922666.0
17.0,264403.0,269534.0,273730.0,5405977.0,4935711.0,4308041.0,4927774.0,5009374.0,4902595.0,3200793.0,3417981.0,3134331.0,3034339.0,3121492.0,3461285.0,3024547.0,2571281.0,2534294.0,2640353.0,2295867.0,2328379.0,4144354.0,4563551.0,4454886.0,4271638.0,4805372.0,4837753.0,7413144.0,7052027.0,6653646.0,6188361.0,6349552.0,5964832.0,3268732.0,3453466.0,3322747.0,3300380.0,3484334.0,3931891.0
17.5,269293.0,268647.0,271182.0,5542233.0,5222414.0,4508340.0,4872181.0,4925629.0,4824676.0,3127335.0,3299341.0,3101927.0,3000666.0,3217377.0,3551855.0,3101368.0,2716004.0,2622754.0,2748053.0,2388534.0,2426297.0,4343269.0,4533464.0,4470177.0,4417852.0,5002608.0,4911692.0,7591158.0,7229098.0,6793307.0,6365060.0,6502167.0,6058812.0,3327596.0,3514829.0,3362157.0,3385097.0,3555733.0,4022076.0
18.0,265964.0,268918.0,274119.0,5607723.0,5350711.0,4725889.0,4859139.0,4862073.0,4786501.0,3089095.0,3226890.0,3075223.0,3026808.0,3321239.0,3567064.0,3163250.0,2758683.0,2708970.0,2822235.0,2487399.0,2520374.0,4518280.0,4564920.0,4460804.0,4573092.0,5073983.0,4926938.0,7689459.0,7296864.0,6882231.0,6411178.0,6523085.0,6087281.0,3356338.0,3548091.0,3397409.0,3382612.0,3598281.0,4074248.0
18.5,268556.0,273390.0,274172.0,5715814.0,5481841.0,4946440.0,5009932.0,4947375.0,4879134.0,3176014.0,3271385.0,3146709.0,3107652.0,3452852.0,3653342.0,3212284.0,2823679.0,2838426.0,2902645.0,2648168.0,2645096.0,4724560.0,4699034.0,4573190.0,4829469.0,5175159.0,5042427.0,7845730.0,7460674.0,7044469.0,6542946.0,6656093.0,6241877.0,3435132.0,3626720.0,3471646.0,3453818.0,3665421.0,4154848.0
19.0,266352.0,271845.0,276771.0,5816079.0,5511448.0,5057023.0,5136324.0,5048616.0,4957797.0,3234960.0,3335895.0,3204289.0,3181550.0,3493507.0,3714037.0,3270619.0,2862268.0,2923354.0,2954118.0,2750410.0,2699057.0,4780329.0,4847321.0,4716326.0,4907362.0,5228451.0,5096676.0,7952125.0,7526905.0,7181246.0,6621117.0,6758903.0,6334607.0,3462037.0,3655710.0,3497134.0,3493900.0,3725433.0,4235923.0
19.5,273288.0,269251.0,278456.0,5961403.0,5651739.0,5192698.0,5370109.0,5232392.0,5129811.0,3399429.0,3407574.0,3335884.0,3355780.0,3563003.0,3747039.0,3355275.0,2924908.0,2980721.0,2997578.0,2837072.0,2754041.0,4846584.0,5100072.0,4983604.0,5020065.0,5325762.0,5177588.0,8172140.0,7688301.0,7332721.0,6779930.0,6888260.0,6454469.0,3550104.0,3734962.0,3564185.0,3589920.0,3817281.0,4348900.0
20.0,273356.0,271933.0,276259.0,5947220.0,5627755.0,5182642.0,5546037.0,5354755.0,5241225.0,3492690.0,3487393.0,3418387.0,3458343.0,3572386.0,3762053.0,3354422.0,2909882.0,2961778.0,3004563.0,2855185.0,2761826.0,4850205.0,5195339.0,5031277.0,4990060.0,5282508.0,5162096.0,8215415.0,7678793.0,7356435.0,6798069.0,6906294.0,6461818.0,3553422.0,3748174.0,3561809.0,3577960.0,3844327.0,4380958.0
20.5,273033.0,276928.0,281797.0,6086362.0,5698942.0,5242621.0,5809634.0,5603747.0,5479760.0,3633117.0,3621764.0,3529482.0,3577359.0,3600069.0,3824423.0,3405916.0,2943746.0,3002628.0,3044888.0,2919186.0,2817857.0,4917785.0,5306543.0,5155023.0,5058246.0,5375046.0,5251441.0,8384096.0,7848148.0,7530127.0,6929716.0,7104953.0,6598022.0,3638106.0,3820732.0,3637816.0,3662189.0,3924609.0,4469604.0
21.0,270746.0,272666.0,276858.0,6052077.0,5677535.0,5253043.0,5806886.0,5642582.0,5534024.0,3633347.0,3671370.0,3527157.0,3550553.0,3559262.0,3801459.0,3421649.0,2920434.0,3006661.0,3001519.0,2908692.0,2806126.0,4867509.0,5253553.0,5104743.0,4998236.0,5329662.0,5252166.0,8349778.0,7878987.0,7551492.0,6931992.0,7029448.0,6623411.0,3645584.0,3799605.0,3639510.0,3662028.0,3915437.0,4454487.0
