,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
12.5,274439.0,270443.0,276678.0,270581.0,272491.0,270607.0,262372.0,259887.0,266129.0,257700.0,258150.0,261334.0,292803.0,297337.0
13.0,273974.0,274835.0,273018.0,274122.0,271386.0,270009.0,262142.0,259112.0,266611.0,261016.0,260203.0,260331.0,292898.0,293522.0
13.5,273551.0,275142.0,272498.0,270722.0,276578.0,268446.0,259373.0,258130.0,263321.0,260922.0,262288.0,257054.0,294756.0,297739.0
14.0,274333.0,271432.0,275494.0,271870.0,272530.0,270255.0,261347.0,257582.0,262083.0,259555.0,262893.0,261250.0,292343.0,297894.0
14.5,272006.0,269327.0,272904.0,274399.0,273626.0,272500.0,260098.0,256366.0,263947.0,257699.0,258032.0,261891.0,294220.0,296932.0
15.0,273841.0,274269.0,272947.0,271909.0,274547.0,270054.0,261323.0,256527.0,264868.0,262160.0,257658.0,264379.0,293281.0,296323.0
15.5,272632.0,268773.0,275663.0,276850.0,272793.0,268791.0,260045.0,256139.0,260904.0,261022.0,254708.0,258739.0,296088.0,297388.0
16.0,272387.0,272418.0,273874.0,277007.0,274451.0,273456.0,256281.0,255869.0,261982.0,258146.0,258433.0,259301.0,291203.0,298607.0
16.5,273674.0,269871.0,272174.0,273927.0,274064.0,269915.0,257127.0,258306.0,262909.0,260150.0,255456.0,264166.0,293415.0,299854.0
17.0,273174.0,275496.0,274745.0,271241.0,272384.0,272300.0,263476.0,255123.0,263885.0,259058.0,259028.0,259642.0,289141.0,295974.0
17.5,271971.0,270250.0,273918.0,272063.0,274121.0,277963.0,262904.0,255277.0,259642.0,262486.0,258880.0,261879.0,293659.0,297497.0
18.0,273350.0,272432.0,275980.0,273538.0,272973.0,272897.0,259117.0,258049.0,263277.0,259669.0,256346.0,260518.0,295294.0,298754.0
18.5,276452.0,273602.0,273968.0,272709.0,272297.0,273701.0,260262.0,257232.0,260917.0,257593.0,255617.0,257633.0,293517.0,302632.0
19.0,277802.0,270802.0,270101.0,272614.0,273766.0,270241.0,258449.0,258057.0,258923.0,254830.0,256805.0,261105.0,294614.0,301120.0
19.5,275816.0,275549.0,274299.0,274189.0,273872.0,270987.0,264137.0,252571.0,261226.0,256756.0,256820.0,261281.0,297150.0,302627.0
20.0,269670.0,272910.0,274690.0,270743.0,274666.0,271559.0,259923.0,252973.0,262268.0,256462.0,255267.0,260172.0,298667.0,303339.0
20.5,278543.0,277643.0,274013.0,271017.0,274424.0,274119.0,260963.0,258664.0,261070.0,260527.0,259432.0,260698.0,293704.0,309026.0
21.0,277614.0,277286.0,273854.0,276997.0,273741.0,278987.0,261216.0,257064.0,260278.0,257761.0,255202.0,258046.0,297581.0,300468.0
21.5,274477.0,271844.0,273667.0,273224.0,276586.0,274925.0,259314.0,257926.0,265681.0,259426.0,257820.0,258090.0,296432.0,302806.0
22.0,275585.0,274740.0,277131.0,274537.0,271918.0,272973.0,261704.0,255573.0,262170.0,258326.0,257723.0,255013.0,295335.0,306389.0
22.5,275397.0,271122.0,276179.0,274564.0,272564.0,272030.0,260934.0,257193.0,258510.0,256486.0,256348.0,255509.0,296921.0,305021.0
23.0,279435.0,272875.0,276237.0,276362.0,278209.0,274182.0,258233.0,257233.0,261158.0,255854.0,254485.0,258211.0,296654.0,304991.0
23.5,276765.0,275004.0,275753.0,279794.0,273386.0,276909.0,263551.0,257311.0,262898.0,259738.0,256281.0,258174.0,296767.0,305220.0
24.0,279281.0,274183.0,277877.0,276314.0,271867.0,275197.0,263420.0,253944.0,261542.0,255690.0,257171.0,258042.0,297103.0,305561.0
24.5,277128.0,277829.0,278159.0,274276.0,275519.0,278354.0,262897.0,256371.0,254947.0,257795.0,257557.0,257557.0,297276.0,308867.0
25.0,283585.0,270128.0,274813.0,275743.0,276000.0,275209.0,262514.0,256170.0,259810.0,258119.0,255377.0,260779.0,296819.0,306190.0
25.5,282460.0,275900.0,277222.0,276520.0,273680.0,278700.0,262886.0,255965.0,261852.0,256961.0,259798.0,259736.0,297259.0,309436.0
26.0,282461.0,277072.0,277227.0,274806.0,277061.0,274039.0,261037.0,255140.0,259511.0,256563.0,256374.0,259257.0,297665.0,308765.0
26.5,276940.0,277331.0,277696.0,274500.0,278021.0,274049.0,265586.0,257122.0,260188.0,256225.0,256347.0,256584.0,297901.0,313067.0
27.0,280305.0,276622.0,277236.0,278312.0,277847.0,277421.0,266061.0,259014.0,262666.0,256850.0,259775.0,256732.0,294720.0,312253.0
27.5,281364.0,280618.0,283619.0,278894.0,282151.0,277995.0,265048.0,258394.0,263054.0,261601.0,260033.0,262460.0,299156.0,315871.0
28.0,285834.0,281526.0,278047.0,279134.0,278266.0,286024.0,267929.0,258523.0,264844.0,256830.0,256258.0,263205.0,300978.0,308555.0
28.5,285339.0,279747.0,281290.0,282550.0,281189.0,286874.0,266790.0,257508.0,263243.0,259121.0,259968.0,263610.0,299715.0,312555.0
29.0,288559.0,280097.0,279057.0,279158.0,282047.0,292156.0,264467.0,258693.0,265171.0,259466.0,257893.0,263140.0,297105.0,312434.0
29.5,289502.0,281981.0,289511.0,284699.0,286452.0,293125.0,264947.0,258682.0,265852.0,258488.0,260550.0,261053.0,297895.0,311986.0
30.0,294163.0,285977.0,283088.0,284142.0,284489.0,289506.0,265618.0,261901.0,263630.0,257615.0,262579.0,261415.0,300128.0,317486.0
30.5,296369.0,287757.0,284064.0,285201.0,291386.0,296545.0,264408.0,258107.0,260815.0,266673.0,258963.0,259084.0,299896.0,316528.0
31.0,294020.0,288652.0,283444.0,290935.0,289851.0,295433.0,262841.0,258116.0,266057.0,269268.0,260604.0,261661.0,302917.0,315205.0
31.5,296487.0,287862.0,289482.0,288632.0,296152.0,297015.0,262987.0,259318.0,263164.0,271716.0,262435.0,258760.0,298255.0,317934.0
32.0,300534.0,293856.0,293631.0,287855.0,293057.0,297619.0,266077.0,259142.0,262524.0,270355.0,260818.0,262397.0,300072.0,315077.0
32.5,300294.0,294238.0,290566.0,290185.0,300853.0,297345.0,266865.0,256737.0,263372.0,265942.0,259914.0,258522.0,298290.0,313944.0
33.0,299436.0,298608.0,296424.0,296986.0,302456.0,296513.0,265050.0,257604.0,264566.0,268442.0,264422.0,262418.0,303807.0,315160.0
33.5,299268.0,295685.0,294015.0,299893.0,298720.0,298137.0,263610.0,261392.0,264645.0,266475.0,262099.0,259424.0,300665.0,317532.0
34.0,302467.0,293602.0,296018.0,297898.0,301076.0,303617.0,267411.0,258436.0,266769.0,270329.0,260967.0,260317.0,300828.0,317811.0
34.5,304184.0,299640.0,302635.0,297314.0,305305.0,299841.0,265415.0,259601.0,263322.0,269474.0,262625.0,261261.0,303487.0,314475.0
35.0,307264.0,300711.0,297263.0,298355.0,303626.0,298786.0,263763.0,259627.0,261193.0,271442.0,261117.0,261957.0,302978.0,311650.0
35.5,301231.0,298540.0,299169.0,298905.0,304693.0,303895.0,266305.0,258164.0,262685.0,271421.0,260846.0,257468.0,305918.0,318100.0
36.0,305977.0,299413.0,298939.0,301179.0,306556.0,302009.0,264676.0,258790.0,262382.0,269920.0,261679.0,261201.0,303196.0,314940.0
36.5,304782.0,296300.0,298901.0,299520.0,305588.0,308578.0,262961.0,258406.0,263982.0,269565.0,261795.0,259615.0,305773.0,319702.0
37.0,306180.0,298692.0,302175.0,303739.0,306292.0,301798.0,260511.0,256775.0,265032.0,266126.0,262119.0,263302.0,303971.0,317316.0
37.5,306479.0,301763.0,303740.0,300415.0,307784.0,309373.0,266269.0,257154.0,263867.0,269810.0,262923.0,261739.0,306285.0,317866.0
38.0,307832.0,302684.0,301220.0,306296.0,311313.0,302697.0,267228.0,259693.0,265775.0,267518.0,263335.0,259579.0,305358.0,320180.0
38.5,307585.0,302774.0,303650.0,305227.0,309783.0,302736.0,263384.0,260377.0,265093.0,267888.0,266692.0,263893.0,302835.0,320080.0
39.0,306962.0,303642.0,302020.0,304430.0,312158.0,303782.0,263176.0,262835.0,264421.0,268349.0,261264.0,260212.0,302556.0,317929.0
39.5,303505.0,300091.0,303325.0,303309.0,311203.0,309768.0,262818.0,259634.0,267686.0,269269.0,265537.0,262448.0,306354.0,319371.0
