,A2,A3,A4,A8,A10,A12,B7,B8,B9,C4,C5,C6,C7,C8,C9,D4,D5,D6,D7,D8,D9,D10,D11,D12,E4,E5,E6,E7,E8,E9,E10,E11,E12,F4,F5,F6,F7,F8,F9,F10,F11,F12,G4,G5,G6,G7,G8,G9,G10,G11,G12,H4,H5,H6,H7,H8,H9,H10,H11,H12
7.0,319623.0,320854.0,322692.0,439362.0,341350.0,267065.0,924566.0,874557.0,914693.0,849742.0,869550.0,823549.0,956293.0,956390.0,918159.0,845217.0,835273.0,817789.0,753799.0,747413.0,748211.0,624515.0,617352.0,644639.0,468779.0,470644.0,461785.0,350365.0,353220.0,383959.0,606630.0,610945.0,606464.0,338603.0,348513.0,300605.0,320627.0,327493.0,325793.0,447340.0,450199.0,442142.0,401300.0,307731.0,330308.0,320470.0,323214.0,329357.0,294713.0,300796.0,300001.0,315718.0,338260.0,337777.0,321030.0,322139.0,332521.0,256337.0,260102.0,256315.0
7.5,322138.0,316792.0,320029.0,472746.0,337675.0,264083.0,1058836.0,1014074.0,1014164.0,943562.0,995149.0,938133.0,1106697.0,1099293.0,1019084.0,942050.0,956511.0,933425.0,835912.0,831056.0,845922.0,671037.0,684273.0,694771.0,501129.0,515533.0,503602.0,359023.0,360107.0,404106.0,634759.0,647741.0,651594.0,341663.0,359552.0,298747.0,323286.0,326395.0,329129.0,461460.0,459613.0,453703.0,416407.0,313490.0,340232.0,316706.0,318731.0,324202.0,297352.0,298701.0,300066.0,326327.0,351154.0,353749.0,322967.0,321853.0,326852.0,253367.0,256754.0,259709.0
8.0,322159.0,323398.0,316047.0,517243.0,349092.0,268924.0,1214412.0,1153822.0,1141570.0,1087392.0,1117476.0,1056551.0,1230490.0,1244727.0,1153064.0,1059957.0,1114447.0,1056699.0,945379.0,930429.0,954069.0,749000.0,741565.0,775488.0,550495.0,562874.0,552909.0,368271.0,373782.0,420277.0,670982.0,674620.0,695721.0,357003.0,372014.0,307318.0,319768.0,323427.0,330693.0,465289.0,470441.0,468803.0,438836.0,322722.0,354105.0,315973.0,317459.0,323460.0,297399.0,298266.0,303568.0,339999.0,366449.0,361338.0,320764.0,320454.0,325520.0,253402.0,255269.0,255920.0
8.5,321295.0,320059.0,317413.0,556744.0,345891.0,263570.0,1357645.0,1313579.0,1284423.0,1217469.0,1241649.0,1203377.0,1414293.0,1427444.0,1318292.0,1195168.0,1275012.0,1198775.0,1073670.0,1042336.0,1082307.0,812597.0,806590.0,854413.0,608347.0,618814.0,600967.0,391714.0,388788.0,445848.0,696577.0,701420.0,728601.0,368417.0,390263.0,311251.0,317100.0,324205.0,326228.0,473925.0,478846.0,475306.0,467867.0,327433.0,361753.0,310538.0,314704.0,317366.0,294446.0,299471.0,302425.0,349430.0,386035.0,378620.0,318519.0,319504.0,317222.0,252887.0,254751.0,253775.0
9.0,322067.0,323472.0,319797.0,609086.0,349839.0,267893.0,1526685.0,1460126.0,1437241.0,1361295.0,1378979.0,1362598.0,1634456.0,1642553.0,1509668.0,1354373.0,1447440.0,1353938.0,1217850.0,1201503.0,1221214.0,894226.0,862840.0,944659.0,663799.0,678039.0,662771.0,412345.0,414010.0,485874.0,723747.0,739438.0,772488.0,384210.0,412210.0,315576.0,319880.0,318670.0,322081.0,485178.0,492969.0,490098.0,502140.0,337171.0,380441.0,312661.0,319541.0,317827.0,296842.0,298662.0,308640.0,365429.0,412306.0,399957.0,318835.0,319257.0,317059.0,250646.0,253327.0,252484.0
9.5,323745.0,320611.0,316556.0,675089.0,345660.0,265335.0,1722752.0,1626660.0,1620201.0,1501737.0,1533783.0,1519783.0,1885862.0,1883345.0,1714129.0,1508680.0,1608001.0,1562423.0,1395378.0,1383682.0,1411176.0,978972.0,937449.0,1051591.0,736938.0,745956.0,730516.0,443850.0,445765.0,529821.0,764697.0,778124.0,816368.0,402355.0,433820.0,322439.0,316797.0,327867.0,320078.0,494853.0,490945.0,508647.0,541472.0,346853.0,398922.0,313059.0,313158.0,310828.0,296402.0,302654.0,308860.0,386617.0,434883.0,418201.0,323945.0,320344.0,317595.0,247188.0,255668.0,252447.0
10.0,319947.0,323070.0,316675.0,761555.0,352909.0,268704.0,1930913.0,1825373.0,1787386.0,1672232.0,1723012.0,1703637.0,2157891.0,2128193.0,1951623.0,1693042.0,1771097.0,1759517.0,1574280.0,1591717.0,1608696.0,1072326.0,1043118.0,1142778.0,811818.0,819143.0,810959.0,479306.0,487641.0,594650.0,794160.0,811657.0,878449.0,430182.0,456499.0,332277.0,315396.0,321341.0,315742.0,516522.0,498779.0,526991.0,589906.0,354581.0,413923.0,303240.0,316930.0,317765.0,296552.0,304812.0,306647.0,410622.0,466721.0,458986.0,319864.0,320064.0,313511.0,253252.0,254995.0,253182.0
10.5,315724.0,320037.0,319427.0,872710.0,355525.0,270008.0,2120472.0,2004912.0,1928151.0,1833834.0,1870023.0,1880840.0,2405517.0,2403643.0,2163178.0,1844875.0,1948847.0,1960422.0,1768317.0,1792425.0,1816821.0,1142297.0,1109867.0,1194278.0,918761.0,917148.0,915210.0,529070.0,537853.0,663174.0,815108.0,823280.0,887800.0,458881.0,495794.0,346713.0,316005.0,323727.0,312032.0,504989.0,502705.0,536010.0,650218.0,368248.0,446453.0,304849.0,306868.0,311706.0,295646.0,300889.0,308407.0,440743.0,497891.0,483659.0,312865.0,319565.0,311059.0,248038.0,255136.0,253114.0
11.0,323000.0,318690.0,316355.0,971715.0,349498.0,268284.0,2301775.0,2189150.0,2099690.0,1987651.0,2056161.0,2049425.0,2633331.0,2669287.0,2415364.0,2072560.0,2109407.0,2140793.0,1976708.0,1975411.0,1993605.0,1211153.0,1181505.0,1252296.0,1039529.0,1032300.0,1027942.0,590040.0,588136.0,719795.0,830828.0,835712.0,903437.0,498834.0,530250.0,360897.0,314055.0,318174.0,307924.0,500820.0,492068.0,531629.0,706779.0,398709.0,477894.0,298869.0,306146.0,309466.0,296155.0,301480.0,310972.0,470404.0,543927.0,521483.0,314428.0,320023.0,319973.0,250387.0,250154.0,252621.0
11.5,320602.0,317798.0,318084.0,1048613.0,354453.0,275390.0,2472630.0,2350876.0,2263186.0,2127896.0,2251689.0,2183403.0,2881846.0,2880558.0,2647093.0,2347344.0,2245772.0,2349048.0,2177141.0,2211798.0,2185138.0,1292220.0,1286085.0,1388565.0,1143508.0,1158188.0,1122758.0,641665.0,642435.0,792299.0,871948.0,867542.0,978478.0,541820.0,589911.0,383151.0,310302.0,314254.0,304768.0,506679.0,495000.0,536991.0,760720.0,429642.0,520571.0,297725.0,308919.0,305845.0,294676.0,302785.0,319473.0,511920.0,591985.0,566106.0,318729.0,316549.0,318139.0,252081.0,253308.0,253174.0
12.0,319908.0,319424.0,319458.0,1131994.0,356785.0,275645.0,2591788.0,2479127.0,2397936.0,2272294.0,2477481.0,2310538.0,3124966.0,3110799.0,2858223.0,2638942.0,2383832.0,2535179.0,2407993.0,2432866.0,2426820.0,1371668.0,1399191.0,1607340.0,1283278.0,1287319.0,1231782.0,696996.0,701371.0,871142.0,934104.0,942350.0,1050174.0,584375.0,636877.0,416995.0,313717.0,319709.0,311589.0,522107.0,521867.0,554084.0,830756.0,464828.0,564418.0,299181.0,308980.0,307436.0,304061.0,303347.0,319459.0,547152.0,641146.0,603303.0,318162.0,320652.0,319088.0,252179.0,255349.0,252716.0
12.5,314205.0,318364.0,320563.0,1198894.0,362840.0,277492.0,2725391.0,2607137.0,2479073.0,2452175.0,2652813.0,2473643.0,3373899.0,3319877.0,3057963.0,2879158.0,2471307.0,2690722.0,2616908.0,2663035.0,2634865.0,1543880.0,1613230.0,1799984.0,1418257.0,1410402.0,1347522.0,746556.0,757009.0,936247.0,1008066.0,1033620.0,1118961.0,629891.0,683180.0,438045.0,313479.0,317380.0,314288.0,538193.0,538260.0,577064.0,891220.0,505276.0,608652.0,299045.0,304048.0,309382.0,307006.0,307805.0,323446.0,594906.0,689849.0,657511.0,316854.0,317152.0,319870.0,253149.0,256686.0,256457.0
13.0,320594.0,321736.0,319898.0,1280327.0,367142.0,277682.0,2800265.0,2678212.0,2565075.0,2631441.0,2783609.0,2599436.0,3574167.0,3550252.0,3250522.0,3076073.0,2582526.0,2856610.0,2805974.0,2833921.0,2807919.0,1689486.0,1804605.0,1961283.0,1532509.0,1542401.0,1469036.0,808261.0,793777.0,1010953.0,1088308.0,1095257.0,1177223.0,681916.0,740137.0,465698.0,313365.0,322560.0,313129.0,556812.0,567632.0,606008.0,963800.0,531732.0,645248.0,302165.0,308741.0,308316.0,309484.0,312654.0,329064.0,644505.0,748762.0,716467.0,317302.0,322921.0,318594.0,253165.0,256149.0,260361.0
13.5,317483.0,322517.0,319870.0,1361243.0,366755.0,279771.0,2864499.0,2747951.0,2652224.0,2685444.0,2813477.0,2637150.0,3737983.0,3685240.0,3352177.0,3235358.0,2684357.0,2938368.0,2950593.0,2969925.0,2972648.0,1793101.0,1917456.0,2045860.0,1628154.0,1633197.0,1540955.0,847086.0,835079.0,1072460.0,1129410.0,1128982.0,1222168.0,722840.0,793973.0,496697.0,323129.0,326803.0,317140.0,570722.0,576592.0,628190.0,1014429.0,568389.0,685466.0,305402.0,313576.0,309789.0,305927.0,317274.0,330426.0,719664.0,830217.0,797155.0,321651.0,318748.0,321524.0,255780.0,260370.0,259493.0
14.0,322752.0,324001.0,320607.0,1466224.0,371046.0,282071.0,2931993.0,2794030.0,2729018.0,2736171.0,2827892.0,2656689.0,3796389.0,3859616.0,3497521.0,3330822.0,2801453.0,3067345.0,3045763.0,3085655.0,3105533.0,1874874.0,1994780.0,2105532.0,1728026.0,1697786.0,1611722.0,881477.0,877700.0,1120896.0,1160594.0,1174611.0,1254204.0,759218.0,838489.0,522724.0,323608.0,321590.0,322640.0,585512.0,598237.0,644600.0,1076496.0,594955.0,720243.0,302057.0,314557.0,315584.0,313276.0,318345.0,334124.0,800039.0,929088.0,896168.0,330208.0,320835.0,326768.0,260999.0,266005.0,261024.0
14.5,318734.0,322089.0,313098.0,1590416.0,377510.0,286577.0,3044754.0,2900660.0,2856416.0,2732137.0,2826971.0,2728226.0,3976855.0,3947517.0,3642075.0,3456628.0,2845496.0,3174181.0,3166753.0,3175005.0,3220456.0,1915843.0,2042332.0,2140266.0,1767673.0,1752831.0,1697535.0,904239.0,894894.0,1140846.0,1192555.0,1188549.0,1287599.0,786307.0,873365.0,543779.0,324033.0,329983.0,321229.0,589574.0,608877.0,659752.0,1120593.0,620870.0,752186.0,305174.0,315670.0,315643.0,312583.0,320427.0,335414.0,888551.0,1020331.0,986480.0,329607.0,330077.0,332241.0,259301.0,262321.0,266073.0
15.0,320085.0,319944.0,318375.0,1717794.0,384379.0,291200.0,3170527.0,3023274.0,2990569.0,2733301.0,2886435.0,2715801.0,4083777.0,4071928.0,3762579.0,3476556.0,2922200.0,3229381.0,3244910.0,3296504.0,3294536.0,1943875.0,2064133.0,2137327.0,1838779.0,1822291.0,1743644.0,921608.0,912767.0,1179649.0,1212863.0,1214903.0,1310446.0,830910.0,902032.0,562657.0,323564.0,329234.0,322007.0,597966.0,617917.0,671621.0,1166448.0,654436.0,766825.0,311939.0,316607.0,316464.0,321284.0,322322.0,336686.0,1001605.0,1129669.0,1106321.0,330830.0,331305.0,333630.0,263202.0,265672.0,268657.0
15.5,313589.0,314190.0,316623.0,1837222.0,390511.0,286833.0,3287451.0,3130723.0,3100126.0,2763881.0,2890443.0,2773257.0,4160761.0,4102584.0,3837724.0,3610064.0,3002130.0,3386627.0,3300718.0,3376465.0,3401292.0,1928422.0,2065278.0,2143005.0,1884265.0,1884807.0,1812317.0,945593.0,939157.0,1196936.0,1219826.0,1232206.0,1338123.0,860730.0,940504.0,586097.0,325987.0,329765.0,320285.0,608591.0,624539.0,692748.0,1214927.0,677324.0,820918.0,312777.0,322576.0,312402.0,323687.0,328915.0,335467.0,1116366.0,1258148.0,1240110.0,333235.0,335273.0,336737.0,256997.0,267728.0,265304.0
16.0,316920.0,317927.0,316421.0,1978648.0,398707.0,293111.0,3432569.0,3248080.0,3243521.0,2818968.0,2943689.0,2836078.0,4242088.0,4239709.0,3925457.0,3730819.0,3104871.0,3464805.0,3387020.0,3410406.0,3462552.0,1921468.0,2059321.0,2135308.0,1945564.0,1931989.0,1872125.0,969660.0,960913.0,1222276.0,1235703.0,1244978.0,1332067.0,884489.0,981678.0,596789.0,325518.0,332781.0,326738.0,619871.0,629656.0,687072.0,1278144.0,711490.0,867161.0,308602.0,317989.0,317261.0,322148.0,329321.0,333241.0,1259302.0,1416067.0,1387024.0,335322.0,332699.0,334485.0,264055.0,269260.0,269814.0
16.5,317887.0,321089.0,319255.0,2113572.0,408379.0,301352.0,3535421.0,3365500.0,3386056.0,2886759.0,2990643.0,2888346.0,4353712.0,4327943.0,4051901.0,3765802.0,3170141.0,3555418.0,3420925.0,3492432.0,3457094.0,1933212.0,2046814.0,2120125.0,1978950.0,1984006.0,1909234.0,981410.0,978366.0,1247164.0,1254901.0,1272310.0,1333326.0,931622.0,1012628.0,618441.0,328813.0,337142.0,331485.0,616820.0,636288.0,695211.0,1339894.0,765474.0,917112.0,314388.0,325968.0,321197.0,330408.0,333463.0,338332.0,1435709.0,1592225.0,1564055.0,339771.0,330529.0,333623.0,266072.0,269045.0,270654.0
17.0,321462.0,319191.0,314000.0,2267976.0,419500.0,308062.0,3674371.0,3492621.0,3534652.0,2949349.0,3029092.0,2947155.0,4455156.0,4405366.0,4155167.0,3813012.0,3242944.0,3580207.0,3510155.0,3560754.0,3555162.0,1918051.0,2028993.0,2087361.0,2029400.0,2016244.0,1954123.0,1008448.0,1006259.0,1264925.0,1264817.0,1279174.0,1333369.0,963786.0,1072300.0,649449.0,331317.0,336136.0,331055.0,625502.0,654863.0,692548.0,1407757.0,809913.0,978473.0,319086.0,326124.0,325270.0,330029.0,336294.0,338618.0,1612445.0,1794453.0,1752445.0,336263.0,336114.0,344341.0,264125.0,271634.0,269402.0
17.5,321834.0,319870.0,319710.0,2445856.0,428076.0,310874.0,3834873.0,3672131.0,3716467.0,3010916.0,3083467.0,3018745.0,4508483.0,4488491.0,4244195.0,3888759.0,3314921.0,3643727.0,3559247.0,3652603.0,3655759.0,1895884.0,2002256.0,2042203.0,2088979.0,2082583.0,1996486.0,1023631.0,1033209.0,1299382.0,1288018.0,1300847.0,1329522.0,1009941.0,1110863.0,671564.0,332342.0,335782.0,332664.0,640582.0,659410.0,691350.0,1483113.0,856413.0,1038755.0,319027.0,327526.0,324694.0,329046.0,340253.0,340520.0,1819900.0,2011094.0,1963822.0,340591.0,336198.0,338683.0,266237.0,272438.0,271144.0
18.0,318533.0,319422.0,321440.0,2647707.0,428790.0,309477.0,4043012.0,3855959.0,3955323.0,3068697.0,3118029.0,3077647.0,4581959.0,4526112.0,4286923.0,3950111.0,3401212.0,3679986.0,3638460.0,3695050.0,3698936.0,1863137.0,1974531.0,1972398.0,2131495.0,2136216.0,2057876.0,1048880.0,1044671.0,1315728.0,1289906.0,1307114.0,1327806.0,1057503.0,1154380.0,711262.0,337079.0,339513.0,333515.0,640799.0,667320.0,684533.0,1529837.0,891395.0,1088636.0,318845.0,328502.0,324200.0,328628.0,337494.0,347221.0,2024491.0,2237016.0,2159801.0,336819.0,339805.0,342826.0,266493.0,273901.0,269727.0
18.5,319575.0,319813.0,322112.0,2860411.0,432167.0,310255.0,4320390.0,4097987.0,4174353.0,3130781.0,3197807.0,3149016.0,4638526.0,4591276.0,4340091.0,4000742.0,3457055.0,3751028.0,3689778.0,3735426.0,3747814.0,1821086.0,1931112.0,1804383.0,2180653.0,2175802.0,2120650.0,1063389.0,1072198.0,1340064.0,1290684.0,1302347.0,1331719.0,1115317.0,1201442.0,748487.0,339558.0,340969.0,334196.0,643064.0,667864.0,686438.0,1593228.0,952091.0,1140911.0,321533.0,328343.0,322490.0,329877.0,338060.0,356442.0,2227815.0,2482170.0,2368274.0,342806.0,338305.0,335874.0,268141.0,276038.0,267259.0
19.0,318606.0,318750.0,319975.0,3124505.0,435814.0,311597.0,4575130.0,4334317.0,4385169.0,3202419.0,3247696.0,3222958.0,4677502.0,4631421.0,4377721.0,4013974.0,3540633.0,3794748.0,3714973.0,3752856.0,3757448.0,1754374.0,1868813.0,1544117.0,2237905.0,2228305.0,2204662.0,1081907.0,1091828.0,1361866.0,1284023.0,1291623.0,1328853.0,1167198.0,1259972.0,784198.0,335613.0,339964.0,337694.0,647366.0,668571.0,689962.0,1659382.0,993849.0,1187921.0,319642.0,329362.0,325019.0,329163.0,340971.0,359246.0,2412815.0,2710157.0,2567359.0,339098.0,342709.0,341776.0,267768.0,273476.0,273011.0
19.5,319302.0,320846.0,318709.0,3421424.0,432448.0,316966.0,4874243.0,4566271.0,4581237.0,3274041.0,3343668.0,3319132.0,4779846.0,4718485.0,4427676.0,4038430.0,3640217.0,3841923.0,3742425.0,3781298.0,3771376.0,1618602.0,1736206.0,1345518.0,2291978.0,2302269.0,2284683.0,1101688.0,1105588.0,1380346.0,1272708.0,1285100.0,1341126.0,1200080.0,1314697.0,819049.0,334780.0,341690.0,338138.0,640301.0,662758.0,700715.0,1718963.0,1038156.0,1250466.0,324016.0,330296.0,329732.0,333025.0,341533.0,362958.0,2619988.0,2923526.0,2755582.0,341614.0,340423.0,339353.0,268323.0,275797.0,273004.0
20.0,320459.0,321821.0,315511.0,3761054.0,438086.0,319951.0,5125222.0,4789045.0,4767083.0,3386333.0,3447587.0,3413663.0,4942914.0,4862257.0,4550333.0,4124223.0,3702346.0,3923605.0,3775017.0,3842714.0,3816128.0,1436298.0,1521345.0,1230790.0,2364463.0,2375012.0,2370683.0,1122633.0,1126153.0,1388734.0,1260820.0,1283061.0,1357977.0,1252083.0,1363024.0,853091.0,340921.0,342505.0,342362.0,641532.0,651405.0,709819.0,1789568.0,1081369.0,1313572.0,321315.0,334542.0,329191.0,334675.0,345066.0,361486.0,2816762.0,3134449.0,2921743.0,341610.0,340589.0,341724.0,268913.0,276217.0,269898.0
20.5,321622.0,321289.0,318662.0,4059287.0,435562.0,323219.0,5360997.0,4965103.0,4928383.0,3500188.0,3546916.0,3541120.0,5059261.0,4988491.0,4668936.0,4193357.0,3816793.0,3999931.0,3818905.0,3905124.0,3862664.0,1290350.0,1331607.0,1156705.0,2444937.0,2436200.0,2435681.0,1138162.0,1138762.0,1409073.0,1261359.0,1288258.0,1371404.0,1304619.0,1409740.0,894983.0,343949.0,349111.0,339002.0,641177.0,659467.0,720100.0,1844126.0,1137198.0,1381001.0,330762.0,336688.0,337171.0,339338.0,347909.0,367153.0,2981552.0,3341438.0,3107682.0,339323.0,343635.0,348644.0,268526.0,273430.0,272093.0
21.0,320580.0,321086.0,322733.0,4351079.0,434986.0,322892.0,5567760.0,5126611.0,5071043.0,3623252.0,3693327.0,3691759.0,5213028.0,5124684.0,4797319.0,4248848.0,3918425.0,4076985.0,3906097.0,3978774.0,3925275.0,1214185.0,1229809.0,1109009.0,2512724.0,2503497.0,2493531.0,1162478.0,1170145.0,1439322.0,1269911.0,1299006.0,1383267.0,1352120.0,1469696.0,939251.0,342432.0,346333.0,343733.0,640054.0,667479.0,734555.0,1937781.0,1180366.0,1444913.0,334035.0,342419.0,337698.0,344791.0,353437.0,366196.0,3140336.0,3531844.0,3274379.0,342474.0,341401.0,343983.0,272986.0,275057.0,271479.0
21.5,321924.0,326535.0,319907.0,4626012.0,436599.0,321665.0,5753213.0,5273020.0,5171601.0,3804775.0,3862180.0,3862157.0,5360929.0,5289730.0,4927748.0,4342666.0,4050139.0,4159827.0,3985879.0,4060140.0,4003594.0,1162339.0,1167682.0,1091615.0,2589922.0,2563666.0,2556994.0,1190120.0,1200186.0,1470372.0,1282840.0,1309536.0,1407380.0,1407829.0,1521030.0,976652.0,350629.0,354941.0,347928.0,644198.0,671607.0,743720.0,2038217.0,1247995.0,1535611.0,339502.0,349347.0,339010.0,347630.0,360281.0,369961.0,3334730.0,3753480.0,3427681.0,346748.0,341066.0,343252.0,269619.0,278839.0,274747.0
22.0,320162.0,325007.0,318872.0,4901245.0,437323.0,327164.0,5918271.0,5402140.0,5313803.0,3959272.0,4012169.0,4027640.0,5578302.0,5490011.0,5108108.0,4447279.0,4219887.0,4277066.0,4070359.0,4178647.0,4098767.0,1128260.0,1141286.0,1073403.0,2654934.0,2638088.0,2662390.0,1226481.0,1220897.0,1494471.0,1286972.0,1315444.0,1434069.0,1464379.0,1578382.0,1018501.0,356173.0,355790.0,352570.0,650579.0,676439.0,752017.0,2172217.0,1317955.0,1634547.0,335365.0,347887.0,339751.0,349416.0,360979.0,370702.0,3510620.0,3948990.0,3594269.0,344816.0,342962.0,341365.0,272613.0,275249.0,272474.0
22.5,323282.0,319602.0,319798.0,5180147.0,440239.0,316824.0,6069375.0,5533818.0,5415379.0,4104247.0,4171727.0,4204012.0,5841063.0,5763718.0,5340702.0,4544993.0,4444604.0,4401421.0,4189610.0,4284774.0,4189945.0,1117286.0,1121906.0,1056407.0,2730815.0,2718608.0,2739406.0,1256167.0,1258948.0,1527436.0,1302476.0,1329153.0,1464353.0,1534288.0,1648651.0,1063799.0,356178.0,358444.0,357250.0,664108.0,685966.0,768984.0,2322964.0,1426028.0,1753639.0,336988.0,347785.0,348677.0,354414.0,361803.0,378154.0,3635001.0,4145558.0,3762068.0,344624.0,344151.0,346404.0,272793.0,277741.0,275536.0
23.0,321720.0,323580.0,315431.0,5431619.0,438229.0,326481.0,6219109.0,5643963.0,5530918.0,4245375.0,4286306.0,4358831.0,6157762.0,6082852.0,5657033.0,4659325.0,4633144.0,4526889.0,4301931.0,4406204.0,4279455.0,1105153.0,1110237.0,1053907.0,2823881.0,2801984.0,2830156.0,1293518.0,1295654.0,1569463.0,1308764.0,1336381.0,1479610.0,1625854.0,1716367.0,1141447.0,360868.0,364106.0,355340.0,670240.0,696111.0,780423.0,2489554.0,1540414.0,1899883.0,339121.0,352213.0,346629.0,354628.0,362026.0,373476.0,3790385.0,4307145.0,3913935.0,342939.0,345745.0,348598.0,271390.0,275777.0,275669.0
23.5,322768.0,327048.0,318293.0,5657546.0,436252.0,323425.0,6346276.0,5753931.0,5635436.0,4351664.0,4378279.0,4471490.0,6485835.0,6370763.0,5952862.0,4792615.0,4842056.0,4724210.0,4474695.0,4570009.0,4415176.0,1106690.0,1104331.0,1053540.0,2953669.0,2931623.0,2955228.0,1345757.0,1338662.0,1619110.0,1327549.0,1356743.0,1488928.0,1742227.0,1814740.0,1200713.0,363592.0,364195.0,362516.0,676453.0,700247.0,790660.0,2643832.0,1652751.0,2043227.0,340008.0,348373.0,344584.0,354773.0,366502.0,373554.0,3917279.0,4463949.0,4030287.0,343678.0,345038.0,340074.0,271088.0,278404.0,276727.0
24.0,318575.0,321450.0,320572.0,5849854.0,432556.0,323346.0,6467631.0,5855953.0,5710351.0,4457222.0,4497575.0,4575765.0,6812719.0,6723860.0,6273919.0,5001694.0,5092289.0,4924762.0,4696014.0,4788218.0,4611989.0,1098220.0,1096140.0,1038788.0,3100620.0,3088042.0,3127275.0,1403874.0,1404586.0,1669163.0,1361558.0,1378131.0,1509001.0,1868595.0,1933049.0,1289070.0,361984.0,365091.0,363165.0,688033.0,710870.0,796594.0,2788891.0,1770976.0,2171480.0,343794.0,351324.0,349180.0,359324.0,368918.0,380007.0,4065309.0,4624514.0,4176068.0,342179.0,344738.0,342474.0,272497.0,279850.0,277542.0
24.5,317689.0,317610.0,319310.0,6059454.0,432759.0,321315.0,6611615.0,5936942.0,5792030.0,4530464.0,4565394.0,4642470.0,7096144.0,7011908.0,6547947.0,5205321.0,5258884.0,5166479.0,4945006.0,5036605.0,4813481.0,1097458.0,1095626.0,1042838.0,3293184.0,3269447.0,3324507.0,1471479.0,1470645.0,1748676.0,1367648.0,1398794.0,1514370.0,1985581.0,2075809.0,1383861.0,364728.0,363305.0,362064.0,688428.0,716133.0,803063.0,2905891.0,1874954.0,2299142.0,340688.0,351166.0,344300.0,358379.0,373222.0,377057.0,4186405.0,4810647.0,4308100.0,344394.0,345936.0,341430.0,270771.0,278707.0,274221.0
25.0,315640.0,315968.0,319672.0,6312150.0,430163.0,323250.0,6764128.0,6058125.0,5914643.0,4593692.0,4657132.0,4731557.0,7303220.0,7190592.0,6829555.0,5415107.0,5415055.0,5383777.0,5207728.0,5291806.0,5071895.0,1098631.0,1092542.0,1043481.0,3484055.0,3484650.0,3518013.0,1544692.0,1539126.0,1846786.0,1392715.0,1421445.0,1525029.0,2120019.0,2229480.0,1470980.0,363434.0,365874.0,364583.0,699922.0,723111.0,808944.0,3021019.0,1999727.0,2397334.0,343775.0,354187.0,346534.0,365475.0,371331.0,381700.0,4322086.0,4947327.0,4440937.0,341281.0,340402.0,344057.0,274448.0,277613.0,275027.0
25.5,317592.0,316335.0,317818.0,6519609.0,428931.0,323428.0,6906702.0,6155752.0,5969182.0,4651443.0,4685422.0,4783490.0,7526227.0,7406433.0,6989831.0,5624720.0,5558658.0,5548341.0,5447066.0,5519530.0,5276572.0,1092858.0,1087921.0,1039547.0,3641603.0,3668637.0,3724455.0,1622691.0,1618559.0,1936128.0,1417990.0,1440132.0,1517935.0,2243592.0,2374687.0,1566599.0,362526.0,365236.0,363653.0,710022.0,737706.0,814425.0,3125949.0,2087689.0,2503844.0,340841.0,353988.0,350428.0,358847.0,374773.0,377638.0,4434562.0,5089800.0,4564330.0,340942.0,342048.0,346289.0,274147.0,278585.0,276140.0
26.0,316999.0,322385.0,313129.0,6737428.0,433210.0,324146.0,7047764.0,6246138.0,6081984.0,4694132.0,4758878.0,4829339.0,7687686.0,7546082.0,7172313.0,5789572.0,5690863.0,5737786.0,5657370.0,5726077.0,5501323.0,1085977.0,1083228.0,1040156.0,3824232.0,3835204.0,3883557.0,1673235.0,1690833.0,2021423.0,1422557.0,1448854.0,1523578.0,2344758.0,2492522.0,1654919.0,364336.0,366619.0,365249.0,716495.0,745216.0,811680.0,3205949.0,2172938.0,2595798.0,343409.0,349481.0,351582.0,365252.0,376808.0,380258.0,4535774.0,5202561.0,4695560.0,341683.0,341313.0,344548.0,273593.0,278311.0,279678.0
26.5,322712.0,320132.0,317912.0,6934525.0,431654.0,323904.0,7126665.0,6324874.0,6150297.0,4750414.0,4794302.0,4894769.0,7788795.0,7686994.0,7318723.0,5917793.0,5788381.0,5861689.0,5812182.0,5852512.0,5693379.0,1083342.0,1082259.0,1037981.0,3974424.0,3981463.0,4010070.0,1733396.0,1746196.0,2088067.0,1428679.0,1452171.0,1520738.0,2445394.0,2627174.0,1730145.0,371110.0,370643.0,365702.0,723386.0,742323.0,815117.0,3311375.0,2249816.0,2680778.0,343266.0,353187.0,347451.0,365561.0,374937.0,378769.0,4651485.0,5328639.0,4791352.0,340295.0,343255.0,343520.0,272954.0,278782.0,275137.0
27.0,315709.0,316591.0,317670.0,7120104.0,425194.0,321520.0,7301451.0,6388115.0,6227178.0,4782162.0,4841652.0,4939512.0,7937155.0,7792122.0,7426023.0,6028606.0,5871600.0,5967698.0,5949932.0,5959441.0,5824807.0,1085162.0,1088171.0,1040283.0,4096246.0,4119333.0,4180038.0,1768578.0,1786600.0,2149052.0,1438903.0,1461233.0,1534839.0,2533421.0,2721755.0,1788014.0,370128.0,370260.0,368687.0,723582.0,750410.0,811873.0,3372023.0,2301176.0,2755459.0,340322.0,353431.0,352813.0,363043.0,374319.0,376850.0,4746206.0,5476673.0,4899014.0,340172.0,342702.0,343553.0,275077.0,281922.0,276195.0
