,A2,A3,A4,A8,A10,A12,B7,B8,B9,C4,C5,C6,C7,C8,C9,D4,D5,D6,D7,D8,D9,D10,D11,D12,E4,E5,E6,E7,E8,E9,E10,E11,E12,F4,F5,F6,F7,F8,F9,F10,F11,F12,G4,G5,G6,G7,G8,G9,G10,G11,G12,H4,H5,H6,H7,H8,H9,H10,H11,H12
43.5,323576.0,321151.0,317778.0,10554889.0,402644.0,328740.0,7734057.0,6798638.0,6759462.0,5148295.0,5202580.0,5281253.0,9356124.0,9187976.0,8810463.0,7604984.0,7466899.0,7706526.0,7027691.0,7056075.0,6859545.0,1051357.0,1065773.0,1086206.0,5768454.0,5871812.0,6023845.0,2178419.0,2235506.0,2621250.0,1405167.0,1414065.0,1517784.0,3796384.0,4310592.0,2826299.0,366138.0,368342.0,367799.0,718087.0,748120.0,820114.0,4669394.0,3519910.0,3988783.0,339189.0,344097.0,346678.0,363746.0,372483.0,388257.0,6429481.0,7520745.0,6618093.0,334302.0,337984.0,340631.0,278269.0,285284.0,285079.0
44.0,327978.0,322231.0,319199.0,10575373.0,398017.0,331670.0,7686608.0,6754620.0,6722619.0,5156118.0,5190671.0,5288799.0,9317642.0,9170523.0,8804155.0,7657471.0,7483267.0,7749650.0,7042131.0,7072617.0,6838222.0,1051806.0,1060928.0,1079500.0,5784827.0,5889338.0,6049364.0,2179567.0,2229951.0,2610974.0,1389060.0,1414600.0,1520536.0,3819802.0,4341724.0,2850413.0,361104.0,366084.0,369452.0,719644.0,748714.0,832206.0,4702133.0,3552054.0,4018392.0,340626.0,344520.0,345201.0,363980.0,372759.0,380959.0,6455050.0,7555069.0,6656217.0,330478.0,335948.0,338100.0,283807.0,287010.0,288516.0
44.5,321131.0,321813.0,314247.0,10639792.0,400270.0,332973.0,7629157.0,6694813.0,6700940.0,5153678.0,5199507.0,5269732.0,9323616.0,9185463.0,8790843.0,7669156.0,7485725.0,7787253.0,7037374.0,7054085.0,6846388.0,1052458.0,1069282.0,1078661.0,5788120.0,5888830.0,6124736.0,2199561.0,2237651.0,2605922.0,1394792.0,1411526.0,1520822.0,3859286.0,4361307.0,2840936.0,362833.0,367644.0,368802.0,720617.0,744283.0,823542.0,4719198.0,3568875.0,4031576.0,340823.0,344344.0,345814.0,359995.0,374796.0,380978.0,6501046.0,7601345.0,6682824.0,333968.0,333464.0,344202.0,280435.0,284958.0,286361.0
45.0,319972.0,324359.0,317305.0,10667206.0,400709.0,333639.0,7577323.0,6682317.0,6654978.0,5137488.0,5202436.0,5260340.0,9291992.0,9156676.0,8796178.0,7681867.0,7520715.0,7811645.0,7046338.0,7084417.0,6872353.0,1039855.0,1073580.0,1083429.0,5846451.0,5939101.0,6130109.0,2192366.0,2242181.0,2610927.0,1395696.0,1414467.0,1515369.0,3870968.0,4401926.0,2872810.0,361033.0,366121.0,367521.0,724022.0,745996.0,822958.0,4731119.0,3591958.0,4057409.0,339345.0,349441.0,345132.0,363314.0,372691.0,385777.0,6561154.0,7627059.0,6721540.0,338922.0,339750.0,338699.0,278279.0,285689.0,286429.0
45.5,321134.0,323083.0,323269.0,10714355.0,396634.0,331506.0,7526088.0,6654477.0,6664910.0,5160522.0,5174154.0,5254703.0,9304478.0,9148603.0,8759909.0,7687849.0,7556499.0,7791461.0,7014461.0,7048953.0,6883719.0,1049221.0,1065045.0,1079614.0,5874950.0,5967860.0,6169137.0,2192783.0,2241254.0,2621134.0,1393958.0,1406449.0,1508609.0,3879304.0,4420336.0,2875027.0,363924.0,368061.0,366655.0,714873.0,748601.0,819321.0,4761284.0,3606752.0,4094627.0,345244.0,347473.0,343438.0,367386.0,376263.0,382664.0,6601322.0,7686784.0,6748476.0,333180.0,340635.0,339021.0,279521.0,289089.0,285603.0
46.0,322129.0,330077.0,326184.0,10768075.0,398451.0,332810.0,7474232.0,6636826.0,6625884.0,5153022.0,5191699.0,5236703.0,9300812.0,9175188.0,8775688.0,7706937.0,7574452.0,7815961.0,7042719.0,7062080.0,6832944.0,1042471.0,1066550.0,1081519.0,5885841.0,6011048.0,6203164.0,2209046.0,2253287.0,2634824.0,1389324.0,1401118.0,1512730.0,3912649.0,4440426.0,2912493.0,363508.0,367272.0,368268.0,714743.0,749429.0,820580.0,4766149.0,3625135.0,4092281.0,340066.0,348832.0,345650.0,368244.0,375564.0,381744.0,6626714.0,7729245.0,6798303.0,336735.0,342969.0,340116.0,277570.0,285686.0,287709.0
46.5,324078.0,322289.0,318869.0,10794972.0,395416.0,333109.0,7453935.0,6609215.0,6577299.0,5154725.0,5196682.0,5206497.0,9287350.0,9172651.0,8791393.0,7721730.0,7611787.0,7847094.0,7034928.0,7067402.0,6873823.0,1042844.0,1061366.0,1084072.0,5906212.0,6032622.0,6223928.0,2190834.0,2250719.0,2637753.0,1382578.0,1397405.0,1515959.0,3926886.0,4479860.0,2938531.0,365096.0,367865.0,369394.0,715421.0,744593.0,824297.0,4790879.0,3662743.0,4120709.0,341800.0,344423.0,347053.0,367090.0,376976.0,383297.0,6695902.0,7784234.0,6870116.0,333573.0,338951.0,337101.0,284610.0,285806.0,290900.0
47.0,325978.0,323355.0,319068.0,10823072.0,394653.0,333388.0,7395797.0,6589903.0,6578416.0,5144979.0,5164517.0,5187915.0,9261817.0,9151309.0,8766531.0,7756500.0,7638149.0,7857300.0,7022259.0,7072828.0,6872946.0,1047149.0,1065166.0,1074373.0,5919553.0,6074668.0,6268276.0,2207518.0,2262682.0,2624991.0,1375328.0,1402559.0,1512154.0,3955203.0,4506742.0,2937868.0,363604.0,365352.0,365133.0,715856.0,741441.0,829390.0,4814894.0,3678272.0,4138469.0,342958.0,348085.0,343130.0,367967.0,376042.0,381878.0,6735071.0,7800691.0,6887159.0,333167.0,338010.0,343788.0,284775.0,290533.0,287761.0
47.5,327146.0,325218.0,318039.0,10798640.0,395550.0,335546.0,7362228.0,6527033.0,6547133.0,5135494.0,5156971.0,5149201.0,9261727.0,9128468.0,8750188.0,7751569.0,7633875.0,7921731.0,7015384.0,7089305.0,6854086.0,1046308.0,1050266.0,1080007.0,5972894.0,6094673.0,6268753.0,2206083.0,2261021.0,2626991.0,1380285.0,1397094.0,1513753.0,3958248.0,4525876.0,2955845.0,364116.0,369879.0,366791.0,718721.0,746815.0,821381.0,4838881.0,3678594.0,4167557.0,344585.0,349689.0,348350.0,365324.0,374907.0,383194.0,6785047.0,7822764.0,6935877.0,333663.0,339418.0,341915.0,285450.0,288062.0,292151.0
48.0,325492.0,323460.0,322148.0,10888132.0,392311.0,335287.0,7302798.0,6509112.0,6513566.0,5138990.0,5170986.0,5156329.0,9255327.0,9099601.0,8751727.0,7764025.0,7678078.0,7869514.0,7010960.0,7071861.0,6857867.0,1037451.0,1059225.0,1077072.0,5974925.0,6086426.0,6305292.0,2206038.0,2268820.0,2626632.0,1363698.0,1397678.0,1506579.0,3972222.0,4544529.0,2985145.0,365005.0,367993.0,368512.0,714856.0,747752.0,822280.0,4837520.0,3708876.0,4172536.0,344237.0,348667.0,348035.0,363725.0,369045.0,382185.0,6826424.0,7914461.0,6995458.0,339396.0,341930.0,342785.0,281071.0,288042.0,293725.0
