,E11,E12,F9,F10,F11,G3,G4,G5,G6,G7,G8
32.5,0.099,0.1,0.815,0.844,0.836,0.866,0.853,0.876,0.858,0.853,0.852
33.0,0.1,0.1,0.818,0.843,0.834,0.867,0.853,0.875,0.857,0.853,0.852
33.5,0.099,0.099,0.819,0.841,0.832,0.865,0.849,0.875,0.858,0.85,0.849
34.0,0.097,0.098,0.82,0.835,0.83,0.865,0.847,0.874,0.858,0.849,0.847
34.5,0.099,0.099,0.822,0.835,0.829,0.867,0.848,0.873,0.86,0.849,0.848
35.0,0.1,0.099,0.816,0.832,0.828,0.869,0.848,0.875,0.86,0.848,0.849
35.5,0.099,0.097,0.811,0.828,0.824,0.87,0.845,0.874,0.859,0.847,0.847
36.0,0.098,0.099,0.804,0.826,0.826,0.869,0.846,0.874,0.863,0.847,0.849
36.5,0.099,0.099,0.796,0.823,0.822,0.871,0.843,0.874,0.864,0.847,0.848
37.0,0.099,0.099,0.793,0.822,0.822,0.871,0.843,0.873,0.866,0.847,0.848
37.5,0.099,0.099,0.789,0.821,0.82,0.874,0.841,0.874,0.867,0.848,0.851
38.0,0.099,0.099,0.785,0.819,0.819,0.874,0.84,0.874,0.87,0.847,0.851
38.5,0.099,0.1,0.78,0.817,0.817,0.875,0.838,0.874,0.87,0.845,0.852
39.0,0.098,0.098,0.775,0.814,0.817,0.875,0.837,0.873,0.872,0.845,0.852
39.5,0.1,0.099,0.772,0.815,0.817,0.877,0.836,0.874,0.875,0.847,0.853
40.0,0.098,0.098,0.769,0.812,0.815,0.876,0.834,0.874,0.876,0.845,0.855
40.5,0.099,0.098,0.768,0.812,0.815,0.876,0.832,0.874,0.875,0.846,0.856
41.0,0.098,0.097,0.764,0.812,0.813,0.878,0.831,0.873,0.877,0.846,0.857
41.5,0.098,0.098,0.763,0.813,0.813,0.877,0.831,0.872,0.878,0.846,0.859
42.0,0.099,0.098,0.762,0.812,0.812,0.879,0.829,0.872,0.879,0.845,0.86
42.5,0.098,0.098,0.763,0.812,0.812,0.878,0.827,0.872,0.88,0.844,0.86
43.0,0.1,0.099,0.763,0.812,0.814,0.88,0.826,0.872,0.881,0.844,0.862
43.5,0.099,0.097,0.761,0.811,0.812,0.88,0.821,0.868,0.88,0.843,0.861
44.0,0.098,0.099,0.764,0.812,0.812,0.88,0.823,0.867,0.881,0.844,0.86
44.5,0.099,0.098,0.764,0.812,0.814,0.88,0.82,0.869,0.881,0.842,0.86
45.0,0.098,0.097,0.764,0.812,0.815,0.879,0.817,0.87,0.881,0.84,0.86
45.5,0.098,0.099,0.767,0.812,0.815,0.878,0.815,0.867,0.879,0.84,0.86
46.0,0.099,0.098,0.769,0.812,0.814,0.879,0.814,0.866,0.88,0.841,0.86
46.5,0.098,0.098,0.773,0.813,0.814,0.879,0.813,0.864,0.88,0.84,0.859
47.0,0.098,0.099,0.776,0.813,0.818,0.879,0.811,0.864,0.881,0.838,0.86
47.5,0.099,0.098,0.78,0.812,0.82,0.878,0.808,0.866,0.881,0.837,0.861
48.0,0.098,0.098,0.781,0.814,0.822,0.878,0.807,0.864,0.88,0.837,0.859
