,E11,E12,F9,F10,F11,G3,G4,G5,G6,G7,G8
24.5,232207.0,246494.0,890708.0,901091.0,1062093.0,7555426.0,7693363.0,7759268.0,10392652.0,10215329.0,10239244.0
25.0,237146.0,245613.0,901630.0,915698.0,1106489.0,7701698.0,7831904.0,7914287.0,10585088.0,10374801.0,10415084.0
25.5,238906.0,249883.0,913278.0,933775.0,1143027.0,7838168.0,7957676.0,8055401.0,10792464.0,10595183.0,10611271.0
26.0,234569.0,247249.0,931017.0,949363.0,1178385.0,8004998.0,8153081.0,8183504.0,11024188.0,10810668.0,10797160.0
26.5,237151.0,246207.0,941997.0,964820.0,1208209.0,8141224.0,8294663.0,8358237.0,11241211.0,10995447.0,11043280.0
27.0,234415.0,248425.0,955006.0,981195.0,1243875.0,8306878.0,8465394.0,8542915.0,11503771.0,11276510.0,11283899.0
27.5,233701.0,246808.0,974025.0,1003854.0,1308380.0,8540450.0,8694051.0,8803430.0,11903083.0,11596042.0,11660263.0
28.0,237345.0,246894.0,993644.0,1035251.0,1424581.0,8809651.0,8970272.0,9084566.0,12312682.0,12038709.0,12051167.0
28.5,236210.0,249906.0,1013211.0,1073293.0,1549275.0,9115344.0,9280922.0,9364366.0,12674579.0,12396661.0,12518915.0
29.0,234525.0,248986.0,1043261.0,1105432.0,1653531.0,9367605.0,9510915.0,9616522.0,13007841.0,12745915.0,12766096.0
29.5,234564.0,249472.0,1077081.0,1135432.0,1713222.0,9597923.0,9734118.0,9849083.0,13303336.0,13005734.0,13056446.0
30.0,236045.0,247620.0,1096494.0,1166214.0,1774891.0,9824460.0,9957310.0,10056557.0,13577732.0,13264120.0,13364185.0
30.5,237805.0,250318.0,1121391.0,1189402.0,1794212.0,10006149.0,10188647.0,10298623.0,13967995.0,13638935.0,13681427.0
31.0,234977.0,247437.0,1135570.0,1214374.0,1803396.0,10296909.0,10538453.0,10699211.0,14648319.0,14379140.0,14304734.0
31.5,235398.0,249159.0,1163593.0,1250945.0,1825300.0,10677097.0,11132929.0,11447238.0,15850453.0,15606937.0,15317896.0
32.0,234132.0,248919.0,1180553.0,1279664.0,1832857.0,11329184.0,12149938.0,12529917.0,17378457.0,17040853.0,16821721.0
32.5,239473.0,246172.0,1207283.0,1319207.0,1857495.0,12350556.0,13244725.0,13604598.0,18620855.0,18168460.0,18072929.0
33.0,237169.0,248521.0,1225874.0,1364456.0,1887625.0,13416521.0,14065356.0,14319786.0,19482975.0,18880725.0,19032502.0
33.5,234294.0,248830.0,1244669.0,1427999.0,1886572.0,14232553.0,14583113.0,14789066.0,20066897.0,19320513.0,19636366.0
34.0,234983.0,247454.0,1254465.0,1528844.0,1896359.0,14767012.0,14845267.0,15119685.0,20468888.0,19590791.0,20021437.0
34.5,236644.0,247516.0,1271269.0,1628969.0,1921683.0,15034943.0,15049536.0,15239038.0,20828185.0,19752374.0,20336533.0
35.0,235833.0,248287.0,1302400.0,1720454.0,1934436.0,15360626.0,15201811.0,15376974.0,21066762.0,19948895.0,20577828.0
35.5,238757.0,249736.0,1374685.0,1796907.0,1957433.0,15534474.0,15345050.0,15477774.0,21363517.0,20166401.0,20897999.0
36.0,237473.0,248757.0,1476052.0,1840065.0,1957319.0,15661123.0,15469449.0,15659518.0,21627061.0,20270505.0,21147168.0
36.5,236104.0,248869.0,1590780.0,1868871.0,1976257.0,15771509.0,15557884.0,15875085.0,21899663.0,20367443.0,21357869.0
37.0,235318.0,246640.0,1656792.0,1901653.0,1991869.0,15914491.0,15655384.0,15937014.0,22208683.0,20551410.0,21547260.0
37.5,238549.0,247590.0,1710873.0,1909663.0,2007079.0,16182457.0,15773620.0,16015132.0,22522765.0,20765534.0,21793904.0
38.0,233158.0,249884.0,1733402.0,1911436.0,2037173.0,16317515.0,15913698.0,16125010.0,22744080.0,20910405.0,22049171.0
38.5,237139.0,247777.0,1753594.0,1929784.0,2053900.0,16468927.0,16003422.0,16260928.0,22974186.0,21058513.0,22354031.0
39.0,236015.0,249928.0,1763846.0,1942734.0,2063431.0,16600694.0,16048554.0,16484625.0,23250906.0,21101939.0,22543756.0
39.5,235764.0,247505.0,1776062.0,1954189.0,2072063.0,16714391.0,16112969.0,16577880.0,23462056.0,21222973.0,22661152.0
40.0,239177.0,248190.0,1777579.0,1955536.0,2101635.0,16940149.0,16148205.0,16655630.0,23724755.0,21449731.0,22853721.0
40.5,238667.0,246735.0,1797153.0,1970234.0,2136180.0,17140903.0,16287426.0,16762485.0,23888214.0,21628520.0,23041543.0
41.0,239383.0,248398.0,1802367.0,1971633.0,2139452.0,17214901.0,16400608.0,16887035.0,24070610.0,21646495.0,23363145.0
41.5,237395.0,248521.0,1828810.0,1973935.0,2143231.0,17320691.0,16392091.0,17048758.0,24290142.0,21712814.0,23445758.0
42.0,238638.0,248839.0,1849949.0,1999260.0,2160828.0,17464001.0,16454527.0,17161978.0,24544426.0,21758962.0,23577582.0
42.5,238629.0,251325.0,1880979.0,2024005.0,2182210.0,17679899.0,16490176.0,17173898.0,24714646.0,21908557.0,23686198.0
43.0,236773.0,246856.0,1900159.0,2021725.0,2216863.0,17836393.0,16550069.0,17222154.0,24868975.0,22128487.0,23858318.0
43.5,236529.0,247679.0,1923965.0,2020668.0,2223861.0,17961303.0,16692680.0,17325010.0,25054762.0,22128634.0,24017253.0
44.0,235136.0,247549.0,1933554.0,2042150.0,2229695.0,18048891.0,16708014.0,17538654.0,25139646.0,22198623.0,24243390.0
44.5,234398.0,250296.0,1963081.0,2058989.0,2239657.0,18155077.0,16679839.0,17581673.0,25308958.0,22223720.0,24295080.0
45.0,236086.0,248295.0,1993144.0,2076389.0,2263922.0,18328303.0,16653674.0,17614993.0,25499383.0,22331299.0,24359493.0
45.5,236817.0,247340.0,2019713.0,2070234.0,2290937.0,18455139.0,16759547.0,17589214.0,25597369.0,22601917.0,24497570.0
46.0,234842.0,245063.0,2044477.0,2077488.0,2297945.0,18520813.0,16840429.0,17758677.0,25702430.0,22488923.0,24662331.0
46.5,237299.0,246789.0,2067087.0,2091940.0,2311095.0,18622324.0,16874922.0,17925955.0,25817703.0,22554237.0,24722295.0
47.0,236854.0,245084.0,2097063.0,2119235.0,2326254.0,18649244.0,16787449.0,17932805.0,25987885.0,22498749.0,24711808.0
47.5,233936.0,243802.0,2112465.0,2128421.0,2341384.0,18850879.0,16793178.0,17908419.0,26072992.0,22742352.0,24803394.0
48.0,235316.0,245512.0,2145476.0,2129824.0,2368676.0,18911289.0,16880698.0,18014010.0,26153571.0,22868960.0,25013361.0
