,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B9,B10,B11,C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H11,H12
5.0,285322.0,284011.0,279207.0,251250.0,238308.0,236938.0,236775.0,250597.0,236913.0,232548.0,234599.0,249615.0,291209.0,283642.0,281201.0,245749.0,243983.0,244627.0,249788.0,232162.0,231828.0,232796.0,393171.0,368869.0,362229.0,247925.0,276868.0,261359.0,265460.0,230202.0,231024.0,232543.0,247958.0,630135.0,537051.0,535217.0,248286.0,300274.0,302775.0,307134.0,245392.0,231593.0,235442.0,238267.0,251953.0,653616.0,540505.0,520372.0,244565.0,411957.0,424614.0,422666.0,245041.0,246814.0,251762.0,244955.0,246643.0,690466.0,545472.0,528001.0,239496.0,573665.0,583578.0,579083.0,245399.0,256616.0,257797.0,256117.0,249797.0,738031.0,730819.0,707662.0,239182.0,606463.0,607030.0,616995.0,245067.0,248388.0,216182.0,213331.0,214828.0,212975.0,212133.0,214925.0,215607.0,215619.0,217483.0,216581.0,221661.0
5.5,285872.0,282590.0,281506.0,249976.0,236971.0,233318.0,237243.0,251864.0,234082.0,230355.0,236508.0,252180.0,292514.0,285766.0,282541.0,246950.0,242451.0,245087.0,249325.0,232681.0,234400.0,233096.0,412891.0,383919.0,378194.0,245128.0,270550.0,259823.0,262045.0,232751.0,229639.0,230652.0,250101.0,688229.0,585912.0,585981.0,243728.0,309081.0,309452.0,309682.0,245484.0,234224.0,237441.0,238393.0,249008.0,701134.0,584530.0,573211.0,246974.0,424525.0,437244.0,440274.0,243174.0,251104.0,251979.0,247805.0,246663.0,740177.0,596716.0,582462.0,243273.0,616318.0,630618.0,620778.0,243099.0,259410.0,258702.0,262047.0,246159.0,789653.0,794858.0,755383.0,235957.0,642680.0,647886.0,656631.0,241922.0,244671.0,218094.0,209690.0,212519.0,210195.0,212609.0,215738.0,216452.0,216064.0,213659.0,212836.0,222336.0
6.0,288361.0,286190.0,285004.0,250470.0,234419.0,238046.0,238443.0,252918.0,233524.0,234216.0,234673.0,252737.0,295549.0,288884.0,286272.0,249233.0,241777.0,243376.0,249110.0,230659.0,231662.0,232679.0,428347.0,399508.0,390178.0,244123.0,273262.0,261281.0,264446.0,226751.0,230854.0,232244.0,250696.0,748418.0,639945.0,633125.0,244517.0,308851.0,311779.0,309474.0,249635.0,235967.0,236411.0,240157.0,249723.0,766990.0,630204.0,620572.0,247994.0,436132.0,446104.0,450558.0,246486.0,254634.0,255876.0,256075.0,248515.0,798699.0,644399.0,620661.0,243453.0,654142.0,680416.0,661081.0,252326.0,266864.0,265153.0,262434.0,246702.0,860350.0,850786.0,822425.0,241169.0,678704.0,674913.0,687805.0,242610.0,246574.0,218524.0,210331.0,211915.0,210829.0,211856.0,215048.0,218056.0,215944.0,213612.0,215567.0,218411.0
6.5,284592.0,287458.0,283926.0,249097.0,232108.0,235094.0,236868.0,252802.0,233316.0,231134.0,233822.0,255977.0,295569.0,294179.0,291463.0,249999.0,242165.0,243454.0,251540.0,229535.0,233137.0,231852.0,447218.0,417974.0,409710.0,244880.0,276076.0,264602.0,269934.0,230894.0,233020.0,231245.0,249162.0,808630.0,695709.0,686147.0,240490.0,312083.0,315110.0,311003.0,247054.0,239973.0,240085.0,240707.0,249158.0,821321.0,680663.0,668966.0,245704.0,447572.0,455715.0,458893.0,248009.0,259667.0,258990.0,259929.0,248802.0,851153.0,686927.0,672904.0,244685.0,688346.0,707309.0,699532.0,245635.0,270020.0,271149.0,266567.0,249625.0,934186.0,903427.0,865859.0,242871.0,698090.0,694076.0,715463.0,245616.0,249249.0,216454.0,213962.0,212096.0,212473.0,208921.0,216558.0,214601.0,214415.0,215720.0,212915.0,218251.0
7.0,290244.0,290579.0,286986.0,253177.0,235951.0,234203.0,235604.0,253818.0,234263.0,231630.0,234034.0,256710.0,303216.0,293896.0,294310.0,248046.0,242274.0,242760.0,251111.0,228940.0,230565.0,230651.0,468564.0,433200.0,424645.0,246359.0,277124.0,262575.0,267823.0,229753.0,232162.0,233547.0,249565.0,872924.0,742797.0,739373.0,244628.0,311852.0,315861.0,316876.0,246619.0,240473.0,242117.0,242906.0,250127.0,877075.0,742110.0,718769.0,248233.0,451831.0,462769.0,469109.0,244557.0,259891.0,263155.0,264572.0,245981.0,912910.0,736508.0,715371.0,245944.0,723851.0,741386.0,721282.0,249020.0,280778.0,273448.0,274142.0,249555.0,990411.0,968151.0,943392.0,243698.0,718370.0,716801.0,740439.0,246203.0,246160.0,219588.0,208829.0,214222.0,211452.0,209658.0,216986.0,216303.0,209261.0,215439.0,216345.0,221521.0
7.5,291796.0,294572.0,287604.0,247190.0,235275.0,234430.0,236448.0,253598.0,233334.0,232109.0,230783.0,251452.0,302434.0,297839.0,293033.0,247180.0,239747.0,245036.0,246497.0,229376.0,225736.0,232302.0,492265.0,449958.0,445496.0,244725.0,275648.0,265814.0,267804.0,228980.0,230995.0,230067.0,251121.0,933205.0,801170.0,798414.0,246406.0,311937.0,315831.0,314569.0,248623.0,240756.0,241178.0,246346.0,252992.0,940965.0,795096.0,766191.0,245449.0,455932.0,466991.0,474219.0,244066.0,263515.0,268023.0,263981.0,248228.0,975748.0,789377.0,773139.0,240069.0,754506.0,772709.0,756689.0,245625.0,285407.0,279389.0,281385.0,245985.0,1054617.0,1043100.0,1002716.0,241051.0,738210.0,738838.0,752322.0,244524.0,246364.0,214332.0,209937.0,213853.0,211635.0,207026.0,213965.0,214086.0,212591.0,212786.0,212823.0,218833.0
8.0,295264.0,294436.0,291084.0,252172.0,233575.0,234299.0,233769.0,254369.0,233854.0,231020.0,229471.0,252386.0,305445.0,299910.0,294263.0,247055.0,241780.0,243616.0,247631.0,230281.0,229376.0,228448.0,513322.0,469328.0,460623.0,247125.0,276627.0,263610.0,267750.0,228802.0,231628.0,229135.0,247814.0,1008004.0,863373.0,869075.0,242612.0,316490.0,315516.0,315979.0,245522.0,243355.0,242654.0,246337.0,252934.0,1003971.0,848093.0,818103.0,245133.0,456577.0,473802.0,478889.0,244823.0,270816.0,275880.0,270983.0,246905.0,1049520.0,834900.0,819249.0,240804.0,779839.0,801495.0,780281.0,247632.0,291270.0,284819.0,284347.0,250553.0,1116808.0,1109414.0,1069127.0,238844.0,755094.0,763514.0,782219.0,245393.0,248044.0,217872.0,209189.0,212394.0,210512.0,209147.0,212705.0,213602.0,211419.0,213823.0,209544.0,217391.0
8.5,293438.0,296232.0,290523.0,248985.0,236063.0,232371.0,231675.0,254432.0,230355.0,227518.0,232411.0,252456.0,306840.0,307949.0,298609.0,244110.0,240963.0,241444.0,246336.0,226095.0,228905.0,230638.0,530934.0,486276.0,481090.0,248906.0,275434.0,263124.0,267332.0,225343.0,228881.0,231270.0,248634.0,1077139.0,922303.0,929668.0,245471.0,312508.0,316355.0,314094.0,248429.0,244743.0,244984.0,243560.0,253000.0,1074030.0,905413.0,879545.0,245839.0,457753.0,478512.0,481318.0,245533.0,278204.0,280610.0,274737.0,245555.0,1111146.0,892090.0,865927.0,244243.0,803698.0,815548.0,801479.0,246468.0,300000.0,293419.0,291029.0,251174.0,1182526.0,1170427.0,1126748.0,243610.0,772077.0,785539.0,802978.0,242403.0,246905.0,213691.0,209445.0,211726.0,209851.0,208523.0,215651.0,216168.0,214065.0,215697.0,210672.0,216133.0
9.0,296854.0,296907.0,292700.0,247349.0,231516.0,233345.0,234961.0,253732.0,231611.0,231073.0,228160.0,253578.0,312237.0,305780.0,303905.0,246401.0,241756.0,239706.0,249578.0,226253.0,230423.0,231354.0,551781.0,509147.0,493134.0,246287.0,277950.0,262077.0,267261.0,229594.0,228092.0,229679.0,245634.0,1152760.0,988554.0,974346.0,241167.0,312214.0,315783.0,319376.0,245722.0,244358.0,243904.0,244264.0,249414.0,1134541.0,966311.0,941833.0,247804.0,464624.0,481543.0,483237.0,249534.0,285356.0,282160.0,277320.0,246708.0,1190090.0,947585.0,921372.0,241180.0,818693.0,831608.0,828920.0,249295.0,306449.0,300784.0,299171.0,249273.0,1258123.0,1250881.0,1184541.0,237275.0,802700.0,800971.0,851038.0,245909.0,248073.0,213009.0,208826.0,209827.0,209619.0,206270.0,212889.0,216794.0,211085.0,215222.0,212870.0,217003.0
9.5,299622.0,300071.0,295332.0,252839.0,234757.0,232670.0,232273.0,253970.0,229727.0,231151.0,231357.0,253002.0,315273.0,309356.0,304837.0,247584.0,237933.0,245692.0,248486.0,228269.0,233008.0,229742.0,577778.0,524547.0,513776.0,248465.0,278648.0,268055.0,269540.0,226747.0,231330.0,226549.0,247347.0,1236437.0,1048673.0,1033925.0,242328.0,312081.0,320321.0,317580.0,243924.0,246071.0,248888.0,250537.0,252312.0,1201584.0,1036138.0,1003422.0,245991.0,463069.0,482775.0,486999.0,244806.0,289897.0,287144.0,279433.0,248871.0,1257006.0,1010123.0,976924.0,244600.0,838123.0,863630.0,845164.0,245736.0,317973.0,307866.0,302954.0,250851.0,1321723.0,1318272.0,1259412.0,244765.0,824919.0,825842.0,886524.0,244487.0,244369.0,215908.0,206390.0,207398.0,207716.0,207223.0,214173.0,214082.0,212731.0,211871.0,211846.0,217797.0
10.0,300025.0,306210.0,297515.0,249770.0,234821.0,232893.0,231525.0,250255.0,229446.0,227396.0,230008.0,254464.0,317545.0,310434.0,309391.0,248720.0,240725.0,239630.0,244427.0,228752.0,231416.0,226174.0,602382.0,535452.0,530352.0,248193.0,278054.0,267944.0,269575.0,225828.0,227886.0,230554.0,248048.0,1310029.0,1114488.0,1096461.0,246122.0,314020.0,322314.0,318941.0,244568.0,250543.0,254343.0,252828.0,250149.0,1266893.0,1098934.0,1054662.0,245244.0,464260.0,484506.0,487585.0,246501.0,295201.0,291778.0,293283.0,247471.0,1343720.0,1078767.0,1039999.0,242034.0,848145.0,873261.0,868860.0,247195.0,324239.0,314268.0,313259.0,246734.0,1406500.0,1398890.0,1321538.0,243397.0,863165.0,847586.0,931561.0,243361.0,246573.0,215690.0,205804.0,210736.0,207470.0,206117.0,211771.0,211012.0,212304.0,210689.0,212195.0,212847.0
10.5,301018.0,307145.0,296304.0,249171.0,228450.0,230794.0,231661.0,256768.0,229666.0,228372.0,231070.0,254999.0,320922.0,315760.0,312127.0,248356.0,236708.0,241552.0,244863.0,226732.0,227110.0,228704.0,618646.0,556736.0,546742.0,249515.0,279815.0,265461.0,270379.0,226615.0,229350.0,229453.0,248162.0,1381274.0,1165476.0,1148298.0,244860.0,320287.0,325027.0,320295.0,246974.0,250493.0,251780.0,253489.0,250104.0,1340300.0,1150537.0,1120477.0,245038.0,469385.0,484546.0,486972.0,243629.0,297177.0,296580.0,297573.0,246357.0,1457863.0,1143250.0,1098095.0,242376.0,869464.0,888668.0,884146.0,247288.0,330278.0,326528.0,320492.0,248166.0,1492778.0,1483042.0,1407056.0,240177.0,914005.0,877600.0,985305.0,246545.0,250401.0,215796.0,209427.0,212596.0,207927.0,206084.0,213002.0,209893.0,208159.0,211355.0,208549.0,216705.0
11.0,307855.0,314074.0,300279.0,254102.0,232458.0,233104.0,230517.0,253275.0,231017.0,226374.0,230965.0,254292.0,333935.0,319956.0,314949.0,249084.0,239038.0,241710.0,244857.0,225941.0,225904.0,226932.0,647242.0,576316.0,561539.0,245367.0,280725.0,266619.0,268839.0,224968.0,228130.0,229420.0,247839.0,1457253.0,1223699.0,1202198.0,247122.0,316928.0,328945.0,325304.0,248038.0,254956.0,253967.0,252849.0,249325.0,1395703.0,1209547.0,1179571.0,248101.0,467364.0,489820.0,496824.0,244880.0,305592.0,299511.0,297040.0,249074.0,1489732.0,1217953.0,1164160.0,238742.0,860575.0,891661.0,884441.0,245963.0,347430.0,337265.0,331916.0,252734.0,1592873.0,1563027.0,1471448.0,241578.0,976918.0,911863.0,1051571.0,244475.0,248661.0,211559.0,205237.0,209467.0,206318.0,205728.0,213133.0,211064.0,209478.0,212060.0,210161.0,216965.0
11.5,310080.0,313792.0,302937.0,251500.0,229437.0,230089.0,229090.0,254125.0,229798.0,226137.0,229471.0,253247.0,334749.0,320933.0,316144.0,249348.0,240668.0,240314.0,244770.0,226362.0,226191.0,226960.0,666282.0,591214.0,577547.0,245304.0,279065.0,264160.0,266587.0,223314.0,229014.0,228665.0,248139.0,1538780.0,1289912.0,1258650.0,242508.0,319324.0,325980.0,323931.0,243957.0,254561.0,256959.0,257727.0,250447.0,1468651.0,1259768.0,1228979.0,247942.0,472976.0,491022.0,497972.0,247507.0,304999.0,311047.0,301171.0,248426.0,1560012.0,1281956.0,1237525.0,244919.0,873794.0,894162.0,868997.0,246996.0,354079.0,342896.0,341719.0,248793.0,1686618.0,1640620.0,1563384.0,239562.0,1033733.0,950069.0,1114575.0,246885.0,248228.0,213769.0,207299.0,210679.0,211633.0,207293.0,213170.0,215203.0,206270.0,209326.0,206968.0,217373.0
12.0,315231.0,321857.0,298708.0,247506.0,231345.0,228519.0,232122.0,250143.0,234517.0,224362.0,228758.0,253237.0,337202.0,325451.0,322090.0,249762.0,240435.0,238810.0,245459.0,224428.0,226928.0,224847.0,688191.0,606926.0,595604.0,243227.0,279189.0,262112.0,269413.0,226455.0,229730.0,230372.0,249682.0,1611875.0,1342426.0,1321947.0,244515.0,321688.0,329705.0,325484.0,246049.0,253928.0,256904.0,261498.0,251728.0,1546690.0,1319726.0,1272008.0,243776.0,474959.0,488784.0,499203.0,248315.0,311816.0,310904.0,308138.0,248832.0,1646111.0,1339534.0,1289660.0,243938.0,875384.0,902797.0,885584.0,245415.0,366517.0,354653.0,346106.0,248675.0,1769448.0,1732649.0,1642283.0,241299.0,1089807.0,985936.0,1187234.0,241038.0,247108.0,213808.0,204641.0,207740.0,207870.0,207016.0,213298.0,211806.0,208229.0,210722.0,209927.0,212924.0
12.5,315458.0,322466.0,308714.0,249803.0,230268.0,228055.0,228622.0,252870.0,231101.0,230896.0,226480.0,255793.0,339053.0,327670.0,324952.0,247754.0,237872.0,241347.0,246075.0,223287.0,225164.0,226574.0,715304.0,626097.0,611275.0,246850.0,282363.0,265744.0,271114.0,224139.0,230180.0,229450.0,248037.0,1674653.0,1409693.0,1381810.0,242509.0,323179.0,328771.0,329190.0,245983.0,262558.0,262565.0,260684.0,248335.0,1625024.0,1387496.0,1327257.0,246716.0,480460.0,498173.0,505291.0,248829.0,318168.0,316632.0,311162.0,246665.0,1728817.0,1405006.0,1356795.0,242151.0,873901.0,890334.0,876734.0,249897.0,379807.0,364487.0,360342.0,247794.0,1869486.0,1826466.0,1739462.0,241092.0,1168405.0,1031159.0,1249697.0,247134.0,246697.0,211640.0,205072.0,206677.0,210825.0,206295.0,209380.0,212506.0,206588.0,207910.0,209187.0,214388.0
13.0,318972.0,324939.0,313218.0,251303.0,229056.0,229532.0,229489.0,255687.0,229194.0,227218.0,228264.0,254416.0,345306.0,334088.0,326664.0,249511.0,237732.0,239505.0,242331.0,223659.0,224478.0,223257.0,737890.0,637181.0,628085.0,244343.0,279915.0,267469.0,268806.0,225340.0,227597.0,228394.0,250750.0,1773057.0,1467936.0,1434732.0,242984.0,323872.0,332774.0,324913.0,246673.0,259173.0,261631.0,264599.0,255075.0,1694008.0,1444759.0,1380871.0,245677.0,480099.0,493532.0,507475.0,246792.0,322204.0,326494.0,319727.0,254405.0,1808140.0,1472670.0,1407071.0,247025.0,874923.0,907253.0,881105.0,247166.0,393251.0,380856.0,373336.0,249200.0,1986992.0,1925582.0,1833353.0,240453.0,1244986.0,1087187.0,1307675.0,249096.0,247832.0,211196.0,205938.0,207207.0,209549.0,205901.0,215239.0,210982.0,209628.0,208305.0,210944.0,212979.0
13.5,319843.0,327089.0,313389.0,249344.0,231182.0,229450.0,229511.0,254656.0,226328.0,226020.0,226638.0,255086.0,348509.0,334444.0,326931.0,250113.0,238288.0,240328.0,245941.0,222722.0,230163.0,226558.0,776513.0,657629.0,641412.0,248120.0,276650.0,265105.0,269144.0,228422.0,227453.0,229001.0,248225.0,1857124.0,1531530.0,1491306.0,242982.0,323564.0,334962.0,325816.0,248079.0,264392.0,262923.0,265985.0,250454.0,1772044.0,1496625.0,1445448.0,247975.0,480206.0,496819.0,510202.0,244497.0,332147.0,330969.0,321631.0,249021.0,1919569.0,1520935.0,1457892.0,242308.0,882994.0,899822.0,880950.0,247087.0,412541.0,390193.0,385776.0,250347.0,2100059.0,2016782.0,1934361.0,242902.0,1286298.0,1147644.0,1403834.0,247849.0,248491.0,214070.0,207491.0,207024.0,206598.0,202584.0,211085.0,212901.0,206118.0,208744.0,208673.0,213324.0
14.0,325226.0,333354.0,311540.0,251391.0,227910.0,229510.0,229159.0,252077.0,226178.0,226581.0,226924.0,253575.0,358251.0,338806.0,333064.0,247869.0,235132.0,236763.0,246713.0,226095.0,226582.0,225294.0,793401.0,674640.0,661276.0,249290.0,282654.0,264869.0,270102.0,226693.0,228413.0,227564.0,245865.0,1939454.0,1584852.0,1560133.0,242939.0,325995.0,334320.0,329555.0,246241.0,266514.0,265720.0,268978.0,252377.0,1876285.0,1566164.0,1501725.0,244212.0,481849.0,503714.0,510485.0,244126.0,331237.0,338176.0,326275.0,249791.0,2130870.0,1589824.0,1519709.0,246054.0,886912.0,909740.0,884649.0,249640.0,425961.0,396955.0,395086.0,248559.0,2221192.0,2112102.0,2028385.0,243359.0,1373237.0,1209345.0,1473001.0,246950.0,250069.0,212782.0,205724.0,207574.0,211866.0,204083.0,212046.0,211724.0,206189.0,210776.0,206566.0,211010.0
14.5,326646.0,335649.0,319333.0,251812.0,226160.0,230173.0,228462.0,255039.0,226902.0,227157.0,226241.0,256869.0,360690.0,346062.0,337123.0,248286.0,238004.0,240475.0,245846.0,224521.0,225391.0,225676.0,812976.0,690188.0,685713.0,246589.0,280907.0,269699.0,274410.0,224059.0,231711.0,228654.0,249842.0,2041484.0,1654225.0,1616802.0,244067.0,327177.0,339747.0,330659.0,247075.0,269146.0,265454.0,272891.0,247948.0,1956711.0,1624393.0,1558862.0,245197.0,490212.0,505306.0,520806.0,244617.0,339951.0,347912.0,330415.0,250483.0,2157507.0,1653452.0,1569934.0,242718.0,892655.0,913550.0,892363.0,248942.0,435655.0,413461.0,407765.0,250450.0,2348104.0,2215782.0,2136462.0,242963.0,1455541.0,1283852.0,1537185.0,244134.0,248833.0,215484.0,206598.0,206062.0,205151.0,206855.0,214088.0,213165.0,207355.0,211100.0,207966.0,215344.0
15.0,333901.0,341458.0,320715.0,250305.0,227987.0,228258.0,232705.0,253482.0,231387.0,224799.0,225691.0,255161.0,366486.0,344801.0,338586.0,249433.0,236451.0,241855.0,246863.0,225032.0,225253.0,228731.0,841432.0,717907.0,698395.0,246576.0,281061.0,270358.0,271698.0,227694.0,229892.0,227443.0,250240.0,2138324.0,1725672.0,1686469.0,242141.0,328278.0,334227.0,333911.0,248428.0,269208.0,270590.0,270511.0,251912.0,2030955.0,1678915.0,1604506.0,248158.0,491913.0,503381.0,522500.0,244486.0,342213.0,351551.0,335453.0,244601.0,2170330.0,1693915.0,1638945.0,241089.0,893153.0,910347.0,884069.0,247490.0,448205.0,431307.0,422016.0,248952.0,2485614.0,2312730.0,2233339.0,245338.0,1512431.0,1357891.0,1590150.0,246660.0,250638.0,213584.0,209993.0,209499.0,207755.0,203853.0,211969.0,210827.0,207426.0,210550.0,210426.0,211277.0
15.5,336206.0,343190.0,323815.0,251998.0,227358.0,228344.0,227554.0,253738.0,225056.0,227334.0,223073.0,254070.0,375603.0,347782.0,342293.0,248926.0,236252.0,237953.0,245703.0,223369.0,224693.0,229050.0,872555.0,724618.0,713636.0,249885.0,282354.0,266222.0,269851.0,230617.0,229880.0,229692.0,250211.0,2225946.0,1791348.0,1736836.0,242775.0,330788.0,337024.0,332386.0,246204.0,274383.0,272731.0,272895.0,255519.0,2109423.0,1731713.0,1669644.0,246347.0,488486.0,506671.0,525538.0,245777.0,352474.0,355778.0,339436.0,248931.0,2214779.0,1766496.0,1698945.0,240719.0,889737.0,915214.0,885486.0,248726.0,470956.0,443747.0,432112.0,250667.0,2634846.0,2422688.0,2329574.0,239925.0,1572005.0,1471078.0,1679728.0,245876.0,247819.0,215787.0,206520.0,208317.0,207205.0,204871.0,212012.0,212093.0,206566.0,208257.0,208498.0,211112.0
16.0,347394.0,348661.0,329487.0,251760.0,230330.0,226731.0,228803.0,254144.0,227964.0,226469.0,227339.0,253920.0,378831.0,351718.0,346546.0,252689.0,239421.0,240483.0,245039.0,225733.0,225302.0,226034.0,903476.0,750560.0,732013.0,244642.0,282156.0,268339.0,271988.0,227288.0,231433.0,229275.0,250141.0,2332291.0,1871537.0,1795175.0,244045.0,329838.0,338342.0,333353.0,247507.0,274265.0,272953.0,274423.0,251968.0,2208612.0,1797030.0,1724305.0,249034.0,496346.0,513743.0,526610.0,247105.0,355159.0,366045.0,345103.0,248906.0,2304804.0,1826798.0,1757703.0,243417.0,887560.0,922448.0,892636.0,244174.0,484974.0,458395.0,449299.0,250299.0,2778833.0,2508052.0,2433351.0,240414.0,1673093.0,1566634.0,1736028.0,242450.0,250791.0,215507.0,207335.0,209411.0,211675.0,208097.0,214439.0,213809.0,207484.0,208635.0,211241.0,212604.0
16.5,351605.0,355790.0,334704.0,252922.0,226913.0,230568.0,228738.0,250053.0,229118.0,224978.0,225975.0,258364.0,382922.0,358977.0,348100.0,249444.0,240385.0,240713.0,242887.0,222979.0,225688.0,222960.0,932233.0,773201.0,752450.0,244701.0,284945.0,265378.0,274763.0,228947.0,229457.0,232489.0,248347.0,2437018.0,1938203.0,1848066.0,243349.0,332527.0,340320.0,333423.0,245985.0,273454.0,278989.0,281472.0,250189.0,2289515.0,1858615.0,1767313.0,244485.0,500395.0,513244.0,531709.0,246069.0,358694.0,367888.0,348942.0,248507.0,2366721.0,1894904.0,1817043.0,242674.0,895433.0,924609.0,897260.0,248987.0,507853.0,469159.0,463494.0,252103.0,2948384.0,2633541.0,2531112.0,241763.0,1752400.0,1627848.0,1804487.0,243728.0,248820.0,215335.0,209487.0,211461.0,210842.0,207073.0,214508.0,211840.0,207401.0,212249.0,208432.0,213771.0
17.0,359583.0,360682.0,333188.0,249954.0,228160.0,228557.0,228652.0,252791.0,227091.0,227024.0,225035.0,253730.0,395388.0,364006.0,354135.0,248751.0,238130.0,240441.0,244071.0,224125.0,225860.0,224210.0,964622.0,787018.0,769236.0,245069.0,281925.0,264705.0,271484.0,227034.0,229426.0,228373.0,249031.0,2543376.0,1999706.0,1927700.0,246890.0,332343.0,340521.0,333357.0,246850.0,275420.0,276646.0,278923.0,252191.0,2392417.0,1925510.0,1843450.0,249046.0,504219.0,517739.0,533833.0,246337.0,367609.0,372650.0,355462.0,250874.0,2452373.0,1945403.0,1880301.0,247388.0,906329.0,935352.0,896514.0,247622.0,522558.0,484087.0,473984.0,248620.0,3107298.0,2735678.0,2628341.0,241372.0,1827909.0,1714578.0,1909641.0,247616.0,250138.0,220238.0,208201.0,209645.0,213909.0,207364.0,210585.0,215381.0,209138.0,211713.0,211721.0,214364.0
17.5,366920.0,368511.0,340071.0,252364.0,228404.0,230326.0,228806.0,252515.0,230094.0,222415.0,227560.0,253363.0,399873.0,368985.0,357064.0,250677.0,238270.0,242321.0,249189.0,224282.0,226930.0,222937.0,994232.0,812101.0,786431.0,248263.0,287355.0,267961.0,271072.0,227301.0,231028.0,230286.0,249512.0,2653387.0,2092957.0,2007529.0,244178.0,334008.0,339751.0,333983.0,247568.0,278365.0,279550.0,281019.0,248970.0,2470004.0,1988489.0,1896189.0,247568.0,504399.0,525972.0,537001.0,243770.0,374182.0,381915.0,356121.0,249070.0,2534764.0,2016924.0,1943776.0,242525.0,915482.0,942144.0,908959.0,247077.0,535748.0,498022.0,488215.0,250391.0,3294414.0,2845807.0,2748281.0,242375.0,1897730.0,1834481.0,2000434.0,249810.0,249170.0,217618.0,209862.0,210640.0,211502.0,207067.0,212312.0,210957.0,209414.0,210357.0,210776.0,212583.0
18.0,374798.0,375083.0,340319.0,254022.0,229724.0,230751.0,231994.0,254168.0,228765.0,227206.0,227733.0,256457.0,405552.0,370630.0,360236.0,249439.0,237793.0,239901.0,245619.0,223889.0,224804.0,223175.0,1027112.0,835061.0,809437.0,249987.0,288382.0,268649.0,271529.0,226059.0,231446.0,229723.0,251056.0,2773643.0,2155809.0,2075185.0,243557.0,331106.0,339604.0,339283.0,248904.0,280532.0,281066.0,284181.0,251184.0,2585241.0,2056036.0,1967207.0,251854.0,509696.0,527766.0,537931.0,242516.0,377070.0,384532.0,363179.0,250117.0,2585552.0,2074411.0,1993636.0,246856.0,921867.0,950712.0,905091.0,249196.0,542428.0,515451.0,508392.0,249211.0,3512052.0,2950208.0,2837779.0,242081.0,1998006.0,1955901.0,2094691.0,244628.0,251323.0,222837.0,212197.0,211345.0,215374.0,212188.0,216507.0,212269.0,209689.0,213374.0,212069.0,215201.0
18.5,393438.0,377135.0,346746.0,255070.0,228154.0,229009.0,227464.0,252413.0,225399.0,227009.0,227839.0,258100.0,421957.0,372764.0,364506.0,252631.0,240330.0,241914.0,246283.0,222369.0,222153.0,226419.0,1075391.0,851746.0,820798.0,245389.0,287149.0,266764.0,276918.0,229593.0,230563.0,230167.0,246970.0,2918264.0,2228565.0,2145834.0,243418.0,335449.0,341858.0,336618.0,246287.0,283258.0,280756.0,285397.0,252957.0,2677124.0,2122913.0,2020007.0,248197.0,504279.0,529509.0,541699.0,245838.0,382313.0,392146.0,366138.0,249340.0,2684747.0,2147547.0,2071895.0,242555.0,924995.0,958143.0,913273.0,249862.0,561498.0,529292.0,521061.0,251661.0,3684632.0,3057559.0,2924514.0,242550.0,2113391.0,2070749.0,2160932.0,245002.0,247751.0,219828.0,213020.0,212890.0,212779.0,210977.0,214395.0,219028.0,211263.0,213518.0,213121.0,216845.0
19.0,403862.0,385970.0,356128.0,252360.0,232887.0,230735.0,229146.0,254164.0,229252.0,225508.0,225515.0,257542.0,431702.0,380092.0,369437.0,247688.0,238548.0,243285.0,245683.0,224272.0,225321.0,224360.0,1129182.0,878643.0,852493.0,245006.0,284333.0,270560.0,273649.0,231032.0,228474.0,229180.0,248636.0,3069591.0,2322455.0,2229037.0,245198.0,333586.0,341041.0,342161.0,250459.0,286210.0,287251.0,288411.0,253903.0,2800065.0,2190798.0,2090585.0,244313.0,514385.0,541317.0,549300.0,250054.0,389997.0,394090.0,370828.0,247520.0,2799603.0,2227299.0,2133465.0,241128.0,940701.0,964823.0,917661.0,247102.0,583905.0,543617.0,538112.0,251299.0,3876594.0,3171588.0,3028579.0,245016.0,2186924.0,2122735.0,2248743.0,243833.0,249344.0,222986.0,214549.0,212872.0,214765.0,211718.0,211990.0,215567.0,209221.0,212870.0,215575.0,218231.0
