,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,E1
31.5,1173794.0,1147369.0,1076099.0,1099820.0,1090887.0,1170681.0,1755360.0,1721448.0,1634395.0,1747133.0,1842445.0,2174972.0,1748842.0,1576080.0,1490313.0,1411383.0,1393898.0,1372448.0,1473949.0,1514737.0,1444386.0,1564510.0,1730502.0,1878120.0,1741709.0,1450385.0,1484512.0,1450330.0,1412858.0,1349833.0,1186231.0,1275394.0,1189734.0,1220954.0,1417341.0,1434161.0,305487.0,302410.0
32.0,1190513.0,1157442.0,1086615.0,1099292.0,1090096.0,1181132.0,1773588.0,1739683.0,1648860.0,1768426.0,1858294.0,2181426.0,1772260.0,1589677.0,1504666.0,1431866.0,1403279.0,1383701.0,1493797.0,1532848.0,1462573.0,1585741.0,1747112.0,1908140.0,1752066.0,1453616.0,1486263.0,1468382.0,1416851.0,1344032.0,1197633.0,1279802.0,1197969.0,1228718.0,1428113.0,1447022.0,301753.0,303644.0
32.5,1211219.0,1178045.0,1108948.0,1117894.0,1120873.0,1196493.0,1809279.0,1773116.0,1687686.0,1799015.0,1898851.0,2234788.0,1799907.0,1613854.0,1524581.0,1451746.0,1420464.0,1407817.0,1519045.0,1555495.0,1492705.0,1619448.0,1781065.0,1946419.0,1796436.0,1481253.0,1518465.0,1478885.0,1438926.0,1368210.0,1212763.0,1304028.0,1217603.0,1242667.0,1457402.0,1463425.0,304124.0,297985.0
33.0,1215946.0,1181551.0,1112586.0,1129883.0,1124914.0,1204797.0,1824420.0,1773880.0,1693587.0,1821103.0,1917261.0,2278811.0,1822513.0,1634350.0,1531336.0,1455708.0,1443137.0,1417267.0,1522529.0,1561422.0,1493126.0,1617148.0,1783469.0,1965374.0,1807341.0,1484803.0,1523587.0,1493162.0,1446977.0,1376756.0,1218444.0,1308845.0,1219427.0,1252070.0,1458618.0,1469676.0,301194.0,301742.0
33.5,1242169.0,1199423.0,1137732.0,1148829.0,1148569.0,1219739.0,1856399.0,1817750.0,1724659.0,1844151.0,1957525.0,2306662.0,1839317.0,1647401.0,1561318.0,1476850.0,1467065.0,1437096.0,1551356.0,1596007.0,1509465.0,1644163.0,1817096.0,2008413.0,1841841.0,1508544.0,1548720.0,1512872.0,1458767.0,1401280.0,1243571.0,1318504.0,1226229.0,1261546.0,1483639.0,1500939.0,308768.0,303885.0
34.0,1246613.0,1204814.0,1126775.0,1141777.0,1143735.0,1239179.0,1868033.0,1830429.0,1723542.0,1843470.0,1965448.0,2313296.0,1850073.0,1660039.0,1559269.0,1474709.0,1453175.0,1445573.0,1547588.0,1586914.0,1520138.0,1647508.0,1814329.0,2011115.0,1830646.0,1510281.0,1553955.0,1516245.0,1464202.0,1390287.0,1240113.0,1333356.0,1230185.0,1269269.0,1487672.0,1502987.0,300832.0,300843.0
34.5,1267285.0,1214375.0,1146156.0,1168691.0,1164336.0,1247250.0,1901327.0,1851224.0,1761331.0,1885647.0,1991378.0,2373176.0,1900134.0,1689130.0,1577547.0,1503382.0,1481246.0,1463914.0,1571031.0,1617912.0,1539868.0,1681911.0,1850456.0,2048676.0,1870506.0,1533017.0,1558069.0,1536168.0,1493867.0,1415980.0,1246069.0,1334068.0,1253067.0,1283600.0,1505269.0,1530293.0,306895.0,304937.0
35.0,1261660.0,1218735.0,1150198.0,1166406.0,1165620.0,1250587.0,1888969.0,1849157.0,1746221.0,1892890.0,1996445.0,2379604.0,1881973.0,1686113.0,1575165.0,1496983.0,1474033.0,1447045.0,1564320.0,1612683.0,1542686.0,1671596.0,1842793.0,2048752.0,1857679.0,1523505.0,1564764.0,1527990.0,1484905.0,1408451.0,1246792.0,1334652.0,1249681.0,1280300.0,1514303.0,1521893.0,302402.0,302310.0
35.5,1265588.0,1224654.0,1160601.0,1177387.0,1170313.0,1253545.0,1907401.0,1875594.0,1757345.0,1904734.0,2014508.0,2382370.0,1898521.0,1689502.0,1589768.0,1518764.0,1480886.0,1458776.0,1580769.0,1621516.0,1541145.0,1681483.0,1852817.0,2056933.0,1881179.0,1533511.0,1569877.0,1539280.0,1493653.0,1416139.0,1256781.0,1344205.0,1248486.0,1284888.0,1527924.0,1541082.0,307121.0,306067.0
36.0,1263578.0,1219111.0,1141314.0,1173929.0,1170113.0,1252898.0,1911681.0,1869062.0,1765317.0,1901382.0,2004340.0,2395591.0,1898609.0,1686945.0,1583479.0,1504306.0,1486827.0,1459517.0,1580625.0,1617262.0,1536291.0,1683449.0,1851646.0,2065735.0,1875351.0,1518029.0,1566968.0,1535478.0,1490839.0,1403737.0,1253123.0,1345066.0,1237080.0,1278286.0,1515220.0,1532495.0,304968.0,300971.0
36.5,1295461.0,1247042.0,1181171.0,1191192.0,1187539.0,1274606.0,1933870.0,1906115.0,1792779.0,1923773.0,2042086.0,2436957.0,1919113.0,1713472.0,1611394.0,1528045.0,1504573.0,1483980.0,1574792.0,1632250.0,1558838.0,1703749.0,1882513.0,2090504.0,1915251.0,1547226.0,1582514.0,1561206.0,1506168.0,1424077.0,1259908.0,1361740.0,1264693.0,1295319.0,1537508.0,1563362.0,304435.0,303606.0
37.0,1298655.0,1240166.0,1177439.0,1193588.0,1195680.0,1282434.0,1952718.0,1906813.0,1809722.0,1946826.0,2053093.0,2471421.0,1937512.0,1722929.0,1611116.0,1524101.0,1498978.0,1481385.0,1597086.0,1643517.0,1563134.0,1702981.0,1879546.0,2110854.0,1914402.0,1551416.0,1595018.0,1556797.0,1496771.0,1426215.0,1273463.0,1366377.0,1259405.0,1294402.0,1542710.0,1565329.0,304295.0,300256.0
37.5,1323733.0,1269684.0,1203181.0,1225374.0,1222242.0,1313789.0,1990720.0,1946572.0,1837798.0,1982087.0,2102610.0,2511843.0,1978957.0,1771731.0,1655803.0,1559935.0,1535572.0,1513421.0,1629423.0,1675564.0,1589426.0,1739219.0,1925047.0,2150407.0,1954705.0,1590534.0,1625398.0,1590763.0,1531698.0,1457417.0,1291161.0,1391933.0,1284581.0,1318279.0,1568014.0,1595032.0,308555.0,309340.0
38.0,1324615.0,1266786.0,1206466.0,1225003.0,1219643.0,1304135.0,1992308.0,1955033.0,1832108.0,1984968.0,2106613.0,2517991.0,1972780.0,1771088.0,1653624.0,1556242.0,1530952.0,1508108.0,1629114.0,1670906.0,1586710.0,1747135.0,1915091.0,2144184.0,1944804.0,1576263.0,1618478.0,1596184.0,1532123.0,1447639.0,1291059.0,1398316.0,1282216.0,1319455.0,1575068.0,1604966.0,307580.0,304364.0
38.5,1345343.0,1287189.0,1204348.0,1244432.0,1235470.0,1331948.0,2029983.0,1989907.0,1856376.0,2019760.0,2142584.0,2573507.0,2022671.0,1792263.0,1667678.0,1585092.0,1552718.0,1529559.0,1638123.0,1699905.0,1614125.0,1766194.0,1959468.0,2187880.0,1977793.0,1586926.0,1635293.0,1607963.0,1544920.0,1465740.0,1309679.0,1405411.0,1294529.0,1333083.0,1586377.0,1611898.0,315698.0,309626.0
39.0,1349467.0,1300519.0,1213033.0,1243000.0,1239513.0,1338302.0,2041309.0,2006636.0,1885913.0,2029872.0,2148200.0,2596400.0,2017897.0,1799157.0,1664628.0,1590924.0,1553978.0,1529313.0,1660562.0,1700900.0,1609381.0,1770575.0,1964507.0,2210197.0,1986444.0,1605096.0,1652867.0,1607107.0,1557514.0,1466249.0,1308013.0,1413739.0,1291050.0,1341937.0,1612053.0,1628243.0,310634.0,308346.0
39.5,1378000.0,1319585.0,1244414.0,1264584.0,1265768.0,1356926.0,2079233.0,2035337.0,1907336.0,2060181.0,2187724.0,2633647.0,2051879.0,1817280.0,1699859.0,1615551.0,1583811.0,1552661.0,1683282.0,1724643.0,1640802.0,1800958.0,1989744.0,2245189.0,2015974.0,1626603.0,1675768.0,1639408.0,1579412.0,1492203.0,1324985.0,1436675.0,1325541.0,1358247.0,1623984.0,1668544.0,316981.0,312011.0
40.0,1363100.0,1302092.0,1231050.0,1259476.0,1258760.0,1345858.0,2078668.0,2037553.0,1902468.0,2062695.0,2186282.0,2632461.0,2051100.0,1828266.0,1695211.0,1611715.0,1572926.0,1559312.0,1671061.0,1725211.0,1634480.0,1796609.0,1987955.0,2261031.0,2007683.0,1620654.0,1662883.0,1639274.0,1567893.0,1488595.0,1317389.0,1429969.0,1319479.0,1357426.0,1629434.0,1664149.0,308980.0,307457.0
40.5,1374805.0,1316395.0,1246996.0,1269816.0,1271629.0,1367296.0,2078622.0,2044171.0,1918884.0,2073680.0,2192228.0,2644223.0,2065506.0,1839175.0,1699232.0,1615084.0,1581445.0,1564258.0,1677957.0,1727682.0,1627837.0,1814764.0,2003334.0,2255160.0,2022723.0,1623252.0,1667527.0,1639813.0,1566203.0,1478860.0,1327912.0,1437554.0,1313619.0,1353669.0,1635587.0,1664242.0,315087.0,311566.0
41.0,1373413.0,1322575.0,1241024.0,1269840.0,1274240.0,1365830.0,2077346.0,2042609.0,1920728.0,2078701.0,2205750.0,2670720.0,2063515.0,1838015.0,1706804.0,1617989.0,1578494.0,1552629.0,1678541.0,1731404.0,1646903.0,1806037.0,2000629.0,2266315.0,2028349.0,1625243.0,1667567.0,1640156.0,1575055.0,1493797.0,1322066.0,1448234.0,1309855.0,1356779.0,1652641.0,1659296.0,310413.0,307063.0
41.5,1391639.0,1342378.0,1259629.0,1284708.0,1293722.0,1385484.0,2107134.0,2074582.0,1946462.0,2096659.0,2224253.0,2691778.0,2090303.0,1855806.0,1723263.0,1630693.0,1597210.0,1571676.0,1702750.0,1755881.0,1653936.0,1839770.0,2026303.0,2313455.0,2060171.0,1631176.0,1697716.0,1658022.0,1598861.0,1503338.0,1331580.0,1450638.0,1330854.0,1371270.0,1656574.0,1693748.0,311103.0,312702.0
42.0,1394894.0,1348345.0,1265091.0,1289592.0,1289396.0,1386571.0,2120279.0,2077329.0,1942168.0,2120984.0,2240584.0,2707678.0,2080745.0,1872709.0,1728971.0,1635942.0,1604186.0,1589106.0,1705059.0,1747398.0,1654476.0,1839755.0,2022761.0,2313838.0,2057161.0,1643605.0,1694332.0,1670209.0,1591075.0,1498562.0,1345682.0,1460743.0,1323827.0,1372558.0,1659927.0,1695888.0,314784.0,308418.0
42.5,1432733.0,1372572.0,1283848.0,1319594.0,1319119.0,1413836.0,2158062.0,2120893.0,1993551.0,2157843.0,2289990.0,2773332.0,2142191.0,1921183.0,1768197.0,1677639.0,1636349.0,1617107.0,1746736.0,1797104.0,1694568.0,1868662.0,2079406.0,2361533.0,2097627.0,1670477.0,1723977.0,1693062.0,1634439.0,1526521.0,1365358.0,1493510.0,1344161.0,1401755.0,1697910.0,1733873.0,316624.0,308899.0
43.0,1431810.0,1372290.0,1276737.0,1311707.0,1319110.0,1415168.0,2167200.0,2114606.0,1988170.0,2154781.0,2287714.0,2794507.0,2158193.0,1899021.0,1757708.0,1667772.0,1632641.0,1610719.0,1736389.0,1785699.0,1686376.0,1882973.0,2062927.0,2368364.0,2091322.0,1687321.0,1727016.0,1684374.0,1629481.0,1531798.0,1359672.0,1491990.0,1349479.0,1404474.0,1687858.0,1723266.0,314288.0,307769.0
43.5,1452046.0,1386396.0,1299924.0,1333235.0,1335593.0,1432019.0,2191207.0,2163238.0,2012422.0,2193143.0,2316246.0,2820728.0,2190672.0,1940190.0,1777020.0,1682653.0,1660310.0,1628628.0,1758450.0,1811174.0,1716848.0,1895013.0,2097791.0,2395073.0,2124966.0,1687138.0,1733983.0,1709660.0,1634519.0,1544229.0,1381008.0,1505626.0,1360623.0,1408915.0,1716572.0,1747375.0,318326.0,311217.0
44.0,1453207.0,1391577.0,1301893.0,1333457.0,1331208.0,1440989.0,2193408.0,2164067.0,2017283.0,2194320.0,2321803.0,2827542.0,2186125.0,1933793.0,1785532.0,1684588.0,1656683.0,1632658.0,1757673.0,1809920.0,1713773.0,1895141.0,2101415.0,2407282.0,2142594.0,1697821.0,1750181.0,1710276.0,1633765.0,1555877.0,1375485.0,1510134.0,1361890.0,1411259.0,1725813.0,1765845.0,313259.0,310538.0
44.5,1472582.0,1398558.0,1309206.0,1343279.0,1337898.0,1448693.0,2204054.0,2162581.0,2036654.0,2209703.0,2349535.0,2853591.0,2182117.0,1942406.0,1787182.0,1697267.0,1663359.0,1629044.0,1761503.0,1815851.0,1720243.0,1911435.0,2131761.0,2430088.0,2143855.0,1700898.0,1760591.0,1720374.0,1652407.0,1554291.0,1388006.0,1515244.0,1367882.0,1409758.0,1719046.0,1764599.0,310211.0,312748.0
45.0,1476800.0,1390865.0,1300545.0,1342236.0,1343216.0,1448896.0,2206505.0,2166165.0,2024792.0,2196383.0,2348256.0,2849685.0,2200433.0,1948153.0,1783638.0,1693340.0,1667952.0,1633410.0,1767361.0,1821005.0,1714635.0,1907768.0,2121269.0,2438514.0,2148645.0,1694973.0,1749167.0,1712154.0,1647394.0,1547312.0,1376180.0,1517740.0,1365930.0,1403327.0,1733125.0,1773402.0,310504.0,307361.0
45.5,1479157.0,1404212.0,1311242.0,1346963.0,1345004.0,1448752.0,2217443.0,2182290.0,2041410.0,2223864.0,2350555.0,2874977.0,2208549.0,1953087.0,1792968.0,1698522.0,1668370.0,1637946.0,1780853.0,1835145.0,1728992.0,1920981.0,2129238.0,2441268.0,2167531.0,1702759.0,1762717.0,1722814.0,1666635.0,1558871.0,1388242.0,1524119.0,1367122.0,1411307.0,1733163.0,1773318.0,310947.0,310806.0
46.0,1468266.0,1399273.0,1315296.0,1343341.0,1348935.0,1456584.0,2212006.0,2167033.0,2024443.0,2209847.0,2345104.0,2880339.0,2202055.0,1950352.0,1783143.0,1706611.0,1650665.0,1639183.0,1771280.0,1826853.0,1715711.0,1913223.0,2128273.0,2471492.0,2142484.0,1687733.0,1751875.0,1712551.0,1645997.0,1549888.0,1390616.0,1505947.0,1370025.0,1413722.0,1725926.0,1772758.0,307529.0,305760.0
46.5,1486396.0,1415268.0,1330056.0,1355834.0,1359547.0,1466923.0,2235091.0,2187671.0,2049656.0,2225488.0,2366857.0,2904028.0,2221628.0,1961454.0,1813110.0,1717330.0,1672991.0,1655604.0,1787029.0,1840741.0,1729347.0,1926863.0,2149317.0,2475780.0,2180140.0,1716037.0,1764519.0,1733053.0,1662500.0,1561232.0,1395174.0,1518533.0,1378066.0,1422987.0,1750564.0,1787517.0,311776.0,309208.0
47.0,1498811.0,1405496.0,1325042.0,1360490.0,1361907.0,1472107.0,2242977.0,2201268.0,2048166.0,2221775.0,2379543.0,2924795.0,2225803.0,1972552.0,1810435.0,1721055.0,1674122.0,1662926.0,1784978.0,1842653.0,1740969.0,1935536.0,2156301.0,2485622.0,2179770.0,1716602.0,1767430.0,1726598.0,1664818.0,1563356.0,1407791.0,1516641.0,1372331.0,1424649.0,1748946.0,1801135.0,308960.0,301368.0
47.5,1534914.0,1442001.0,1354143.0,1384747.0,1385618.0,1487793.0,2280988.0,2238321.0,2093346.0,2276475.0,2412884.0,2961166.0,2273204.0,2018723.0,1833217.0,1750931.0,1716702.0,1690805.0,1825619.0,1886004.0,1776173.0,1983531.0,2194937.0,2538807.0,2230440.0,1761251.0,1811984.0,1781383.0,1694536.0,1595900.0,1423746.0,1558602.0,1405510.0,1452081.0,1796810.0,1828202.0,315768.0,313311.0
48.0,1534974.0,1439158.0,1346584.0,1384998.0,1391605.0,1495610.0,2282053.0,2230637.0,2092813.0,2269838.0,2411319.0,2977472.0,2281099.0,2021259.0,1843067.0,1747552.0,1704480.0,1690274.0,1820438.0,1876482.0,1768399.0,1969853.0,2206500.0,2550374.0,2226623.0,1744240.0,1808749.0,1770140.0,1699752.0,1589661.0,1424833.0,1547785.0,1400554.0,1444805.0,1785162.0,1842281.0,307558.0,307832.0
48.5,1549674.0,1456494.0,1363383.0,1398002.0,1402361.0,1514784.0,2314190.0,2268208.0,2119542.0,2300475.0,2447838.0,3021256.0,2306149.0,2054531.0,1853114.0,1758059.0,1724758.0,1708136.0,1838396.0,1899630.0,1783607.0,2010043.0,2234985.0,2581727.0,2251333.0,1765594.0,1826802.0,1791907.0,1716126.0,1607595.0,1440138.0,1566705.0,1408173.0,1464888.0,1815090.0,1851068.0,313901.0,305969.0
49.0,1553804.0,1466037.0,1371898.0,1414798.0,1403893.0,1523705.0,2308672.0,2283083.0,2126635.0,2315058.0,2460641.0,3039634.0,2316640.0,2058313.0,1866122.0,1759534.0,1720702.0,1707130.0,1848862.0,1908518.0,1795654.0,2004853.0,2229488.0,2581492.0,2263117.0,1761773.0,1836868.0,1800179.0,1709050.0,1614398.0,1440791.0,1565650.0,1413118.0,1462483.0,1821635.0,1866047.0,311856.0,312418.0
49.5,1594168.0,1479122.0,1373234.0,1421498.0,1431172.0,1533672.0,2352951.0,2301558.0,2140021.0,2350963.0,2489130.0,3066435.0,2362241.0,2060969.0,1888442.0,1790248.0,1748249.0,1728061.0,1876374.0,1923604.0,1813764.0,2033958.0,2273677.0,2628461.0,2301301.0,1790809.0,1859765.0,1823909.0,1740031.0,1628723.0,1457866.0,1583961.0,1427292.0,1473733.0,1838000.0,1880299.0,319419.0,318323.0
50.0,1593904.0,1476325.0,1371783.0,1409411.0,1421423.0,1530498.0,2326519.0,2284504.0,2140679.0,2328894.0,2484443.0,3077620.0,2345490.0,2064346.0,1887854.0,1779966.0,1726834.0,1721759.0,1868771.0,1917939.0,1808864.0,2031225.0,2263950.0,2609069.0,2287470.0,1777741.0,1840713.0,1811539.0,1733576.0,1609719.0,1440425.0,1578091.0,1414860.0,1470277.0,1828140.0,1881425.0,310748.0,311251.0
50.5,1588734.0,1473072.0,1379000.0,1416746.0,1425702.0,1540635.0,2332100.0,2308168.0,2152062.0,2335977.0,2483425.0,3063013.0,2341579.0,2055248.0,1877220.0,1787392.0,1744451.0,1717010.0,1862119.0,1926720.0,1819746.0,2036117.0,2263412.0,2635595.0,2288765.0,1785125.0,1849451.0,1806595.0,1732882.0,1620076.0,1446882.0,1576630.0,1428453.0,1473347.0,1830265.0,1881170.0,315401.0,313173.0
51.0,1577395.0,1471804.0,1370326.0,1411192.0,1416096.0,1536865.0,2320822.0,2300506.0,2134566.0,2312191.0,2487141.0,3062311.0,2334938.0,2062509.0,1874708.0,1777948.0,1746757.0,1709809.0,1861334.0,1917801.0,1799693.0,2020485.0,2249317.0,2641865.0,2287543.0,1771493.0,1840177.0,1804745.0,1725877.0,1615258.0,1440462.0,1562770.0,1416271.0,1469041.0,1827170.0,1869881.0,309693.0,308572.0
51.5,1593516.0,1474078.0,1383140.0,1419811.0,1426321.0,1536969.0,2329413.0,2310063.0,2146483.0,2348592.0,2492107.0,3090955.0,2352487.0,2076032.0,1876300.0,1792091.0,1748142.0,1715808.0,1868904.0,1930794.0,1819843.0,2027710.0,2267406.0,2660252.0,2302269.0,1780062.0,1858085.0,1811645.0,1730831.0,1611663.0,1455099.0,1566288.0,1427323.0,1475505.0,1839112.0,1889279.0,313035.0,311038.0
52.0,1614529.0,1490002.0,1390278.0,1431225.0,1436291.0,1560498.0,2352838.0,2340804.0,2170787.0,2361809.0,2504955.0,3136865.0,2371293.0,2093387.0,1892242.0,1801721.0,1757976.0,1730881.0,1888904.0,1948660.0,1824433.0,2054464.0,2288642.0,2676732.0,2340502.0,1799118.0,1857247.0,1829711.0,1753386.0,1639189.0,1465902.0,1571117.0,1436143.0,1489502.0,1860872.0,1904068.0,315548.0,306886.0
52.5,1647362.0,1529245.0,1432925.0,1463857.0,1467320.0,1580602.0,2421967.0,2377038.0,2214027.0,2404864.0,2548796.0,3188682.0,2439948.0,2133750.0,1943698.0,1842839.0,1796708.0,1767667.0,1922026.0,1989913.0,1863783.0,2097983.0,2335850.0,2753474.0,2382447.0,1828456.0,1901431.0,1877850.0,1788203.0,1670559.0,1498309.0,1607724.0,1469263.0,1514784.0,1891977.0,1941600.0,320147.0,317791.0
53.0,1650678.0,1522589.0,1424015.0,1456937.0,1456629.0,1571838.0,2407162.0,2361594.0,2197469.0,2407923.0,2560602.0,3185225.0,2423887.0,2130625.0,1933823.0,1827839.0,1789386.0,1759917.0,1928884.0,1994750.0,1859604.0,2084022.0,2336167.0,2773029.0,2360808.0,1837326.0,1906850.0,1862075.0,1782200.0,1656032.0,1496051.0,1610489.0,1460734.0,1508970.0,1896332.0,1946924.0,315240.0,307929.0
53.5,1658096.0,1541501.0,1433861.0,1471940.0,1485966.0,1598985.0,2425979.0,2384989.0,2244348.0,2433985.0,2592273.0,3224951.0,2455108.0,2154890.0,1969773.0,1855906.0,1821125.0,1789573.0,1931040.0,2000354.0,1881105.0,2117679.0,2368423.0,2805818.0,2407314.0,1863436.0,1930612.0,1888666.0,1796657.0,1678207.0,1505429.0,1611989.0,1481301.0,1534022.0,1921626.0,1977962.0,318762.0,317218.0
54.0,1675980.0,1540951.0,1438861.0,1476848.0,1489000.0,1607052.0,2435856.0,2375756.0,2242030.0,2435090.0,2596741.0,3239500.0,2463849.0,2153477.0,1963571.0,1851262.0,1812479.0,1778347.0,1939614.0,2009760.0,1888900.0,2111634.0,2365939.0,2810560.0,2408098.0,1839533.0,1929579.0,1876783.0,1797195.0,1676975.0,1509007.0,1608253.0,1477316.0,1531089.0,1921045.0,1971852.0,318170.0,318960.0
54.5,1682191.0,1546339.0,1432969.0,1487433.0,1490985.0,1617130.0,2443108.0,2399359.0,2247432.0,2431910.0,2587892.0,3254343.0,2504975.0,2167190.0,1976392.0,1864220.0,1814102.0,1783378.0,1954583.0,2027838.0,1887198.0,2121035.0,2382209.0,2836405.0,2410686.0,1860107.0,1939185.0,1899480.0,1812444.0,1696215.0,1516632.0,1627290.0,1479799.0,1541522.0,1932953.0,1976047.0,320301.0,319289.0
55.0,1671578.0,1538516.0,1443582.0,1474943.0,1488959.0,1613798.0,2439525.0,2383866.0,2234930.0,2428500.0,2599285.0,3252268.0,2478465.0,2170964.0,1960007.0,1865062.0,1802586.0,1765210.0,1936185.0,2009171.0,1885974.0,2121393.0,2369999.0,2857494.0,2398223.0,1848557.0,1927622.0,1886476.0,1808346.0,1688004.0,1513992.0,1620003.0,1482444.0,1527597.0,1920317.0,1983177.0,316093.0,310944.0
55.5,1665442.0,1543094.0,1433802.0,1472235.0,1481472.0,1605917.0,2438408.0,2370689.0,2221164.0,2427507.0,2586498.0,3252732.0,2485692.0,2159626.0,1961073.0,1862704.0,1816452.0,1769228.0,1935600.0,1999839.0,1880525.0,2115636.0,2371705.0,2836853.0,2394907.0,1854214.0,1922234.0,1885677.0,1809555.0,1682683.0,1506896.0,1623106.0,1478831.0,1530992.0,1931778.0,1970834.0,319611.0,311404.0
56.0,1660691.0,1528940.0,1410714.0,1466579.0,1467524.0,1599775.0,2402572.0,2360170.0,2201612.0,2402962.0,2566148.0,3236425.0,2454716.0,2142019.0,1939291.0,1839653.0,1795100.0,1768468.0,1928350.0,1996537.0,1860450.0,2089105.0,2355604.0,2815076.0,2382059.0,1831109.0,1917253.0,1869897.0,1798734.0,1674499.0,1495533.0,1604227.0,1473163.0,1525316.0,1912343.0,1960906.0,312765.0,307999.0
56.5,1679852.0,1542676.0,1431216.0,1476256.0,1487942.0,1614761.0,2445847.0,2377133.0,2229957.0,2442442.0,2613215.0,3264211.0,2498550.0,2165845.0,1969579.0,1863885.0,1809100.0,1780885.0,1937148.0,2012709.0,1886583.0,2129263.0,2375968.0,2855922.0,2423242.0,1854475.0,1926631.0,1901055.0,1821279.0,1686262.0,1510976.0,1628976.0,1486631.0,1539179.0,1938528.0,1982988.0,317966.0,308192.0
57.0,1688571.0,1544982.0,1427062.0,1469893.0,1485612.0,1614187.0,2433825.0,2377983.0,2241419.0,2440512.0,2605556.0,3272494.0,2512940.0,2173073.0,1964818.0,1859635.0,1812669.0,1777172.0,1939335.0,2010984.0,1884036.0,2117940.0,2377560.0,2887196.0,2415470.0,1860407.0,1931711.0,1892553.0,1807694.0,1688701.0,1502492.0,1631434.0,1488472.0,1535740.0,1948020.0,1970515.0,311696.0,310946.0
57.5,1699718.0,1570751.0,1459078.0,1507595.0,1506488.0,1637352.0,2462275.0,2433179.0,2273464.0,2490461.0,2652714.0,3338851.0,2570511.0,2209119.0,2003376.0,1896824.0,1851842.0,1807759.0,1979883.0,2057691.0,1915400.0,2155837.0,2417688.0,2950782.0,2456946.0,1883082.0,1963455.0,1926392.0,1843442.0,1719181.0,1534284.0,1655963.0,1514279.0,1569566.0,1966020.0,1997102.0,315724.0,312317.0
58.0,1689859.0,1569593.0,1449839.0,1498044.0,1506197.0,1642310.0,2443020.0,2425897.0,2264523.0,2467151.0,2649896.0,3331068.0,2568151.0,2190184.0,1997774.0,1884152.0,1841919.0,1798231.0,1964853.0,2044943.0,1900679.0,2148972.0,2420596.0,2930587.0,2455359.0,1878500.0,1961744.0,1907639.0,1841651.0,1703910.0,1529066.0,1650001.0,1508977.0,1554597.0,1976609.0,2025147.0,307764.0,306295.0
58.5,1720971.0,1579723.0,1462334.0,1509906.0,1531860.0,1649053.0,2487798.0,2430174.0,2303048.0,2508671.0,2680074.0,3369521.0,2582287.0,2206745.0,2013366.0,1905882.0,1855665.0,1831237.0,1985309.0,2066882.0,1914041.0,2178169.0,2435017.0,2972486.0,2484529.0,1906110.0,1964188.0,1925626.0,1847690.0,1721261.0,1551568.0,1655836.0,1531658.0,1569981.0,1985306.0,2077839.0,311876.0,312472.0
59.0,1713657.0,1570483.0,1457648.0,1501182.0,1535851.0,1668652.0,2479654.0,2451015.0,2304249.0,2506668.0,2678267.0,3388048.0,2588783.0,2221777.0,2015840.0,1901785.0,1873899.0,1831848.0,2002197.0,2063215.0,1929404.0,2176206.0,2445805.0,2977358.0,2504285.0,1907062.0,1996432.0,1950015.0,1858593.0,1716026.0,1541414.0,1672120.0,1529734.0,1576192.0,1999867.0,2053370.0,308476.0,309610.0
59.5,1734859.0,1594709.0,1469382.0,1512548.0,1543358.0,1675023.0,2507680.0,2444028.0,2316056.0,2507108.0,2700834.0,3405983.0,2608496.0,2232495.0,2043416.0,1921249.0,1868200.0,1837821.0,2004856.0,2086104.0,1938051.0,2193727.0,2465802.0,3029619.0,2526357.0,1916251.0,1987605.0,1941495.0,1873126.0,1739375.0,1542080.0,1678872.0,1536686.0,1585363.0,2020728.0,2053516.0,308407.0,310721.0
60.0,1735461.0,1582263.0,1454860.0,1492333.0,1525749.0,1666934.0,2480155.0,2435400.0,2284664.0,2503631.0,2685964.0,3407023.0,2599853.0,2214349.0,2015942.0,1890910.0,1860280.0,1824842.0,1989849.0,2056735.0,1915146.0,2171919.0,2443148.0,3041032.0,2504522.0,1899933.0,1976622.0,1940297.0,1845378.0,1724453.0,1547882.0,1669265.0,1531869.0,1575852.0,1996629.0,2036538.0,307291.0,300390.0
60.5,1724538.0,1587695.0,1460417.0,1494259.0,1529135.0,1658260.0,2486944.0,2444914.0,2282224.0,2500128.0,2683919.0,3402275.0,2601949.0,2216039.0,2004035.0,1894760.0,1850531.0,1836143.0,2003225.0,2066192.0,1920334.0,2171923.0,2448169.0,3034453.0,2508563.0,1905427.0,1981496.0,1932947.0,1842167.0,1733909.0,1554186.0,1668300.0,1532715.0,1572697.0,1998984.0,2069068.0,305429.0,304010.0
61.0,1716402.0,1570807.0,1435947.0,1479056.0,1506931.0,1642355.0,2462196.0,2414437.0,2261508.0,2465734.0,2652580.0,3373480.0,2592809.0,2179291.0,1983405.0,1884737.0,1830896.0,1798146.0,1961791.0,2041529.0,1892190.0,2148539.0,2420437.0,3012352.0,2487994.0,1868545.0,1968675.0,1906650.0,1834587.0,1704988.0,1529526.0,1645446.0,1521642.0,1565266.0,1970019.0,1993813.0,299966.0,299785.0
