,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
10.0,2604304.0,2546510.0,2427839.0,2462911.0,2421389.0,2404179.0,5009515.0,4919740.0,4894375.0,4947144.0,5122307.0,5316076.0,4871263.0,4562518.0,4572830.0,4664391.0,4721621.0,4775649.0,257605.0,259792.0,260940.0,258780.0,261718.0,263911.0,249336.0,244169.0,246835.0,251339.0
10.5,2843759.0,2782156.0,2694699.0,2755716.0,2688452.0,2650405.0,5543583.0,5368736.0,5368236.0,5351932.0,5505823.0,5679923.0,5334851.0,5027434.0,5069927.0,5058737.0,5109426.0,5166105.0,260144.0,261166.0,259060.0,259974.0,259036.0,264881.0,248534.0,247305.0,246141.0,251840.0
11.0,3208082.0,3080842.0,2991248.0,3035722.0,2949168.0,2908397.0,5757314.0,5697471.0,5724713.0,5677858.0,5809979.0,5924190.0,5789314.0,5613002.0,5670955.0,5589649.0,5706244.0,5614018.0,262583.0,264879.0,266503.0,265270.0,264067.0,267241.0,251984.0,246511.0,247392.0,251664.0
11.5,3699126.0,3415161.0,3314061.0,3358054.0,3210615.0,3204234.0,6040645.0,5984822.0,5963994.0,5975783.0,6151343.0,5994182.0,6321674.0,6326303.0,6153136.0,6204122.0,6216550.0,5952261.0,264810.0,268076.0,266856.0,266585.0,268057.0,271226.0,248345.0,247438.0,246014.0,248813.0
12.0,4302991.0,3771311.0,3587317.0,3692551.0,3470326.0,3548872.0,6280348.0,6236985.0,6239302.0,6221965.0,6442030.0,6309287.0,7038968.0,6975877.0,6741668.0,6731265.0,6459180.0,6341454.0,270307.0,270144.0,273196.0,268761.0,273192.0,274424.0,250454.0,246874.0,245902.0,252238.0
12.5,5014074.0,4029495.0,3923411.0,3985686.0,3821422.0,3886206.0,6535501.0,6587517.0,6484838.0,6539424.0,6483886.0,6727453.0,7858886.0,7303130.0,7198228.0,7012020.0,6880496.0,6824260.0,270993.0,273038.0,278782.0,272656.0,273932.0,280310.0,251313.0,244916.0,245390.0,251500.0
13.0,5800646.0,4324027.0,4210987.0,4269315.0,4112615.0,4223248.0,6642756.0,6739365.0,6677517.0,6518861.0,6496039.0,7183780.0,8783869.0,7421132.0,7435059.0,7291145.0,7262381.0,7282931.0,273263.0,274282.0,275875.0,271516.0,277685.0,282536.0,249822.0,248683.0,246417.0,254895.0
13.5,6599727.0,4633621.0,4495642.0,4555232.0,4387616.0,4576501.0,6747695.0,6746596.0,6715209.0,6549367.0,6706185.0,7648443.0,9749552.0,7694662.0,7669128.0,7645756.0,7727103.0,7951095.0,276481.0,276534.0,278422.0,275768.0,278485.0,285703.0,248113.0,244454.0,247141.0,250254.0
14.0,7370045.0,4909523.0,4721533.0,4766112.0,4661309.0,4861692.0,6863624.0,6792812.0,6768765.0,6708047.0,7041122.0,8112406.0,10809029.0,7912437.0,7912631.0,8027190.0,8192452.0,8736478.0,276664.0,279460.0,282504.0,282001.0,281489.0,284607.0,248983.0,246285.0,244275.0,249718.0
14.5,8111024.0,5207998.0,4988484.0,5022762.0,4941543.0,5122365.0,7039089.0,6909398.0,6849838.0,6910798.0,7280711.0,8578707.0,11765024.0,8240032.0,8198456.0,8425830.0,8836596.0,9598947.0,282525.0,286188.0,283214.0,285816.0,285735.0,292267.0,247545.0,245156.0,246601.0,247413.0
15.0,8797505.0,5701485.0,5278887.0,5293576.0,5174021.0,5425002.0,7326872.0,7112267.0,7097072.0,7167083.0,7633755.0,9038220.0,12701451.0,8717271.0,8558140.0,8838783.0,9550711.0,10598011.0,279217.0,287511.0,284470.0,285630.0,283343.0,289617.0,251360.0,247635.0,249011.0,250080.0
15.5,9524025.0,5992142.0,5574329.0,5539396.0,5420815.0,5798171.0,7592431.0,7380903.0,7379395.0,7474647.0,7965380.0,9479650.0,13610936.0,9557896.0,9199035.0,9334628.0,10467763.0,11599707.0,280482.0,286460.0,286301.0,286327.0,287286.0,291244.0,247951.0,246781.0,250606.0,246561.0
16.0,10077131.0,6368990.0,5940998.0,5816539.0,5715128.0,6250222.0,7856287.0,7698079.0,7637187.0,7749769.0,8387334.0,9986410.0,14458821.0,9841515.0,9560216.0,9961649.0,11409278.0,12555491.0,285275.0,286882.0,290544.0,288883.0,287655.0,291257.0,247962.0,241572.0,246381.0,248946.0
16.5,10743803.0,7014745.0,6150212.0,5988214.0,6068190.0,6763337.0,8184573.0,7962114.0,7925212.0,8076088.0,8803349.0,10354012.0,15248611.0,10474843.0,9877666.0,10663298.0,12478906.0,13462391.0,285905.0,290857.0,290120.0,289273.0,287895.0,294337.0,251620.0,243135.0,246889.0,254221.0
17.0,11309719.0,7682262.0,6463005.0,6314148.0,6543260.0,7418359.0,8438954.0,8279391.0,8148977.0,8370597.0,9220465.0,10742705.0,16011828.0,11143330.0,10616431.0,11531367.0,13511030.0,14334675.0,290056.0,292028.0,289759.0,288290.0,290672.0,297702.0,248435.0,246487.0,245879.0,253263.0
17.5,11776690.0,8446960.0,6973047.0,6776627.0,7158558.0,8121002.0,8819886.0,8628529.0,8514274.0,8735844.0,9660317.0,11095838.0,16739364.0,12095138.0,11408487.0,12493094.0,14499369.0,15227073.0,286862.0,287655.0,292879.0,288874.0,290957.0,296391.0,252270.0,246808.0,244829.0,250984.0
18.0,12361251.0,9216692.0,7518549.0,7331669.0,7844740.0,8886988.0,9228804.0,8963777.0,8907195.0,9138861.0,10071379.0,11493221.0,17512869.0,13014660.0,12282352.0,13430826.0,15352386.0,15938770.0,291742.0,293492.0,294340.0,292499.0,294960.0,299308.0,255502.0,251397.0,247782.0,253223.0
18.5,12913495.0,9986647.0,8143469.0,7988074.0,8648202.0,9586220.0,9609751.0,9341538.0,9269185.0,9548091.0,10443216.0,11886027.0,18237716.0,13945730.0,13305638.0,14392269.0,16225171.0,16683126.0,291583.0,290071.0,294188.0,291897.0,290265.0,295691.0,253610.0,250078.0,248162.0,249118.0
19.0,13428933.0,10693833.0,8828576.0,8789939.0,9425658.0,10293841.0,9966475.0,9672414.0,9687723.0,9909702.0,10808628.0,12153023.0,18925046.0,14936572.0,14307917.0,15318200.0,17032594.0,17409255.0,289012.0,290673.0,290846.0,292845.0,291474.0,297273.0,249628.0,246304.0,244010.0,251832.0
19.5,13862177.0,11337858.0,9568997.0,9565373.0,10129577.0,10928364.0,10355272.0,10042470.0,9999406.0,10252165.0,11135722.0,12488758.0,19497230.0,15791433.0,15262365.0,16118175.0,17657753.0,18008010.0,288730.0,291371.0,293059.0,294679.0,291685.0,297284.0,252144.0,247440.0,248535.0,252350.0
20.0,14417554.0,12019838.0,10326636.0,10351068.0,10722093.0,11474726.0,10729224.0,10385264.0,10348018.0,10533972.0,11461274.0,12817927.0,20278862.0,16605346.0,16068199.0,16816984.0,18432590.0,18700533.0,293461.0,295650.0,294264.0,294958.0,297311.0,304038.0,253292.0,245537.0,247423.0,253282.0
20.5,14905364.0,12554057.0,10960188.0,11058396.0,11359386.0,12025900.0,10996658.0,10690094.0,10693897.0,10815009.0,11757398.0,13210029.0,20938683.0,17400977.0,16876641.0,17475305.0,19058028.0,19243720.0,290829.0,296905.0,294944.0,297404.0,294425.0,303465.0,251297.0,245333.0,245377.0,248100.0
21.0,15321066.0,13000456.0,11530279.0,11700339.0,11828628.0,12484066.0,11252434.0,11001094.0,10985466.0,11070699.0,12056156.0,13469917.0,21574676.0,18045925.0,17537898.0,18143515.0,19710567.0,19856843.0,291280.0,292377.0,297145.0,292316.0,296018.0,302807.0,255320.0,245637.0,248576.0,254066.0
21.5,15804537.0,13553540.0,12067162.0,12284745.0,12248807.0,12919887.0,11496667.0,11240029.0,11235031.0,11318400.0,12252883.0,13806779.0,22158374.0,18747926.0,18238771.0,18733129.0,20301088.0,20410177.0,294316.0,294068.0,296787.0,293380.0,296420.0,305168.0,255010.0,244422.0,249594.0,252578.0
22.0,16327870.0,13978997.0,12513457.0,12748650.0,12723628.0,13314616.0,11691949.0,11478816.0,11445843.0,11551686.0,12519468.0,14094462.0,22803169.0,19318684.0,18794585.0,19266817.0,20846570.0,20915069.0,297647.0,294892.0,294134.0,292637.0,292967.0,307027.0,249957.0,244104.0,251124.0,253973.0
22.5,16771691.0,14384680.0,12897709.0,13209086.0,13078297.0,13642069.0,11933412.0,11707342.0,11692132.0,11781196.0,12761392.0,14401462.0,23381288.0,19941241.0,19392332.0,19849741.0,21365826.0,21454584.0,294501.0,293600.0,294418.0,293378.0,298542.0,302508.0,252541.0,246145.0,251038.0,251104.0
23.0,17260964.0,14831425.0,13278621.0,13619935.0,13406687.0,14027400.0,12198856.0,11937324.0,11929765.0,11993585.0,13001186.0,14660508.0,24035932.0,20455800.0,19894174.0,20253955.0,21912403.0,21970279.0,292588.0,295465.0,298413.0,297623.0,297503.0,309398.0,254482.0,248310.0,245500.0,252642.0
23.5,17687495.0,15225756.0,13702798.0,14007695.0,13743427.0,14444705.0,12408676.0,12138370.0,12200042.0,12204749.0,13244893.0,14957788.0,24643762.0,21079636.0,20429118.0,20832277.0,22481437.0,22490639.0,292735.0,297315.0,295628.0,296408.0,296245.0,306821.0,255707.0,244910.0,245074.0,251408.0
24.0,18156286.0,15701601.0,14022564.0,14364528.0,14099366.0,14777712.0,12592992.0,12342889.0,12373805.0,12311897.0,13465877.0,15248294.0,25252553.0,21524655.0,20975265.0,21281589.0,23023213.0,22958627.0,294492.0,298582.0,298094.0,297133.0,298134.0,307738.0,254579.0,247910.0,244134.0,254020.0
24.5,18561603.0,15997776.0,14385336.0,14707953.0,14481968.0,15099384.0,12787663.0,12518130.0,12507936.0,12529745.0,13671158.0,15624361.0,25760390.0,22045406.0,21480410.0,21757379.0,23502651.0,23318936.0,292967.0,299118.0,298014.0,299566.0,298255.0,307099.0,253232.0,249874.0,246104.0,251065.0
25.0,19063461.0,16375387.0,14713179.0,15080682.0,14821227.0,15458462.0,13014069.0,12744852.0,12774106.0,12731707.0,13823585.0,15846972.0,26386533.0,22540089.0,22045607.0,22205478.0,23929844.0,23798759.0,295001.0,292552.0,298509.0,295909.0,298881.0,309781.0,254505.0,247182.0,247355.0,252844.0
25.5,19477681.0,16688585.0,15022750.0,15428557.0,15037603.0,15766576.0,13127159.0,12918047.0,12877014.0,12877297.0,14056834.0,16119842.0,26942631.0,23011044.0,22396418.0,22707640.0,24306896.0,24214020.0,295556.0,297434.0,297469.0,302559.0,301219.0,311978.0,255543.0,249025.0,250805.0,251677.0
26.0,19913863.0,17046128.0,15279326.0,15764109.0,15365092.0,16019195.0,13362734.0,13111309.0,13098785.0,13068016.0,14250843.0,16371698.0,27480571.0,23439556.0,22855575.0,23003317.0,24658075.0,24608641.0,295447.0,301349.0,296883.0,300963.0,298129.0,309659.0,252232.0,250421.0,248197.0,253494.0
26.5,20323929.0,17397823.0,15666114.0,16027405.0,15692418.0,16392993.0,13541696.0,13314379.0,13282456.0,13224953.0,14437279.0,16703485.0,27995161.0,23882367.0,23350274.0,23517599.0,25219180.0,25027026.0,294832.0,296970.0,299018.0,295103.0,298557.0,307972.0,251350.0,246604.0,245078.0,250586.0
27.0,20724582.0,17676066.0,15826453.0,16414854.0,15989366.0,16696063.0,13623039.0,13430706.0,13431279.0,13391874.0,14630748.0,16954345.0,28359458.0,24289684.0,23709992.0,23921439.0,25583447.0,25241382.0,290903.0,296943.0,295693.0,300020.0,297165.0,314077.0,257547.0,247589.0,244103.0,254303.0
27.5,21151408.0,18048590.0,16180320.0,16662832.0,16231757.0,16920299.0,13855159.0,13606157.0,13629444.0,13529057.0,14839074.0,17245248.0,29052010.0,24670585.0,24124790.0,24326086.0,25956338.0,25715263.0,295695.0,296117.0,293594.0,294737.0,295156.0,309750.0,251500.0,243571.0,244418.0,252215.0
28.0,21509741.0,18282596.0,16451910.0,16870775.0,16512616.0,17267588.0,14005507.0,13783824.0,13785299.0,13710065.0,15046890.0,17431646.0,29446193.0,25139735.0,24484394.0,24677122.0,26333245.0,26145973.0,292392.0,293226.0,297685.0,298206.0,299982.0,311228.0,255289.0,246446.0,249210.0,254111.0
28.5,21829956.0,18633808.0,16629093.0,17229059.0,16793801.0,17471191.0,14174304.0,13891425.0,13977263.0,13818607.0,15153731.0,17727079.0,29827503.0,25487187.0,24894568.0,25021162.0,26685169.0,26405538.0,295094.0,296728.0,299459.0,295108.0,298034.0,310194.0,256406.0,245996.0,244085.0,253101.0
29.0,22261098.0,18919217.0,16935221.0,17440146.0,17024680.0,17714793.0,14377968.0,14037399.0,14079765.0,13973529.0,15318632.0,17915568.0,30264730.0,25812191.0,25250185.0,25307602.0,27070632.0,26710836.0,291931.0,297216.0,294724.0,297585.0,296995.0,311533.0,257335.0,246268.0,245089.0,248381.0
29.5,22511043.0,19212712.0,17136427.0,17726780.0,17271684.0,17984225.0,14409377.0,14229263.0,14212429.0,14110576.0,15502553.0,18184910.0,30754465.0,26252857.0,25523639.0,25714495.0,27328385.0,27078893.0,293868.0,295406.0,295507.0,297167.0,301861.0,312633.0,254690.0,245282.0,245659.0,253905.0
