,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
42.0,30150303.0,24593045.0,21848233.0,22774393.0,21873048.0,22686570.0,17070037.0,16827358.0,16862327.0,16585362.0,18745056.0,22953019.0,39142623.0,32474774.0,31417882.0,31515606.0,33924284.0,33783414.0,304325.0,305855.0,305607.0,307810.0,310894.0,328137.0,262434.0,249704.0,250470.0,256029.0
42.5,30309386.0,24718776.0,21928854.0,22827072.0,21942545.0,22919352.0,17152864.0,16844521.0,16877041.0,16631641.0,18840719.0,23113888.0,39485089.0,32617536.0,31677748.0,31627129.0,34162592.0,33809985.0,304096.0,304399.0,308452.0,304180.0,311787.0,325402.0,263666.0,250904.0,247598.0,258659.0
43.0,30542166.0,24952351.0,22089434.0,23028296.0,22172729.0,23091851.0,17240849.0,16999585.0,16981164.0,16659202.0,18987715.0,23320508.0,39751587.0,32942401.0,32012258.0,31905224.0,34362237.0,34245122.0,299941.0,306462.0,307415.0,306352.0,307764.0,328093.0,264053.0,255168.0,246039.0,256834.0
43.5,30980670.0,25169858.0,22218615.0,23123846.0,22229459.0,23195635.0,17331084.0,17026952.0,17012912.0,16764069.0,19044374.0,23462481.0,39788646.0,33153298.0,32128573.0,32063161.0,34576542.0,34499774.0,305445.0,306829.0,306942.0,307307.0,309595.0,330598.0,262254.0,251612.0,251144.0,256242.0
44.0,31238030.0,25306550.0,22351494.0,23244497.0,22416450.0,23366470.0,17346521.0,17088900.0,17109624.0,16876090.0,19203409.0,23667734.0,40185564.0,33316239.0,32450579.0,32270393.0,34763040.0,34759856.0,303363.0,305638.0,310336.0,306244.0,315418.0,332837.0,268477.0,255135.0,251806.0,258745.0
44.5,31421175.0,25468375.0,22462813.0,23401182.0,22405658.0,23514063.0,17534800.0,17174606.0,17170773.0,16931483.0,19290968.0,23807081.0,40504767.0,33358462.0,32623896.0,32525269.0,34874189.0,34861954.0,301760.0,305694.0,308519.0,307654.0,312818.0,332807.0,265256.0,250995.0,253863.0,256189.0
45.0,31727035.0,25561887.0,22640494.0,23620237.0,22596627.0,23690123.0,17520720.0,17181073.0,17212140.0,16950775.0,19382977.0,23913530.0,40605368.0,33644555.0,32745683.0,32657292.0,35043768.0,35188750.0,308337.0,303489.0,308647.0,307827.0,317321.0,331405.0,263103.0,252281.0,249153.0,258281.0
45.5,31868877.0,25822209.0,22743646.0,23662811.0,22792017.0,23799140.0,17657134.0,17352530.0,17278074.0,17035532.0,19427913.0,24096700.0,40961970.0,33875565.0,32836479.0,32798524.0,35313121.0,35304993.0,306224.0,307366.0,308381.0,310281.0,310480.0,330765.0,266346.0,252436.0,251940.0,256494.0
46.0,32141709.0,25875973.0,22789649.0,23815906.0,22892402.0,23862558.0,17693750.0,17387105.0,17376321.0,17089555.0,19620609.0,24254743.0,41353228.0,34116129.0,33049640.0,32993082.0,35646296.0,35318180.0,304881.0,309935.0,308652.0,307575.0,315696.0,332985.0,266011.0,250714.0,252616.0,257935.0
46.5,32453155.0,26146986.0,22988972.0,23964422.0,23105880.0,23992229.0,17808905.0,17439884.0,17485437.0,17167573.0,19737077.0,24310955.0,41646922.0,34214306.0,33219192.0,33127035.0,35602855.0,35559616.0,302883.0,309135.0,310899.0,309126.0,314645.0,336852.0,267489.0,256357.0,249668.0,262108.0
47.0,32682376.0,26316328.0,23068932.0,24205207.0,23182854.0,24082176.0,17828932.0,17500384.0,17489534.0,17296833.0,19735970.0,24426475.0,41752056.0,34484310.0,33420365.0,33334745.0,35945172.0,35926672.0,303824.0,312191.0,310035.0,310893.0,311959.0,332008.0,265229.0,255460.0,250391.0,255640.0
47.5,33036480.0,26496452.0,23205107.0,24263691.0,23221904.0,24320828.0,17905177.0,17633167.0,17571585.0,17373266.0,19929015.0,24550265.0,42172838.0,34750547.0,33597170.0,33568282.0,36195701.0,36165616.0,308511.0,309407.0,310208.0,311101.0,317160.0,335347.0,268443.0,254275.0,254300.0,257970.0
48.0,33220961.0,26605767.0,23304278.0,24404819.0,23396763.0,24401226.0,17982094.0,17720913.0,17678547.0,17468675.0,19957823.0,24738851.0,42356459.0,34863300.0,33864823.0,33685904.0,36361067.0,36337091.0,304590.0,309295.0,311183.0,312784.0,315380.0,333786.0,264165.0,254520.0,250388.0,258471.0
