,B2,B3,B4,B8,B9,B10,B11,C2,C3,C4
26.0,1805224.0,1753728.0,1795791.0,2675976.0,2679931.0,2669151.0,214494.0,2718603.0,2628686.0,2709361.0
26.5,1858935.0,1804194.0,1852036.0,2743597.0,2760660.0,2758247.0,215559.0,2801588.0,2702482.0,2809473.0
27.0,1927107.0,1856164.0,1918889.0,2841424.0,2833456.0,2834612.0,215187.0,2960759.0,2796966.0,2949915.0
27.5,1983532.0,1904974.0,1971729.0,2929187.0,2925800.0,2908800.0,214786.0,3221855.0,2935717.0,3196774.0
28.0,2039577.0,1963676.0,2037530.0,3087752.0,3055179.0,3009943.0,217133.0,3646403.0,3188042.0,3635262.0
28.5,2101259.0,2040157.0,2132940.0,3387422.0,3275557.0,3215455.0,219167.0,4103888.0,3595206.0,4068463.0
29.0,2192736.0,2130792.0,2239502.0,3815569.0,3668420.0,3585177.0,214775.0,4484024.0,4033604.0,4451289.0
29.5,2300551.0,2226725.0,2389863.0,4235580.0,4106180.0,4024609.0,215690.0,4742115.0,4417854.0,4707079.0
30.0,2457007.0,2362481.0,2616642.0,4564195.0,4468548.0,4408435.0,218816.0,4923805.0,4653754.0,4882465.0
30.5,2686093.0,2578615.0,2865390.0,4785931.0,4756322.0,4736829.0,218835.0,5063720.0,4862720.0,5024067.0
31.0,2941740.0,2783824.0,3101507.0,4969455.0,4952813.0,4936519.0,217967.0,5220003.0,5018261.0,5154368.0
31.5,3162146.0,3001407.0,3279936.0,5108839.0,5123835.0,5106666.0,216591.0,5352818.0,5164614.0,5276970.0
32.0,3338302.0,3149578.0,3425030.0,5228853.0,5237828.0,5234688.0,216886.0,5477255.0,5270643.0,5393283.0
32.5,3447597.0,3267270.0,3519697.0,5319334.0,5336688.0,5342012.0,219378.0,5594159.0,5383365.0,5498264.0
33.0,3544613.0,3345819.0,3593112.0,5452480.0,5447953.0,5453464.0,219918.0,5695710.0,5483012.0,5623554.0
33.5,3620559.0,3402956.0,3649860.0,5548325.0,5570015.0,5528722.0,221326.0,5786175.0,5595927.0,5692016.0
34.0,3665086.0,3456473.0,3696194.0,5648917.0,5685837.0,5638674.0,221301.0,5910641.0,5696599.0,5777077.0
34.5,3714542.0,3525285.0,3758161.0,5742970.0,5772707.0,5762075.0,220687.0,5984021.0,5815654.0,5846963.0
35.0,3767170.0,3564746.0,3797390.0,5830870.0,5877272.0,5881179.0,222044.0,6092266.0,5888888.0,5932373.0
35.5,3807669.0,3624689.0,3858283.0,5945601.0,5964584.0,5952871.0,220615.0,6188396.0,5997113.0,6020557.0
36.0,3842533.0,3666320.0,3892229.0,6045594.0,6059734.0,6040292.0,219427.0,6243914.0,6082964.0,6093765.0
36.5,3898360.0,3700758.0,3917678.0,6126110.0,6130426.0,6121959.0,221560.0,6358388.0,6140262.0,6156905.0
37.0,3924750.0,3754586.0,3958542.0,6194012.0,6221966.0,6222976.0,220681.0,6451747.0,6239219.0,6208819.0
37.5,3970967.0,3804503.0,3995730.0,6301059.0,6292969.0,6313449.0,224634.0,6511852.0,6337037.0,6288925.0
38.0,4005214.0,3841841.0,4018470.0,6369632.0,6368218.0,6378164.0,224759.0,6584170.0,6404517.0,6355547.0
38.5,4035483.0,3877676.0,4072414.0,6459994.0,6461499.0,6447423.0,224750.0,6673600.0,6500617.0,6401839.0
39.0,4073088.0,3928313.0,4087068.0,6531680.0,6533324.0,6525198.0,224255.0,6759155.0,6559263.0,6486939.0
39.5,4103331.0,3970591.0,4099393.0,6620085.0,6596705.0,6644102.0,223060.0,6809128.0,6620551.0,6518344.0
40.0,4135730.0,4014247.0,4145635.0,6687207.0,6673322.0,6697981.0,222615.0,6872899.0,6703785.0,6569835.0
40.5,4172330.0,4049951.0,4200373.0,6783960.0,6750898.0,6731965.0,224928.0,6939821.0,6779416.0,6652360.0
41.0,4213026.0,4088730.0,4211260.0,6852000.0,6817513.0,6811299.0,225136.0,6989482.0,6840871.0,6696336.0
41.5,4236297.0,4123864.0,4212919.0,6901591.0,6879671.0,6884050.0,224279.0,7070973.0,6904098.0,6723579.0
42.0,4291673.0,4162451.0,4242035.0,6953225.0,6912335.0,6959337.0,224228.0,7130288.0,6961632.0,6788355.0
42.5,4315983.0,4177895.0,4268927.0,7034092.0,6995818.0,6999496.0,227201.0,7171334.0,7007005.0,6859619.0
43.0,4352384.0,4227198.0,4322650.0,7118429.0,7057209.0,7060426.0,225893.0,7243043.0,7105216.0,6901051.0
43.5,4392077.0,4270513.0,4345712.0,7189588.0,7142660.0,7158036.0,224476.0,7323692.0,7195144.0,6948025.0
44.0,4406046.0,4294653.0,4382490.0,7269931.0,7228002.0,7229435.0,227969.0,7384268.0,7231608.0,7030932.0
44.5,4427373.0,4321047.0,4403431.0,7303176.0,7288189.0,7304888.0,226107.0,7463099.0,7318081.0,7083654.0
45.0,4468275.0,4379323.0,4450765.0,7389620.0,7334458.0,7363643.0,230893.0,7515414.0,7382821.0,7169237.0
45.5,4480696.0,4399542.0,4484073.0,7446860.0,7404813.0,7395597.0,228622.0,7558714.0,7439357.0,7227715.0
46.0,4497097.0,4434823.0,4504425.0,7484902.0,7478054.0,7474122.0,227229.0,7620508.0,7489939.0,7272629.0
46.5,4528792.0,4453848.0,4542336.0,7535581.0,7541520.0,7514225.0,227910.0,7671163.0,7559875.0,7299201.0
47.0,4564656.0,4498197.0,4561049.0,7603787.0,7574707.0,7590335.0,228309.0,7731420.0,7620148.0,7349161.0
47.5,4585315.0,4555100.0,4583968.0,7661859.0,7631712.0,7643653.0,228846.0,7806480.0,7692069.0,7411341.0
48.0,4596049.0,4547948.0,4624861.0,7705061.0,7697812.0,7675605.0,231768.0,7822169.0,7714723.0,7478208.0
