,B8,B9,B10,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
18.5,960441.0,1001811.0,1186038.0,1827211.0,1493262.0,1358478.0,10927606.0,10926269.0,10927099.0,8447176.0,7638976.0,7944685.0,215689.0,225484.0,226301.0
19.0,990689.0,1026533.0,1275119.0,2023270.0,1508522.0,1372226.0,11088682.0,11084665.0,11082422.0,8705902.0,7822342.0,8059982.0,213837.0,228260.0,229029.0
19.5,1000438.0,1040845.0,1432423.0,2339038.0,1557814.0,1395547.0,11261430.0,11228719.0,11241685.0,9033078.0,7936723.0,8230833.0,211008.0,226713.0,229393.0
20.0,1017281.0,1081055.0,1605954.0,2686394.0,1608724.0,1411671.0,11401398.0,11405492.0,11394287.0,9423742.0,8144569.0,8367462.0,212134.0,226539.0,227856.0
20.5,1055116.0,1128940.0,1737764.0,2956247.0,1666776.0,1446375.0,11610510.0,11566758.0,11595137.0,9760721.0,8339681.0,8513124.0,212541.0,229676.0,231496.0
21.0,1081591.0,1172173.0,1807465.0,3133198.0,1736295.0,1462387.0,11757001.0,11719445.0,11748647.0,10088339.0,8493122.0,8724744.0,211932.0,227778.0,228536.0
21.5,1127562.0,1217336.0,1859347.0,3270311.0,1795678.0,1498095.0,11962092.0,11926183.0,11936430.0,10478368.0,8754076.0,8824622.0,214519.0,225349.0,232994.0
22.0,1168856.0,1255459.0,1903135.0,3380315.0,1871799.0,1523746.0,12146089.0,12129453.0,12108154.0,11074958.0,9067923.0,9018699.0,216882.0,228254.0,230616.0
22.5,1204201.0,1296510.0,1945457.0,3444048.0,1974108.0,1555417.0,12346422.0,12280847.0,12275272.0,12302006.0,9411579.0,9287593.0,215131.0,228387.0,230267.0
23.0,1243507.0,1349192.0,1991107.0,3520227.0,2112634.0,1615457.0,12501851.0,12492014.0,12530685.0,13717491.0,9682502.0,9625968.0,213382.0,230178.0,232270.0
23.5,1272532.0,1454296.0,2031660.0,3570436.0,2301019.0,1661713.0,12751745.0,12686654.0,12771355.0,14754825.0,9990590.0,9900987.0,213464.0,232134.0,231929.0
24.0,1330899.0,1618542.0,2061725.0,3631723.0,2524103.0,1716851.0,12986856.0,13019898.0,13127927.0,15348760.0,10229866.0,10190007.0,211004.0,230478.0,234142.0
24.5,1444607.0,1773854.0,2085684.0,3691597.0,2764727.0,1770704.0,13354951.0,13302417.0,13417900.0,15812709.0,10528186.0,10454428.0,213013.0,226476.0,234757.0
