,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
13.0,623183.0,615304.0,613917.0,616469.0,622273.0,622681.0,279631.0,616455.0,614497.0,603365.0,598322.0,598795.0,601428.0,272358.0,625905.0,607834.0,595684.0,595146.0,611932.0,628168.0,276361.0,632025.0,636863.0,637403.0,622017.0,618723.0,618209.0,276183.0
13.5,626914.0,621318.0,615165.0,623870.0,616951.0,619513.0,279925.0,604801.0,608176.0,600699.0,593773.0,598431.0,599050.0,268833.0,623966.0,606812.0,595748.0,604867.0,613986.0,613988.0,276444.0,620812.0,632124.0,635650.0,614900.0,619115.0,617720.0,274885.0
14.0,634121.0,624564.0,624404.0,632002.0,627546.0,624760.0,281321.0,617803.0,620582.0,610478.0,608067.0,608940.0,610859.0,269104.0,629459.0,623042.0,619931.0,624192.0,624421.0,629901.0,276968.0,632490.0,641030.0,642873.0,630380.0,624427.0,626833.0,277020.0
14.5,628029.0,622067.0,624408.0,625858.0,626288.0,626359.0,279191.0,617907.0,625976.0,610263.0,608115.0,608239.0,608419.0,267598.0,631320.0,626057.0,626007.0,629224.0,624881.0,628348.0,278911.0,632625.0,642584.0,640868.0,623042.0,621551.0,624298.0,273524.0
15.0,643014.0,636802.0,635529.0,637487.0,639292.0,637013.0,287221.0,632198.0,635049.0,623236.0,617885.0,619684.0,626173.0,275831.0,648939.0,638910.0,634480.0,635681.0,638520.0,640971.0,283629.0,648758.0,656649.0,660285.0,635760.0,633863.0,632901.0,274825.0
15.5,640199.0,630867.0,629000.0,636451.0,642346.0,635019.0,277604.0,631294.0,631671.0,617274.0,620889.0,614325.0,612848.0,273404.0,644120.0,628806.0,626979.0,627183.0,633758.0,633200.0,280314.0,638825.0,650110.0,654188.0,634189.0,635200.0,633486.0,277952.0
16.0,647248.0,640064.0,636599.0,641993.0,646161.0,646249.0,284763.0,633983.0,637402.0,625295.0,626798.0,631849.0,625827.0,276926.0,655390.0,639000.0,637979.0,634181.0,641574.0,645373.0,279643.0,645512.0,655763.0,656417.0,644753.0,634724.0,640652.0,277054.0
16.5,655830.0,643843.0,636350.0,639729.0,645275.0,643781.0,283316.0,626134.0,633736.0,626143.0,623155.0,623027.0,622028.0,272646.0,652101.0,636062.0,633646.0,635068.0,637427.0,641899.0,280318.0,644631.0,651243.0,654062.0,634571.0,638656.0,643343.0,277539.0
17.0,662488.0,646966.0,645235.0,649497.0,650573.0,645743.0,285400.0,638425.0,644347.0,635421.0,630495.0,629362.0,630630.0,278722.0,663478.0,652865.0,642991.0,643526.0,649260.0,646677.0,281651.0,651609.0,660100.0,663777.0,643706.0,645899.0,641210.0,280612.0
17.5,650323.0,648234.0,638632.0,646522.0,644068.0,644820.0,284306.0,634702.0,631779.0,625588.0,624390.0,621668.0,621951.0,273722.0,653191.0,647565.0,643867.0,642772.0,645460.0,641212.0,281907.0,640033.0,648597.0,653671.0,641074.0,640202.0,631538.0,276411.0
18.0,662292.0,652915.0,649789.0,645482.0,654970.0,648399.0,285620.0,640726.0,643178.0,631793.0,628634.0,624446.0,626605.0,272361.0,665941.0,651699.0,649041.0,647804.0,654326.0,653515.0,281232.0,646267.0,656897.0,660794.0,641431.0,642764.0,644241.0,272161.0
18.5,648296.0,641660.0,640960.0,644200.0,641178.0,644194.0,276625.0,637969.0,628808.0,626685.0,626156.0,613140.0,623733.0,267698.0,657276.0,647276.0,635678.0,637404.0,642179.0,642677.0,273176.0,641238.0,647256.0,648506.0,632921.0,631015.0,633240.0,275830.0
19.0,659726.0,653485.0,648501.0,651161.0,654999.0,652584.0,281422.0,636627.0,641685.0,634788.0,631753.0,627729.0,631179.0,272989.0,667395.0,657562.0,653591.0,653554.0,652267.0,654675.0,277468.0,643963.0,660013.0,659636.0,643031.0,642278.0,643078.0,278294.0
19.5,660138.0,646345.0,646683.0,655795.0,653619.0,649949.0,278567.0,638529.0,639490.0,630899.0,626651.0,624204.0,627453.0,271996.0,674093.0,655165.0,649872.0,651267.0,651034.0,648113.0,274276.0,644126.0,656165.0,656065.0,641195.0,640845.0,639603.0,275985.0
20.0,673434.0,668183.0,660985.0,668411.0,661928.0,663585.0,286644.0,656492.0,648286.0,648422.0,639458.0,639394.0,645329.0,277952.0,680297.0,671288.0,665006.0,663445.0,667634.0,669197.0,287579.0,657235.0,671555.0,676914.0,652724.0,653509.0,649295.0,278448.0
20.5,666332.0,658762.0,656962.0,662685.0,659043.0,656822.0,281997.0,645585.0,641306.0,637108.0,630631.0,629767.0,626232.0,271236.0,676671.0,665976.0,657887.0,659219.0,655690.0,658254.0,279191.0,651664.0,653689.0,660336.0,640078.0,642387.0,643630.0,274832.0
21.0,677176.0,667065.0,667673.0,667708.0,670706.0,668229.0,284629.0,654162.0,644554.0,643058.0,648552.0,637058.0,641665.0,274377.0,676887.0,668554.0,664598.0,663498.0,668062.0,665301.0,284067.0,658456.0,663330.0,667775.0,646015.0,652500.0,652874.0,275060.0
21.5,671956.0,668393.0,664410.0,660358.0,659352.0,663371.0,277849.0,643953.0,637192.0,634782.0,638766.0,633139.0,627315.0,273949.0,673537.0,666773.0,657669.0,652043.0,661332.0,658536.0,280040.0,646927.0,659545.0,662466.0,646366.0,650250.0,639572.0,278129.0
22.0,680670.0,668450.0,671890.0,676923.0,675650.0,665503.0,283742.0,656019.0,647792.0,650303.0,643434.0,637696.0,636836.0,271171.0,681260.0,677498.0,665005.0,669625.0,667290.0,667504.0,282097.0,657788.0,665762.0,667825.0,649605.0,649938.0,647463.0,278759.0
22.5,670133.0,665527.0,662273.0,668687.0,662785.0,662256.0,279445.0,648549.0,640999.0,644297.0,637396.0,629421.0,633449.0,272655.0,678860.0,667865.0,665614.0,662040.0,660472.0,658606.0,277743.0,645938.0,660708.0,655039.0,643917.0,647350.0,644371.0,273957.0
23.0,677760.0,679409.0,674865.0,680577.0,677365.0,673549.0,282251.0,658800.0,650517.0,652179.0,645782.0,638166.0,640804.0,274223.0,687853.0,680027.0,669835.0,674184.0,672075.0,668524.0,282552.0,657396.0,664103.0,671263.0,656850.0,651811.0,651053.0,283631.0
23.5,667987.0,668844.0,663640.0,674098.0,662484.0,659352.0,276899.0,646772.0,636448.0,638225.0,638664.0,634190.0,635831.0,269186.0,683039.0,667123.0,663417.0,661426.0,659067.0,658039.0,279420.0,643541.0,657047.0,660964.0,643663.0,646420.0,642479.0,272098.0
24.0,687043.0,687360.0,674731.0,683162.0,679940.0,673633.0,281304.0,662413.0,652750.0,653879.0,653643.0,640016.0,640448.0,275098.0,690097.0,683601.0,673340.0,671215.0,671714.0,677856.0,281766.0,658018.0,663971.0,665139.0,653456.0,655362.0,649190.0,280327.0
24.5,679296.0,680551.0,674523.0,678732.0,666584.0,667257.0,282515.0,647854.0,646333.0,651431.0,645887.0,634702.0,639680.0,274681.0,681883.0,674408.0,672008.0,664500.0,671079.0,669554.0,277131.0,655306.0,664573.0,660317.0,650943.0,653422.0,643830.0,277824.0
