,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
10.5,2779580.0,2757654.0,2657704.0,2686979.0,2618368.0,2578958.0,312237.0,6343809.0,6261757.0,6439658.0,6371877.0,6152585.0,6321164.0,294428.0,6326397.0,5701184.0,5653577.0,5802594.0,5754811.0,5778131.0,305128.0,306807.0,316081.0,305229.0,310147.0,307119.0,307631.0,290005.0
11.0,3100812.0,2961639.0,2937264.0,2871597.0,2829300.0,2794275.0,300494.0,6719502.0,6291525.0,6438825.0,6363157.0,6535331.0,6326000.0,291880.0,6926575.0,6343382.0,6182740.0,6352607.0,6322979.0,6370088.0,299810.0,309616.0,311653.0,308302.0,309740.0,308333.0,305776.0,288967.0
11.5,3458786.0,3258021.0,3298970.0,3205271.0,3109475.0,3078121.0,306106.0,7221093.0,6660620.0,6565184.0,6813015.0,6999518.0,6649044.0,292715.0,7339559.0,7111193.0,6914045.0,7039817.0,6973371.0,6848852.0,303173.0,314955.0,321488.0,310194.0,315880.0,315901.0,313216.0,284850.0
12.0,3736966.0,3526300.0,3502805.0,3448609.0,3381388.0,3425644.0,302873.0,7685348.0,6976151.0,6863941.0,7171441.0,7387637.0,6952782.0,287247.0,7743325.0,7647939.0,7448980.0,7538929.0,7351326.0,7144479.0,302587.0,317498.0,317333.0,311986.0,314321.0,314474.0,310945.0,283794.0
12.5,4221335.0,3837504.0,3856559.0,3771883.0,3778704.0,3824880.0,302254.0,8238888.0,7389985.0,7335156.0,7657821.0,7902259.0,7389030.0,287789.0,8297622.0,8136636.0,7855914.0,7962550.0,7707677.0,7571638.0,300385.0,323318.0,323328.0,314385.0,321879.0,315681.0,316840.0,289589.0
13.0,4754707.0,4148314.0,4120399.0,4066510.0,4145095.0,4208881.0,298942.0,8756755.0,7761648.0,7769781.0,8087656.0,8360892.0,7747821.0,289247.0,8911932.0,8279857.0,8092401.0,8146769.0,8026649.0,7962069.0,293990.0,322926.0,319767.0,313517.0,319981.0,317414.0,312368.0,281311.0
13.5,5423978.0,4537105.0,4518471.0,4472668.0,4533559.0,4747342.0,295937.0,9371467.0,8307113.0,8310103.0,8619851.0,8907536.0,8245573.0,283442.0,9711717.0,8600567.0,8420894.0,8484917.0,8441784.0,8510388.0,295149.0,323204.0,325683.0,319869.0,324608.0,321556.0,315822.0,279833.0
14.0,6145814.0,4916779.0,4873798.0,4850707.0,4980695.0,5336810.0,298401.0,9874559.0,8788839.0,8800194.0,9154074.0,9493380.0,8682057.0,286463.0,10662781.0,8891515.0,8737692.0,8837075.0,8812975.0,8967122.0,295121.0,326635.0,326811.0,317841.0,326051.0,317326.0,316801.0,275150.0
14.5,7045639.0,5458373.0,5307307.0,5323757.0,5598058.0,6070796.0,301208.0,10550754.0,9357043.0,9460915.0,9802876.0,10128981.0,9282060.0,287233.0,11848394.0,9419773.0,9234005.0,9336777.0,9361249.0,9464581.0,301898.0,332524.0,336199.0,325401.0,332560.0,331866.0,325303.0,279376.0
15.0,7963193.0,6065442.0,5779014.0,5837327.0,6274649.0,6860709.0,302011.0,11064154.0,9872893.0,10063232.0,10418270.0,10684037.0,9866414.0,287013.0,13111295.0,9956476.0,9684731.0,9825426.0,9892731.0,10095137.0,300160.0,333712.0,335228.0,330181.0,333313.0,332281.0,327726.0,281577.0
15.5,8912426.0,6763867.0,6372645.0,6449786.0,7014471.0,7710838.0,306227.0,11599476.0,10399180.0,10658317.0,10999754.0,11166136.0,10429016.0,291747.0,14443587.0,10449397.0,10214723.0,10406839.0,10526050.0,10893263.0,299312.0,337062.0,341027.0,332357.0,334462.0,338533.0,335235.0,283161.0
16.0,9669034.0,7549357.0,6950328.0,7064166.0,7763428.0,8445635.0,301346.0,11966074.0,10837758.0,11164728.0,11480429.0,11575242.0,10866293.0,288202.0,15601762.0,11071722.0,10790180.0,10947249.0,11294506.0,11779574.0,298870.0,336181.0,339679.0,331719.0,336269.0,336761.0,337194.0,283390.0
16.5,10562863.0,8504119.0,7796687.0,7966618.0,8725424.0,9373661.0,306887.0,12505877.0,11478899.0,11780077.0,12078452.0,12096849.0,11444986.0,291450.0,16950699.0,12026314.0,11639211.0,11836574.0,12334578.0,12924035.0,302665.0,344199.0,343296.0,333746.0,347366.0,338881.0,337304.0,290983.0
17.0,11216204.0,9335706.0,8631090.0,8762498.0,9471160.0,10031419.0,304727.0,12803067.0,11918125.0,12193440.0,12467842.0,12438543.0,11765127.0,293560.0,17982176.0,12955303.0,12574100.0,12805484.0,13369230.0,13943938.0,299076.0,338846.0,342654.0,333345.0,340007.0,338409.0,332224.0,284217.0
17.5,11993891.0,10265549.0,9566798.0,9688005.0,10338517.0,10802374.0,307302.0,13274457.0,12427219.0,12693305.0,12952025.0,12885761.0,12201568.0,292292.0,19043337.0,14102183.0,13723492.0,13949918.0,14559085.0,15174930.0,301148.0,340543.0,343905.0,335916.0,340202.0,341898.0,336580.0,288441.0
18.0,12549211.0,11011610.0,10371561.0,10470180.0,10966784.0,11329909.0,305485.0,13497271.0,12831027.0,13060630.0,13270123.0,13125565.0,12430265.0,288041.0,19855237.0,15105684.0,14698592.0,14912620.0,15501174.0,16112080.0,301549.0,341972.0,342733.0,335862.0,339612.0,336968.0,336041.0,283622.0
18.5,13210764.0,11833623.0,11223854.0,11323826.0,11720962.0,11995178.0,304844.0,13947588.0,13347261.0,13472393.0,13694673.0,13514915.0,12785186.0,289838.0,20809383.0,16162845.0,15748034.0,16017966.0,16516773.0,17130809.0,299869.0,343655.0,341005.0,333517.0,344271.0,336528.0,335979.0,284583.0
