,B8,B9,B10,C8,C9,C10,D8,D9,D10,F9
29.5,661117.0,697927.0,957211.0,572755.0,593952.0,675406.0,230593.0,235400.0,270532.0,238846.0
30.0,672094.0,721185.0,969921.0,590231.0,600244.0,699353.0,231569.0,237711.0,281114.0,241321.0
30.5,689850.0,772788.0,988004.0,598203.0,615364.0,750765.0,234722.0,243488.0,289939.0,238854.0
31.0,726189.0,850022.0,1010651.0,607650.0,628698.0,810527.0,238741.0,243356.0,300312.0,238706.0
31.5,788745.0,911226.0,1014143.0,623960.0,638960.0,864298.0,241425.0,250263.0,313698.0,237268.0
32.0,856876.0,942631.0,1014504.0,629701.0,650336.0,889654.0,244495.0,251389.0,322789.0,242040.0
32.5,905741.0,974725.0,1030535.0,642028.0,660522.0,909044.0,247100.0,251663.0,328683.0,239898.0
33.0,942509.0,978956.0,1040916.0,644294.0,673244.0,918541.0,251871.0,257623.0,331090.0,239861.0
33.5,967543.0,994605.0,1046625.0,649103.0,682377.0,929908.0,248690.0,256619.0,330431.0,240379.0
34.0,982234.0,1002423.0,1045728.0,663318.0,698273.0,943325.0,251983.0,259989.0,329617.0,240022.0
34.5,992091.0,1012623.0,1061777.0,686805.0,716198.0,949150.0,251511.0,261260.0,334516.0,242010.0
35.0,1005886.0,1018912.0,1076879.0,726268.0,755513.0,951144.0,252411.0,263524.0,337446.0,237506.0
35.5,1015155.0,1022879.0,1080351.0,775957.0,791571.0,955172.0,254068.0,262836.0,337354.0,238000.0
36.0,1024678.0,1029184.0,1082258.0,814598.0,826946.0,960363.0,254951.0,265270.0,338756.0,238444.0
36.5,1037061.0,1037898.0,1108023.0,839126.0,863826.0,974207.0,258786.0,270176.0,340399.0,239871.0
37.0,1038700.0,1038840.0,1104465.0,856115.0,882689.0,975062.0,263026.0,274217.0,338220.0,240155.0
37.5,1048550.0,1042010.0,1115826.0,866666.0,898704.0,975951.0,273610.0,286179.0,341190.0,238779.0
38.0,1060686.0,1066310.0,1131889.0,872542.0,907762.0,982372.0,282725.0,292791.0,339756.0,236739.0
38.5,1063952.0,1061993.0,1144219.0,872118.0,919501.0,992770.0,294828.0,301702.0,343053.0,237521.0
39.0,1074404.0,1059003.0,1152315.0,877763.0,926609.0,992215.0,301445.0,310578.0,343377.0,240149.0
39.5,1090087.0,1070809.0,1156047.0,874988.0,939198.0,1000208.0,309283.0,315141.0,345044.0,237133.0
40.0,1098743.0,1088500.0,1176305.0,878203.0,948939.0,1009734.0,315168.0,314072.0,344573.0,235691.0
40.5,1107106.0,1082084.0,1195698.0,879600.0,962122.0,1010896.0,311145.0,313608.0,350196.0,233143.0
41.0,1103836.0,1084261.0,1197673.0,885338.0,973278.0,1013158.0,311785.0,316788.0,350723.0,239382.0
41.5,1122134.0,1091189.0,1203666.0,885565.0,983623.0,1014090.0,311371.0,317179.0,350507.0,235130.0
42.0,1130876.0,1102071.0,1221215.0,884446.0,990668.0,1017454.0,312473.0,319335.0,353354.0,235716.0
42.5,1136445.0,1102255.0,1233507.0,888510.0,1000368.0,1035355.0,313872.0,321162.0,357484.0,236890.0
43.0,1141121.0,1098864.0,1240191.0,888094.0,1014971.0,1030007.0,311563.0,323071.0,354590.0,238520.0
43.5,1153573.0,1111476.0,1243994.0,892733.0,1022911.0,1034927.0,315307.0,326108.0,354222.0,237278.0
44.0,1155160.0,1121003.0,1262537.0,901415.0,1020242.0,1040605.0,311441.0,323788.0,358429.0,239817.0
44.5,1160791.0,1122442.0,1281382.0,893844.0,1028119.0,1044783.0,313680.0,330159.0,359388.0,238538.0
45.0,1170543.0,1117994.0,1292290.0,905519.0,1040639.0,1047248.0,316105.0,329146.0,357868.0,237602.0
45.5,1176186.0,1133402.0,1305773.0,903367.0,1046832.0,1057245.0,315657.0,329804.0,355167.0,238116.0
46.0,1179131.0,1128200.0,1324920.0,903581.0,1049678.0,1064788.0,319086.0,334473.0,364383.0,238038.0
46.5,1181872.0,1127818.0,1336886.0,909802.0,1055569.0,1058053.0,318839.0,334241.0,361959.0,239345.0
47.0,1191745.0,1134903.0,1346811.0,920298.0,1057449.0,1070761.0,318546.0,338932.0,365725.0,238346.0
47.5,1199064.0,1151765.0,1362418.0,919030.0,1065840.0,1081745.0,315614.0,343179.0,368019.0,237514.0
48.0,1197239.0,1155607.0,1380902.0,925283.0,1068467.0,1096722.0,320846.0,342676.0,365662.0,236809.0
