,B8,B9,B10,C8,C9,C10,D8,D9,D10,F9
36.0,0.772,0.783,0.769,0.735,0.751,0.757,0.762,0.752,0.768,0.099
36.5,0.769,0.782,0.769,0.731,0.747,0.754,0.761,0.747,0.765,0.098
37.0,0.772,0.782,0.771,0.727,0.742,0.753,0.756,0.744,0.763,0.1
37.5,0.773,0.78,0.77,0.721,0.737,0.751,0.749,0.735,0.762,0.099
38.0,0.773,0.778,0.774,0.72,0.736,0.751,0.745,0.732,0.76,0.1
38.5,0.773,0.779,0.777,0.715,0.735,0.748,0.74,0.728,0.758,0.099
39.0,0.775,0.777,0.778,0.712,0.733,0.748,0.735,0.722,0.757,0.1
39.5,0.774,0.776,0.779,0.708,0.729,0.744,0.732,0.717,0.755,0.099
40.0,0.774,0.774,0.782,0.706,0.728,0.743,0.725,0.712,0.753,0.098
40.5,0.774,0.774,0.785,0.7,0.727,0.742,0.721,0.708,0.752,0.1
41.0,0.774,0.773,0.786,0.697,0.727,0.741,0.717,0.704,0.751,0.099
41.5,0.774,0.77,0.792,0.696,0.728,0.741,0.713,0.702,0.751,0.099
42.0,0.775,0.769,0.796,0.692,0.728,0.74,0.71,0.699,0.751,0.099
42.5,0.774,0.77,0.801,0.691,0.726,0.74,0.705,0.697,0.75,0.099
43.0,0.775,0.768,0.802,0.689,0.729,0.739,0.703,0.695,0.747,0.099
43.5,0.776,0.766,0.809,0.686,0.729,0.739,0.7,0.692,0.748,0.099
44.0,0.775,0.767,0.812,0.683,0.731,0.737,0.697,0.691,0.747,0.1
44.5,0.775,0.766,0.817,0.682,0.729,0.737,0.695,0.689,0.745,0.098
45.0,0.778,0.767,0.822,0.681,0.731,0.737,0.693,0.689,0.746,0.1
45.5,0.775,0.764,0.829,0.679,0.731,0.735,0.687,0.688,0.745,0.099
46.0,0.774,0.763,0.835,0.677,0.731,0.736,0.685,0.688,0.743,0.098
46.5,0.777,0.765,0.84,0.677,0.734,0.736,0.681,0.689,0.744,0.098
47.0,0.776,0.763,0.846,0.677,0.736,0.736,0.68,0.691,0.743,0.099
47.5,0.776,0.762,0.855,0.675,0.736,0.734,0.677,0.691,0.742,0.099
48.0,0.776,0.765,0.862,0.677,0.738,0.735,0.676,0.692,0.742,0.1
