,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
28.0,2598453.0,1924238.0,1992224.0,1876692.0,1876016.0,1799427.0,3750807.0,3950066.0,4073116.0,4427936.0,4113950.0,4095151.0,4473936.0,3911837.0,3868770.0,3687292.0,4047831.0,3781085.0,4467988.0,4279712.0,4132378.0,6806634.0,4139448.0,4713928.0,6816351.0,5870957.0,5219954.0,5185054.0,4993039.0,4918103.0,3743456.0,3910417.0,3947653.0,3650426.0,3701118.0,3993536.0,286048.0,286634.0,282974.0,277344.0,285837.0,290595.0
28.5,2978431.0,1977645.0,2040550.0,1934966.0,1932411.0,1863185.0,3837935.0,4130368.0,4206954.0,4558804.0,4232128.0,4249824.0,4757784.0,4026901.0,3915736.0,3776846.0,4159642.0,3838937.0,4674340.0,4390631.0,4231076.0,6906324.0,4222265.0,4853347.0,7053501.0,6642456.0,5739926.0,5831282.0,5608179.0,5540097.0,3838633.0,4024830.0,4045560.0,3774027.0,3830168.0,4108587.0,280818.0,285844.0,280340.0,282147.0,284067.0,293479.0
29.0,3285473.0,2071505.0,2111473.0,1994750.0,1995540.0,1920267.0,4034335.0,4520974.0,4395434.0,4770415.0,4419672.0,4495440.0,5563291.0,4210996.0,4048522.0,3883441.0,4281399.0,3969632.0,5078494.0,4552012.0,4380191.0,7024144.0,4362706.0,5178776.0,7197237.0,7329019.0,6559687.0,6504856.0,6274357.0,6250854.0,4008838.0,4171014.0,4218175.0,3884921.0,3954097.0,4593439.0,281353.0,282998.0,277098.0,277423.0,281220.0,294852.0
29.5,3470349.0,2231884.0,2195004.0,2073082.0,2073645.0,1985724.0,4328033.0,5032247.0,4676749.0,5130626.0,4733825.0,5057880.0,6350576.0,4355293.0,4153839.0,4031852.0,4440509.0,4107183.0,5670662.0,4804489.0,4551398.0,7122193.0,4492887.0,5834166.0,7371558.0,7707346.0,7162067.0,6971634.0,6783036.0,6690787.0,4231663.0,4492553.0,4532770.0,4137660.0,4145708.0,5345911.0,287122.0,281702.0,279921.0,278512.0,282405.0,292790.0
30.0,3611741.0,2501794.0,2392138.0,2256170.0,2227202.0,2140392.0,4875882.0,5736684.0,5190460.0,5724547.0,5272241.0,5841114.0,6919973.0,4564480.0,4354891.0,4224163.0,4733723.0,4355899.0,6336735.0,5364248.0,4969837.0,7275322.0,4682236.0,6728341.0,7606501.0,8052498.0,7676328.0,7372552.0,7233739.0,7115998.0,4783419.0,5165060.0,5157554.0,4721775.0,4551445.0,6111078.0,288901.0,286155.0,280391.0,280706.0,284109.0,296327.0
30.5,3712495.0,2748986.0,2603511.0,2470192.0,2450055.0,2350028.0,5386882.0,6411101.0,5724699.0,6246541.0,5832657.0,6395885.0,7220151.0,4861934.0,4537297.0,4444398.0,5187651.0,4770157.0,6792757.0,6000155.0,5540806.0,7341271.0,4901143.0,7368138.0,7693357.0,8181506.0,7926052.0,7471975.0,7410385.0,7253378.0,5392183.0,5756214.0,5720749.0,5318558.0,5165958.0,6492570.0,289247.0,284489.0,281607.0,279921.0,288002.0,294103.0
31.0,3819382.0,2936335.0,2837226.0,2718246.0,2699209.0,2627379.0,5867545.0,6931448.0,6226515.0,6729880.0,6341442.0,6794333.0,7453609.0,5428323.0,4978299.0,4880965.0,5812259.0,5330607.0,7199368.0,6624876.0,6207431.0,7447870.0,5391878.0,7805036.0,7939198.0,8409752.0,8100821.0,7645051.0,7563013.0,7422252.0,5900875.0,6230756.0,6221300.0,5879234.0,5832531.0,6751432.0,292214.0,284654.0,286365.0,283540.0,289227.0,296261.0
31.5,3933006.0,3058652.0,3047044.0,2929966.0,2879924.0,2828945.0,6189349.0,7437047.0,6552001.0,7082403.0,6682896.0,7014829.0,7660412.0,6079095.0,5563099.0,5488795.0,6326286.0,5889902.0,7422764.0,7033421.0,6709674.0,7545748.0,6043600.0,8073816.0,8013541.0,8481637.0,8228320.0,7790118.0,7661562.0,7554989.0,6226106.0,6504166.0,6509353.0,6191087.0,6247465.0,6888601.0,289127.0,287146.0,282361.0,279405.0,286435.0,299676.0
32.0,4038282.0,3152379.0,3178806.0,3088999.0,3040067.0,2975694.0,6441949.0,7711851.0,6817975.0,7300601.0,6953167.0,7229867.0,7832127.0,6541824.0,6154649.0,6055935.0,6771574.0,6298442.0,7607589.0,7311232.0,7076247.0,7604461.0,6728869.0,8298097.0,8190509.0,8662042.0,8422580.0,7896604.0,7822413.0,7680640.0,6459611.0,6722751.0,6727837.0,6376794.0,6495129.0,7031647.0,291911.0,289533.0,282873.0,280635.0,286373.0,299013.0
32.5,4091374.0,3166594.0,3228899.0,3161164.0,3105287.0,3055528.0,6510619.0,7828630.0,6902602.0,7442427.0,7045603.0,7277163.0,7937162.0,6851175.0,6538123.0,6363782.0,6993105.0,6556896.0,7711412.0,7458260.0,7260346.0,7615332.0,7147946.0,8350304.0,8258836.0,8705502.0,8428429.0,7873934.0,7855275.0,7763843.0,6600720.0,6785640.0,6797118.0,6476928.0,6649931.0,7108797.0,291690.0,287487.0,282000.0,283774.0,286247.0,293992.0
33.0,4182730.0,3206440.0,3292468.0,3215625.0,3152811.0,3109293.0,6623732.0,7962330.0,7033452.0,7497043.0,7160384.0,7378821.0,8021940.0,7016633.0,6842027.0,6601441.0,7126852.0,6743993.0,7729359.0,7554629.0,7382652.0,7657793.0,7449266.0,8429493.0,8346271.0,8752338.0,8480113.0,7956638.0,7936775.0,7844284.0,6677671.0,6881249.0,6927377.0,6517156.0,6742538.0,7172936.0,289618.0,290711.0,280481.0,279363.0,285149.0,300345.0
33.5,4244236.0,3232160.0,3301601.0,3276472.0,3193266.0,3130094.0,6658996.0,8029512.0,7080357.0,7527431.0,7229662.0,7434146.0,8159584.0,7148994.0,6985672.0,6750022.0,7271451.0,6836063.0,7766227.0,7595564.0,7458287.0,7691237.0,7622599.0,8505287.0,8483586.0,8795319.0,8512888.0,7982678.0,7922055.0,7829074.0,6716362.0,6923160.0,6947992.0,6569760.0,6756409.0,7232250.0,289134.0,286640.0,281123.0,280876.0,288060.0,294803.0
34.0,4348540.0,3282438.0,3371917.0,3309001.0,3258138.0,3197315.0,6796690.0,8155052.0,7173809.0,7700564.0,7332583.0,7599034.0,8311717.0,7301037.0,7157501.0,6937220.0,7382401.0,6978785.0,7923635.0,7728055.0,7632575.0,7756993.0,7812865.0,8661592.0,8594569.0,8925145.0,8638312.0,8100315.0,8047895.0,7984687.0,6808738.0,7035173.0,7073058.0,6703282.0,6923158.0,7327608.0,290875.0,288840.0,282568.0,277576.0,286008.0,300343.0
34.5,4408595.0,3318364.0,3412851.0,3368758.0,3263052.0,3225805.0,6861278.0,8228434.0,7261269.0,7785726.0,7436456.0,7663348.0,8496874.0,7391177.0,7241559.0,7027585.0,7456942.0,7052044.0,7954723.0,7802844.0,7699595.0,7799388.0,7914227.0,8759761.0,8670295.0,9036221.0,8739248.0,8178254.0,8139809.0,8053821.0,6890769.0,7094660.0,7102118.0,6801732.0,7021366.0,7436228.0,286329.0,290324.0,282201.0,281198.0,284084.0,299510.0
35.0,4549633.0,3400666.0,3484018.0,3434951.0,3337147.0,3291173.0,6986702.0,8350950.0,7410047.0,7874780.0,7586057.0,7916289.0,8673158.0,7550439.0,7407769.0,7183650.0,7624116.0,7175218.0,8169557.0,7955222.0,7839055.0,7945887.0,8096602.0,8935799.0,8895312.0,9170521.0,8900194.0,8254391.0,8242919.0,8178056.0,6998838.0,7239658.0,7262881.0,6877864.0,7109849.0,7598180.0,292263.0,286761.0,285583.0,282059.0,288268.0,299864.0
35.5,4653335.0,3421856.0,3522091.0,3471680.0,3374207.0,3323294.0,7060506.0,8464863.0,7474959.0,7971247.0,7614725.0,7970956.0,8826288.0,7611776.0,7511801.0,7229876.0,7716108.0,7271916.0,8179656.0,8002677.0,7888998.0,8003159.0,8164334.0,9022904.0,9013408.0,9318539.0,8995419.0,8321234.0,8339354.0,8262348.0,7044875.0,7288593.0,7295641.0,6969675.0,7204997.0,7683295.0,291656.0,289533.0,283710.0,281912.0,290393.0,300952.0
36.0,4728734.0,3495293.0,3581967.0,3517905.0,3422426.0,3386576.0,7177179.0,8624454.0,7608870.0,8070046.0,7754876.0,8154382.0,9038239.0,7776230.0,7614100.0,7380425.0,7852198.0,7378809.0,8305435.0,8182896.0,8048689.0,8119457.0,8350634.0,9237394.0,9155043.0,9422933.0,9149557.0,8435832.0,8466176.0,8417820.0,7176394.0,7428894.0,7449933.0,7099331.0,7347968.0,7831373.0,297803.0,295220.0,285240.0,290201.0,287442.0,308283.0
36.5,4782476.0,3512971.0,3600439.0,3544311.0,3434538.0,3401784.0,7210143.0,8620438.0,7627061.0,8095006.0,7831741.0,8216179.0,9140355.0,7784662.0,7658284.0,7423310.0,7875152.0,7442022.0,8349145.0,8184445.0,8070475.0,8133756.0,8381323.0,9257411.0,9272407.0,9458463.0,9133000.0,8504196.0,8507899.0,8470969.0,7228976.0,7473055.0,7470400.0,7146835.0,7398753.0,7858795.0,295997.0,291562.0,286789.0,283895.0,290848.0,306015.0
37.0,4860873.0,3546848.0,3631938.0,3613690.0,3486400.0,3444194.0,7279633.0,8782508.0,7730488.0,8196812.0,7880515.0,8374421.0,9342171.0,7881173.0,7751336.0,7521840.0,7997197.0,7550910.0,8413063.0,8254857.0,8153264.0,8213715.0,8476786.0,9402596.0,9336195.0,9621873.0,9317712.0,8549643.0,8593724.0,8546940.0,7316646.0,7532093.0,7563873.0,7256035.0,7474469.0,7982072.0,298967.0,294995.0,290666.0,281161.0,293330.0,305092.0
