,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11.5,283992.0,291433.0,286337.0,560045.0,563690.0,562904.0,563420.0,568075.0,556438.0,552481.0,550578.0,549146.0,551816.0,557322.0,561436.0,591552.0,595997.0,598149.0,587374.0,593221.0,585102.0,579413.0,570496.0,578243.0,585830.0,588846.0,592023.0
12.0,286182.0,295028.0,292381.0,567366.0,571117.0,576093.0,574007.0,575035.0,567732.0,554848.0,553412.0,541833.0,561184.0,562631.0,576429.0,601155.0,611598.0,611817.0,602256.0,602957.0,597802.0,587118.0,583679.0,588021.0,599628.0,597301.0,599113.0
12.5,286255.0,288559.0,286755.0,568367.0,561587.0,566510.0,558492.0,565767.0,562774.0,564027.0,552213.0,548273.0,552138.0,549953.0,577338.0,600913.0,610295.0,606317.0,604366.0,599699.0,594294.0,582641.0,576073.0,580639.0,590497.0,591722.0,598106.0
13.0,288411.0,287248.0,285118.0,568621.0,557693.0,571934.0,557934.0,563791.0,567531.0,582970.0,572181.0,556335.0,562707.0,554003.0,598232.0,606366.0,623225.0,616292.0,612975.0,609284.0,601773.0,592407.0,583092.0,587054.0,604568.0,604217.0,601297.0
13.5,284731.0,285925.0,285673.0,563746.0,557461.0,565740.0,555544.0,568552.0,571463.0,586595.0,579892.0,566193.0,574525.0,545558.0,591000.0,605452.0,620306.0,616348.0,607542.0,610955.0,596690.0,588808.0,578095.0,584353.0,601185.0,594380.0,598673.0
14.0,287408.0,288462.0,285435.0,570424.0,564235.0,574622.0,572030.0,576505.0,587391.0,591912.0,592158.0,580947.0,593485.0,569122.0,603917.0,615641.0,629207.0,621388.0,614564.0,619929.0,609386.0,598411.0,593182.0,588909.0,606504.0,608643.0,602469.0
14.5,285740.0,284377.0,287559.0,573748.0,563641.0,569861.0,571472.0,576130.0,597881.0,591270.0,590033.0,577861.0,590234.0,575411.0,590902.0,613892.0,621287.0,621777.0,614678.0,612480.0,604129.0,589841.0,581148.0,585081.0,597764.0,596649.0,601238.0
15.0,286074.0,290081.0,289192.0,605289.0,578584.0,587930.0,584561.0,605146.0,613945.0,599476.0,591400.0,589641.0,601189.0,593679.0,603566.0,628355.0,633686.0,630495.0,628357.0,623371.0,614341.0,592256.0,589748.0,599797.0,610325.0,605658.0,610337.0
15.5,284448.0,287903.0,282722.0,609345.0,572286.0,582390.0,592707.0,611986.0,607663.0,594814.0,592169.0,589939.0,590936.0,594494.0,599986.0,618749.0,630208.0,625177.0,622967.0,622821.0,610718.0,595812.0,587730.0,599047.0,607477.0,602510.0,602811.0
16.0,286578.0,291474.0,289145.0,623886.0,590953.0,603674.0,615313.0,630467.0,614379.0,604847.0,601132.0,594667.0,607257.0,599776.0,609242.0,628938.0,644206.0,638465.0,628827.0,631429.0,624743.0,604611.0,599529.0,599903.0,614964.0,617941.0,620468.0
16.5,288971.0,288931.0,286005.0,618866.0,594362.0,607211.0,613475.0,624189.0,616186.0,603291.0,597576.0,592078.0,601095.0,601328.0,599254.0,627045.0,635581.0,632127.0,621846.0,632297.0,624513.0,604130.0,595062.0,597967.0,607807.0,604498.0,608721.0
17.0,287114.0,291506.0,285854.0,628370.0,607586.0,631332.0,628815.0,635029.0,621225.0,608297.0,602715.0,603607.0,607111.0,607569.0,615119.0,633836.0,636133.0,639036.0,637988.0,641534.0,628961.0,607613.0,597925.0,607573.0,616106.0,610625.0,620651.0
