,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5.0,1351325.0,845498.0,386867.0,893350.0,1644599.0,1922351.0,615185.0,593076.0,531467.0,396129.0,487293.0,968640.0,974065.0,496729.0,436793.0,4613980.0,1777824.0,2484882.0,1445779.0,915667.0,960565.0,422803.0,507451.0,961874.0,452231.0,378885.0,340937.0,12912812.0,15241991.0,15444176.0,12762055.0,12626846.0,14647844.0,344787.0,398293.0,488627.0,1152251.0,490177.0,364487.0,6689671.0,25731416.0,23851203.0,23650434.0,24173995.0,12738954.0,367625.0,498318.0,916819.0,411473.0,395890.0,399755.0,335550.0,399999.0,4528938.0,406532.0,323528.0,345495.0,399526.0,531603.0,404068.0,8259061.0,7974528.0,8426978.0,7941818.0,7953799.0,8123617.0,6431361.0,6472032.0,6615766.0,6598516.0,6516343.0,6617171.0,2983698.0,3072171.0,3191974.0,2915962.0,2911400.0,2920856.0,266760.0,267147.0,266736.0,266046.0,252000.0,231546.0,277275.0,268529.0,276892.0,401457.0,398383.0,405649.0,403992.0,402022.0,373238.0,402580.0,361167.0,356040.0
5.5,1340986.0,860171.0,383729.0,901787.0,1661051.0,1900372.0,622578.0,595779.0,529213.0,396581.0,482796.0,975925.0,989820.0,494207.0,438030.0,4625909.0,1774692.0,2539938.0,1470521.0,895451.0,957920.0,429298.0,502009.0,978020.0,456831.0,379419.0,348277.0,16536226.0,15188120.0,15429375.0,12705299.0,12671400.0,14885323.0,347753.0,399496.0,494115.0,1125984.0,489090.0,360737.0,6658209.0,25789494.0,23892540.0,23723012.0,24376079.0,12718885.0,361055.0,490845.0,903165.0,410140.0,396398.0,402096.0,323512.0,404142.0,4509288.0,405059.0,325098.0,349179.0,397485.0,518573.0,400455.0,9371362.0,8968239.0,9733048.0,8998122.0,9044219.0,9246221.0,7432154.0,7471453.0,7523764.0,7535123.0,7384768.0,7572691.0,3397646.0,3487113.0,3525526.0,3276416.0,3273000.0,3304353.0,261700.0,260315.0,271532.0,265302.0,253637.0,232571.0,277385.0,270548.0,281823.0,403518.0,396687.0,404603.0,398926.0,403996.0,370678.0,401478.0,365764.0,355154.0
6.0,1361252.0,871226.0,386033.0,896249.0,1626330.0,1888069.0,617472.0,590892.0,531405.0,397405.0,493055.0,997156.0,973216.0,496437.0,436439.0,4631732.0,1819172.0,2415224.0,1470711.0,897229.0,958863.0,428053.0,506414.0,987262.0,454164.0,380426.0,345125.0,11946635.0,15205455.0,15375813.0,12647525.0,12633636.0,15094170.0,346308.0,402739.0,495118.0,1094384.0,483594.0,363087.0,6631186.0,25896442.0,23862269.0,23603608.0,24571538.0,12677269.0,367646.0,486827.0,883424.0,409502.0,399365.0,400305.0,328074.0,404275.0,4467050.0,408534.0,322875.0,345139.0,395574.0,512513.0,396010.0,10857894.0,10369971.0,11264051.0,10278743.0,10336193.0,10492384.0,8549783.0,8520722.0,8687848.0,8693274.0,8586065.0,8696372.0,3929452.0,3998667.0,4030908.0,3725733.0,3664058.0,3745467.0,258243.0,263149.0,263070.0,264064.0,249285.0,228503.0,277357.0,272190.0,278863.0,402014.0,399764.0,406744.0,403232.0,401069.0,374784.0,405019.0,366519.0,357261.0
6.5,1347659.0,872873.0,384526.0,894560.0,1625342.0,1906965.0,622797.0,592982.0,532437.0,397350.0,494821.0,985591.0,970123.0,495924.0,443563.0,4622635.0,1892873.0,2256781.0,1477337.0,904742.0,955419.0,425723.0,508158.0,983101.0,454859.0,377934.0,347099.0,11316431.0,15180790.0,15365306.0,12703460.0,12617597.0,15139708.0,345902.0,402029.0,488992.0,1042325.0,479470.0,357835.0,6658498.0,26198274.0,23821382.0,23628980.0,24636852.0,12639247.0,361089.0,486339.0,887333.0,410200.0,396673.0,403414.0,323726.0,401836.0,4467871.0,407190.0,323040.0,344484.0,393260.0,514155.0,399320.0,12650833.0,12021336.0,13014319.0,11810205.0,11978635.0,12143962.0,9999098.0,9890055.0,10291675.0,10134493.0,9964066.0,10144713.0,4711246.0,4651390.0,4733025.0,4366448.0,4291090.0,4292295.0,259214.0,261678.0,264194.0,260801.0,247856.0,229592.0,277835.0,271773.0,278346.0,401990.0,397845.0,408656.0,405566.0,404853.0,375553.0,403527.0,363027.0,356019.0
7.0,1369797.0,877348.0,388841.0,888345.0,1637894.0,1912752.0,619840.0,600116.0,536875.0,397365.0,496856.0,978008.0,985093.0,495482.0,443236.0,4615803.0,1912356.0,2231474.0,1496934.0,904744.0,959220.0,426045.0,507588.0,977550.0,453037.0,380862.0,342461.0,11632900.0,15190984.0,15393021.0,12591238.0,12596963.0,15071345.0,348733.0,400972.0,492234.0,978078.0,475927.0,361021.0,6660977.0,26254757.0,23877854.0,23791424.0,24605089.0,12619892.0,358851.0,480190.0,871669.0,406385.0,400801.0,402639.0,325392.0,397390.0,4469410.0,407252.0,322080.0,342407.0,387568.0,504251.0,399588.0,14921935.0,14153959.0,15259237.0,13836465.0,13859012.0,14071930.0,11959704.0,11624617.0,12006874.0,12022776.0,11827224.0,11921140.0,5504172.0,5474875.0,5630127.0,5269403.0,5038302.0,5024674.0,257258.0,261608.0,262284.0,265319.0,248189.0,228768.0,275774.0,271954.0,278651.0,395225.0,396352.0,404754.0,399960.0,409390.0,368403.0,403101.0,364284.0,352684.0
7.5,1365598.0,880350.0,388369.0,895780.0,1631585.0,1932415.0,621513.0,597346.0,532451.0,395807.0,488738.0,983878.0,988051.0,496908.0,441551.0,4603162.0,1912286.0,2154022.0,1513363.0,903848.0,957110.0,424665.0,510586.0,980710.0,450061.0,380718.0,340188.0,17994371.0,15138119.0,15356490.0,12603077.0,12643310.0,14930118.0,347126.0,398698.0,481937.0,961900.0,478377.0,355107.0,6662583.0,26286107.0,23750160.0,23872090.0,24672460.0,12606688.0,358750.0,485943.0,873070.0,408275.0,399243.0,397710.0,325955.0,400050.0,4464959.0,401447.0,322487.0,343498.0,385361.0,491656.0,399433.0,17422216.0,16641402.0,17835161.0,16236897.0,16406961.0,16435805.0,14300336.0,13759554.0,14133304.0,13967405.0,14086859.0,14008526.0,6356790.0,6467466.0,6516766.0,6059423.0,5914729.0,5773387.0,254486.0,257024.0,259378.0,260968.0,242372.0,225724.0,276865.0,273346.0,279480.0,399658.0,400580.0,402358.0,405051.0,404539.0,368262.0,404108.0,363341.0,355632.0
8.0,1358060.0,889863.0,389079.0,896340.0,1664947.0,1902888.0,622077.0,598495.0,532600.0,399913.0,494567.0,974083.0,986617.0,498090.0,442294.0,4597136.0,1886886.0,2071764.0,1519706.0,900738.0,954107.0,429600.0,503182.0,981910.0,451555.0,375140.0,342880.0,11761081.0,15063661.0,15330336.0,12658312.0,12658088.0,15058741.0,348325.0,398800.0,486475.0,950702.0,473810.0,356356.0,6638713.0,26211499.0,23800630.0,23959684.0,24765989.0,12559689.0,360872.0,479863.0,864039.0,411007.0,400733.0,399830.0,320422.0,401859.0,4425388.0,399348.0,324050.0,343588.0,383299.0,481130.0,402500.0,20336640.0,19522145.0,20694778.0,18832088.0,19016916.0,18889160.0,16805167.0,15945350.0,16508270.0,16362151.0,16273149.0,16721768.0,7471968.0,7623408.0,7737103.0,6992386.0,6903694.0,6666993.0,256557.0,254199.0,259796.0,257927.0,246355.0,222714.0,277241.0,273597.0,281732.0,398158.0,393235.0,402163.0,404413.0,405614.0,374351.0,404248.0,364183.0,357918.0
8.5,1366210.0,900883.0,390122.0,895349.0,1622293.0,1893654.0,620930.0,595815.0,533069.0,397467.0,495859.0,988474.0,980729.0,498532.0,446118.0,4605191.0,1905076.0,2061142.0,1535443.0,896915.0,958398.0,426093.0,505991.0,990450.0,457795.0,379546.0,341910.0,13315171.0,15084926.0,15349788.0,12618147.0,12626492.0,15187828.0,345631.0,398165.0,486024.0,959929.0,476164.0,357528.0,6619013.0,26295905.0,23818679.0,23935259.0,25027286.0,12583427.0,361622.0,485854.0,859517.0,407133.0,399301.0,402538.0,315117.0,398843.0,4428850.0,401253.0,322720.0,343534.0,385857.0,489881.0,394009.0,24239655.0,22867226.0,24060613.0,22355748.0,22211414.0,22101949.0,19632170.0,18670094.0,19012658.0,18975578.0,19050548.0,19550725.0,8834043.0,8766171.0,8784032.0,7965104.0,7962837.0,7576816.0,255707.0,255819.0,254356.0,256637.0,244384.0,219779.0,277528.0,274656.0,278543.0,405003.0,395356.0,405684.0,402194.0,401958.0,371974.0,404460.0,369107.0,351886.0
9.0,1370652.0,905100.0,392261.0,896585.0,1624136.0,1892918.0,629741.0,599312.0,532139.0,404329.0,496306.0,994703.0,978701.0,499438.0,446939.0,4603614.0,1944818.0,2188849.0,1549453.0,893809.0,956431.0,426583.0,509967.0,996778.0,450511.0,381927.0,342192.0,13406091.0,15065244.0,15263759.0,12560159.0,12756279.0,15348235.0,348572.0,395013.0,483894.0,974766.0,472580.0,354029.0,6626970.0,26512802.0,23961518.0,23908267.0,25046706.0,12552395.0,361828.0,481072.0,862279.0,409166.0,395154.0,404407.0,317933.0,396298.0,4400583.0,405201.0,318936.0,341331.0,381366.0,483670.0,396269.0,28611487.0,25848492.0,27485297.0,25154650.0,25928066.0,25667929.0,22900961.0,20878669.0,21682078.0,21451962.0,22619342.0,23069775.0,10021336.0,9858123.0,9946942.0,8867547.0,8851055.0,8598151.0,251901.0,254025.0,257760.0,255479.0,240717.0,221307.0,277031.0,269630.0,278535.0,399498.0,399091.0,406528.0,400206.0,403386.0,375730.0,404523.0,361140.0,354722.0
9.5,1384761.0,900685.0,391011.0,890326.0,1631722.0,1931774.0,624652.0,596467.0,533608.0,398313.0,497048.0,991046.0,986652.0,502631.0,444371.0,4616891.0,1954887.0,2114555.0,1554145.0,892503.0,961392.0,428910.0,507050.0,995221.0,457936.0,379002.0,341560.0,11610585.0,15073072.0,15313232.0,12570488.0,12830602.0,15324549.0,349334.0,398744.0,486161.0,963131.0,470647.0,355513.0,6620843.0,26518647.0,23896089.0,23956081.0,25079080.0,12531909.0,357190.0,475695.0,851399.0,406540.0,401961.0,401724.0,321503.0,402839.0,4406841.0,398588.0,319932.0,344857.0,383390.0,484282.0,398321.0,32124960.0,30074337.0,30894371.0,27649561.0,28721053.0,28546032.0,24932891.0,23626697.0,23652027.0,24454514.0,25894883.0,26455188.0,11033410.0,11149858.0,10867922.0,9901780.0,9437598.0,9580585.0,251329.0,255612.0,253646.0,255116.0,242413.0,222036.0,277893.0,273409.0,276743.0,403435.0,401473.0,406754.0,401737.0,405792.0,371023.0,404216.0,361634.0,359375.0
