,A2,A4,A6,A8,A10,A12,B2,B3,B4,B5,B6,B7,B9,B10,B11,B12,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7,D9,D10,D11,E2,E3,E4,E5,E6,E7,E9,E10,E11,F2,F3,F4,F5,F6,F7,F9,F10,F11,G2,G3,G4,G5,G6,G7,G9,G10,G11,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
43.5,336192.0,326890.0,321524.0,330151.0,322385.0,325332.0,1094725.0,1013578.0,908923.0,11987712.0,11808266.0,12256338.0,288615.0,286077.0,287972.0,274746.0,11932776.0,10906160.0,10629292.0,1584367.0,1548194.0,1859990.0,11783572.0,10061334.0,11310879.0,1005438.0,1281356.0,1439923.0,1519674.0,1336764.0,1267208.0,14304372.0,13281842.0,13422114.0,609327.0,606895.0,624355.0,950905.0,901086.0,875432.0,15898788.0,15317861.0,14990775.0,420442.0,401017.0,409394.0,526209.0,505592.0,520953.0,7185052.0,6598447.0,6636438.0,310931.0,310563.0,309498.0,312836.0,310037.0,317854.0,2029883.0,1976358.0,1897721.0,273297.0,278141.0,277459.0,274169.0,271468.0,272456.0,276943.0,265882.0
44.0,336906.0,324387.0,324301.0,329765.0,327573.0,327519.0,1119844.0,1031405.0,946358.0,12142204.0,11893325.0,12290258.0,291645.0,289329.0,287058.0,276794.0,12122838.0,11277482.0,11060338.0,1588131.0,1547131.0,1864332.0,12379761.0,11114325.0,11679147.0,1099646.0,1336012.0,1464270.0,1518651.0,1337210.0,1263578.0,14447190.0,13642360.0,13600295.0,609379.0,603629.0,627383.0,949434.0,896872.0,877879.0,16050297.0,15420432.0,15109982.0,421271.0,407879.0,412033.0,524779.0,505571.0,517642.0,7272583.0,6632396.0,6755783.0,314407.0,310938.0,309268.0,315221.0,312663.0,317574.0,2049963.0,1993297.0,1914495.0,275370.0,278821.0,275891.0,274212.0,274103.0,273223.0,273833.0,268337.0
44.5,341751.0,320333.0,324866.0,320728.0,329738.0,320406.0,1135505.0,1039370.0,979681.0,12277908.0,12049836.0,12389300.0,285791.0,290964.0,285613.0,278467.0,12139445.0,11489506.0,11288595.0,1582974.0,1553318.0,1871683.0,12715546.0,11719419.0,11948907.0,1182919.0,1362897.0,1467305.0,1514566.0,1330983.0,1260923.0,14584217.0,13803913.0,13778813.0,606328.0,602399.0,623696.0,950848.0,897127.0,877293.0,16271926.0,15624672.0,15255414.0,418532.0,403890.0,411658.0,521908.0,510524.0,516956.0,7359997.0,6707706.0,6807159.0,314873.0,311745.0,308267.0,313634.0,309618.0,319639.0,2082098.0,2002002.0,1927324.0,272479.0,275568.0,274199.0,277021.0,270519.0,273401.0,269076.0,281673.0
45.0,340091.0,321386.0,324702.0,325417.0,330542.0,324710.0,1146210.0,1069130.0,1006701.0,12409227.0,12147133.0,12522024.0,292654.0,290873.0,285682.0,276445.0,12205181.0,11615202.0,11399258.0,1585526.0,1553091.0,1867012.0,12892295.0,12073709.0,12181974.0,1227161.0,1406504.0,1482244.0,1505532.0,1326252.0,1260604.0,14737911.0,13976545.0,13905245.0,603530.0,602775.0,626198.0,955660.0,899959.0,876262.0,16397471.0,15693288.0,15392860.0,421131.0,402745.0,414132.0,522870.0,508338.0,512630.0,7417275.0,6783309.0,6827863.0,314787.0,313481.0,310441.0,314373.0,311955.0,315052.0,2108012.0,2033373.0,1937214.0,274867.0,279262.0,278578.0,274013.0,271686.0,272529.0,272321.0,282630.0
45.5,339544.0,328815.0,325108.0,328676.0,323993.0,323268.0,1156631.0,1076509.0,1024783.0,12544482.0,12172033.0,12618459.0,291604.0,292561.0,285210.0,276606.0,12176749.0,11615665.0,11383489.0,1594849.0,1551566.0,1879657.0,13080955.0,12192902.0,12295771.0,1255966.0,1422151.0,1500069.0,1494579.0,1325906.0,1262239.0,14925183.0,14059624.0,14005030.0,602118.0,602860.0,623677.0,960209.0,902756.0,887004.0,16567099.0,15793873.0,15501107.0,424032.0,406129.0,407714.0,521133.0,506565.0,511903.0,7500524.0,6821079.0,6952147.0,316042.0,308667.0,308411.0,312300.0,309290.0,318885.0,2105717.0,2024096.0,1960309.0,276515.0,277228.0,280150.0,278265.0,272404.0,273172.0,272776.0,279728.0
46.0,339298.0,325783.0,318875.0,327581.0,326849.0,327742.0,1178505.0,1091267.0,1042192.0,12652802.0,12314974.0,12685014.0,291695.0,289611.0,286657.0,276537.0,12189959.0,11656900.0,11430088.0,1591313.0,1550570.0,1881778.0,13110650.0,12415598.0,12381447.0,1273233.0,1422649.0,1484223.0,1492756.0,1311960.0,1252576.0,15051414.0,14267716.0,14158243.0,598825.0,597487.0,618788.0,960363.0,892438.0,875695.0,16710008.0,15951605.0,15628778.0,419800.0,396966.0,409223.0,527214.0,509839.0,516173.0,7610378.0,6901284.0,6977071.0,314262.0,310099.0,307715.0,314803.0,311242.0,321826.0,2139676.0,2054651.0,1962302.0,274112.0,279935.0,276372.0,275376.0,272341.0,273939.0,273669.0,280361.0
46.5,343762.0,322756.0,327424.0,323327.0,326032.0,322617.0,1185385.0,1108715.0,1057652.0,12808807.0,12443838.0,12804185.0,292314.0,291367.0,286418.0,281426.0,12100743.0,11619743.0,11457605.0,1587420.0,1551503.0,1878546.0,13238164.0,12501159.0,12476484.0,1278420.0,1414320.0,1490073.0,1495915.0,1312563.0,1255198.0,15175641.0,14327911.0,14251855.0,604005.0,600289.0,626572.0,963679.0,899856.0,879476.0,16843796.0,16079619.0,15716333.0,420286.0,405147.0,410717.0,521846.0,499323.0,514982.0,7704589.0,6952763.0,7024903.0,312122.0,308170.0,305089.0,314172.0,312123.0,321306.0,2120597.0,2063584.0,1981175.0,275032.0,277506.0,277625.0,277267.0,274054.0,272856.0,268086.0,277422.0
47.0,343392.0,327619.0,327774.0,327894.0,324420.0,326790.0,1202527.0,1112084.0,1071901.0,12908832.0,12515908.0,12867634.0,294200.0,287415.0,285810.0,277385.0,12065841.0,11570070.0,11398307.0,1585833.0,1549949.0,1879930.0,13351987.0,12602667.0,12538747.0,1290530.0,1414955.0,1486144.0,1488530.0,1312472.0,1255472.0,15329860.0,14419984.0,14363385.0,602139.0,598862.0,617072.0,963849.0,889899.0,869696.0,17043055.0,16214229.0,15863651.0,420202.0,404559.0,410715.0,525360.0,503143.0,513549.0,7778834.0,7010846.0,7062055.0,310967.0,311074.0,306811.0,315099.0,310255.0,320392.0,2084377.0,2056958.0,1988570.0,274532.0,275783.0,278737.0,277991.0,272549.0,270163.0,272944.0,281450.0
47.5,340612.0,329805.0,322615.0,328919.0,324890.0,327854.0,1216667.0,1119417.0,1082450.0,13077850.0,12620202.0,12976569.0,293192.0,290458.0,288398.0,278518.0,12028479.0,11540989.0,11345251.0,1588509.0,1551326.0,1883128.0,13465741.0,12670360.0,12544052.0,1279240.0,1418989.0,1482340.0,1489539.0,1307288.0,1245009.0,15456726.0,14545197.0,14413971.0,598643.0,592484.0,616267.0,959234.0,888924.0,867869.0,17147640.0,16356268.0,15972877.0,423618.0,401526.0,412785.0,518792.0,505656.0,512398.0,7843963.0,7042437.0,7140031.0,318026.0,313534.0,307236.0,313559.0,312672.0,317893.0,2086125.0,2084701.0,2009222.0,274884.0,277616.0,275219.0,278526.0,278994.0,269452.0,269743.0,280741.0
48.0,342709.0,323215.0,326085.0,326315.0,329329.0,326923.0,1231932.0,1134218.0,1098555.0,13180136.0,12691106.0,13081634.0,291197.0,286402.0,288766.0,275986.0,11978095.0,11498702.0,11310785.0,1589916.0,1559869.0,1881585.0,13526599.0,12747869.0,12734161.0,1278376.0,1416772.0,1475880.0,1486444.0,1305029.0,1248561.0,15585256.0,14625583.0,14566470.0,597818.0,597501.0,618389.0,954379.0,884699.0,878918.0,17322626.0,16505052.0,16084711.0,418978.0,401724.0,412702.0,533942.0,504469.0,518297.0,7925470.0,7127616.0,7193826.0,315101.0,310873.0,307089.0,312617.0,312181.0,325845.0,2091973.0,2101634.0,2007011.0,275840.0,278379.0,278364.0,277031.0,279794.0,271912.0,268074.0,281314.0
